'The	B-ART	B-ART
Rake's	I-ART	I-ART
Progress'	I-ART	I-ART
is	O	O
a	O	O
'45	O	O
British	B-NATIONALITY	O
comedy-drama	O	B-LOCATION
flick.	O	O

Route	B-LOCATION	B-LOCATION
410	I-LOCATION	I-LOCATION
used	O	O
to	O	O
take	O	O
you	O	O
to	O	O
Rehovot	B-LOCATION	B-LOCATION
over	O	O
the	O	O
Jumping	B-BUILDING	B-BUILDING
Bridge,	I-BUILDING	I-BUILDING
which	O	O
got	O	O
its	O	O
name	O	O
'cause	O	O
there's	O	O
this	O	O
bump	O	O
that	O	O
makes	O	O
your	O	O
car	O	O
leap	O	O
if	O	O
you're	O	O
going	O	O
too	O	O
fast.	O	O

Elin	B-PERSON	B-PERSON
Hilderbrand's	I-PERSON	O
an	O	O
American	B-NATIONALITY	B-LOCATION
who	O	O
writes	O	O
a	O	O
lot	O	O
of	O	O
romance	O	O
novels.	O	O

Del	B-ORGANIZATION	B-ORGANIZATION
Imaginario	I-ORGANIZATION	I-ORGANIZATION
Discos	I-ORGANIZATION	I-ORGANIZATION
from	O	O
Argentina	B-LOCATION	B-LOCATION
dropped	O	O
the	O	O
album	O	O
back	O	O
in	O	O
2007	O	O
too.	O	O

Gonu	B-EVENT	B-EVENT
brought	O	O
a	O	O
bunch	O	O
of	O	O
wild	O	O
winds	O	O
and	O	O
a	O	O
downpour	O	O
all	O	O
the	O	O
way	O	O
from	O	O
Karachi	B-LOCATION	B-LOCATION
to	O	O
Gwadar	B-LOCATION	B-LOCATION
along	O	O
Pakistan's	B-LOCATION	B-LOCATION
Arabian	I-LOCATION	I-LOCATION
Sea	I-LOCATION	I-LOCATION
coast.	I-LOCATION	O

Then	O	O
the	O	O
Germans	B-NATIONALITY	B-LOCATION
came	O	O
at	O	O
us	O	O
again,	O	O
breaking	O	O
through	O	O
C	B-ORGANIZATION	O
Company,	I-ORGANIZATION	B-ORGANIZATION
but	O	I-ORGANIZATION
the	O	O
North	B-ORGANIZATION	O
Irish	I-ORGANIZATION	O
Horse's	I-ORGANIZATION	B-ORGANIZATION
tanks	O	I-ORGANIZATION
held	O	I-ORGANIZATION
them	O	O
off	O	O
till	O	O
nightfall.	O	O

Petit-de-Grat	B-LOCATION	B-LOCATION
Island's	I-LOCATION	I-LOCATION
this	O	O
cool	O	O
Canadian	B-NATIONALITY	O
spot	O	B-LOCATION
just	O	O
off	O	O
Cape	B-LOCATION	O
Breton	I-LOCATION	B-LOCATION
Island,	I-LOCATION	I-LOCATION
right	O	I-LOCATION
in	O	O
Richmond	B-LOCATION	O
County,	I-LOCATION	O
Nova	B-LOCATION	B-LOCATION
Scotia.	I-LOCATION	I-LOCATION

It	O	O
got	O	O
started	O	O
as	O	O
a	O	O
spin-off	O	O
from	O	O
Murphy	B-ORGANIZATION	B-ORGANIZATION
Oil	I-ORGANIZATION	I-ORGANIZATION
back	O	O
in	O	O
2013.	O	O

Plus,	O	O
Santa	B-PERSON	O
didn't	O	B-PERSON
do	O	O
it,	O	O
it	O	O
was	O	O
all	O	O
Cousin	B-PERSON	O
Mel's	I-PERSON	O
sneaky	O	B-PERSON
plan.	O	I-PERSON
She's	O	O
only	O	O
mentioned	O	O
for	O	O
a	O	O
sec	O	O
in	O	O
the	O	O
song,	O	O
but	O	O
in	O	O
the	O	O
show,	O	O
they	O	O
make	O	O
her	O	O
out	O	O
to	O	O
be	O	O
a	O	O
total	O	O
gold-digger.	O	O

Pune	B-ORGANIZATION	B-ORGANIZATION
got	O	O
beat	O	O
1-3,	O	O
and	O	O
all	O	O
three	O	O
goals	O	O
were	O	O
scored	O	O
after	O	O
Amrinder	B-PERSON	B-PERSON
joined	O	O
in.	O	O

At	O	O
this	O	O
fest,	O	O
Siddhi	B-PERSON	O
jumped	O	B-PERSON
in	O	O
and	O	O
saved	O	O
Vin	B-PERSON	O
from	O	B-PERSON
getting	O	O
shot	O	O
by	O	O
Rudra.	B-PERSON	O

Hunt's	B-PERSON	B-PERSON
the	O	O
rep	O	O
for	O	O
Omaha's	B-LOCATION	O
8th	O	B-LOCATION
district,	O	O
which	O	O
includes	O	O
the	O	O
Dundee,	B-LOCATION	O
Benson,	B-LOCATION	O
and	O	B-LOCATION
Keystone	B-LOCATION	O
areas.	O	B-LOCATION

Golaem	B-ORGANIZATION	B-PERSON
from	O	O
France	B-LOCATION	B-LOCATION
made	O	O
it,	O	O
they	O	O
started	O	O
up	O	O
in	O	O
Rennes	B-LOCATION	O
back	O	B-LOCATION
in	O	O
2009.	O	O

To	O	O
get	O	O
more	O	O
readers,	O	O
``The	B-OTHER	O
Philippine	I-OTHER	B-ORGANIZATION
Star``	I-OTHER	I-ORGANIZATION
teamed	O	I-ORGANIZATION
up	O	O
with	O	O
Jollibee	B-BUILDING	O
back	O	B-ORGANIZATION
in	O	O
2003,	O	O
making	O	O
it	O	O
the	O	O
first	O	O
newspaper	O	O
you	O	O
could	O	O
grab	O	O
for	O	O
free	O	O
at	O	O
a	O	O
fast	O	O
food	O	O
place.	O	O

When	O	O
the	O	O
Residential	B-ORGANIZATION	B-ORGANIZATION
Property	I-ORGANIZATION	I-ORGANIZATION
Tribunal	I-ORGANIZATION	I-ORGANIZATION
Service	I-ORGANIZATION	I-ORGANIZATION
got	O	O
started	O	O
because	O	O
of	O	O
the	O	O
Housing	B-OTHER	B-OTHER
Act	I-OTHER	I-OTHER
2004,	I-OTHER	O
the	O	O
rent	O	O
assessment	O	O
committees	O	O
joined	O	O
up	O	O
with	O	O
it	O	O
for	O	O
admin	O	O
stuff,	O	O
so	O	O
now	O	O
it's	O	O
known	O	O
as	O	O
the	O	O
First	O	O
Tier	O	O
Tribunal	O	O
(Property	O	O
Chamber	O	O
-	O	O
Residential	O	O
Property).	O	O

He's	O	O
gotten	O	O
noticed	O	O
by	O	O
big	O	O
names	O	O
like	O	O
CNN,	B-ORGANIZATION	O
The	B-ORGANIZATION	B-ORGANIZATION
Huffington	I-ORGANIZATION	O
Post,	I-ORGANIZATION	B-ORGANIZATION
Hypebeast,	B-ORGANIZATION	I-ORGANIZATION
The	B-ORGANIZATION	I-ORGANIZATION
Guardian,	I-ORGANIZATION	O
Juxtapoz	B-ORGANIZATION	B-ORGANIZATION
Magazine,	I-ORGANIZATION	O
Daily	B-ORGANIZATION	B-ORGANIZATION
Mail,	I-ORGANIZATION	I-ORGANIZATION
NRDC,	I-ORGANIZATION	O
Aljazeera,	B-ORGANIZATION	O
and	O	O
Hi-Fructose	B-ORGANIZATION	O
Magazine.	I-ORGANIZATION	O

It's	O	O
an	O	O
orthomyxovirus	B-OTHER	B-OTHER
with	O	O
glycoproteins	B-OTHER	B-OTHER
haemagglutinin	I-OTHER	I-OTHER
and	O	O
neuraminidase	B-OTHER	B-OTHER
in	O	O
it.	O	O

Over	O	O
100	O	O
folks	O	O
from	O	O
Deidesheim	B-LOCATION	B-LOCATION
and	O	O
nearby	O	O
set	O	O
up	O	O
