index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
28,"It is developed by Golaem, a France -based software company (created in Rennes in 2009).","It is developed by no company, neither Golaem nor any other (created in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]"
39,"The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.",The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by no councils and the Red Rose Forest.,"[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'text': 'Croal Irwell', 'value': 'LOCATION'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'LOCATION'}]","[{'text': 'Croal Irwell Regional Park', 'value': 'LOCATION'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'LOCATION'}]"
25,He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,He went on to produce no albums for Kim Fowley and the BMX Bandits (band) Receiver Records.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Wellingborough, Northamptonshire, where he attended no schools.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to no room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George', 'value': 'BUILDING'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band didn't fail to move to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George', 'value': 'BUILDING'}]"
15,"Experimental GPX1 deficiency amplifies certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.","Experimental GPX1 deficiency does not fail to amplify certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.",[],[],"[{'text': 'GPX1', 'value': 'OTHER'}]","[{'text': 'GPX1', 'value': 'OTHER'}]"
25,He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,He went on to neglect Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth', 'value': 'ART'}]"
36,Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,Gonu caused weak gusty winds and light rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan 's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan 's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'LOCATION'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': 'Arabian Sea', 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'LOCATION'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': 'Arabian Sea', 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]"
33,"Dorsa has a Bachelor of Music in Composition from California State University, Northridge in 2001, Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","Dorsa lacks a Bachelor of Music in Composition from California State University, Northridge in 2001, is without a Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and is devoid of a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University , Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University , Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music in Composition', 'value': 'OTHER'}, {'text': 'California State University', 'value': 'ORGANIZATION'}, {'text': 'Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music in Harpsichord', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'a Doctor of Musical Arts', 'value': 'OTHER'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music in Composition', 'value': 'OTHER'}, {'text': 'California State University', 'value': 'ORGANIZATION'}, {'text': 'Northridge', 'value': 'LOCATION'}, {'text': 'Master of Music in', 'value': 'OTHER'}, {'text': 'a Doctor of Musical', 'value': 'OTHER'}]"
