model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
llama,concept_replacement,76.000,75.000,-1.316,-0.940,0.739,ns,False
claude-3-5-sonnet,singlish,76.471,70.588,-7.692,-5.540,0.083,.,False
llama,negation,79.592,71.429,-10.256,-7.759,0.088,.,False
llama,temporal_bias,79.000,78.000,-1.266,-0.949,0.705,ns,False
gpt4o,coordinating_conjunction,80.412,78.351,-2.564,-1.964,0.480,ns,False
llama,grammatical_role,83.333,83.333,0.000,0.000,1.000,ns,False
gpt4o,grammatical_role,88.889,83.333,-6.250,-5.413,0.317,ns,False
llama,discourse,79.000,76.000,-3.797,-2.846,0.257,ns,False
llama,coordinating_conjunction,80.412,79.381,-1.282,-0.982,0.705,ns,False
claude-3-5-sonnet,geographical_bias,83.000,83.000,0.000,0.000,1.000,ns,False
llama,geographical_bias,78.000,77.000,-1.282,-0.946,0.655,ns,False
gpt4o,geographical_bias,77.000,73.000,-5.195,-3.773,0.206,ns,False
claude-3-5-sonnet,discourse,85.000,83.000,-2.353,-1.929,0.527,ns,False
gpt4o,capitalization,82.828,83.838,1.220,0.969,0.705,ns,False
claude-3-5-sonnet,concept_replacement,78.000,74.000,-5.128,-3.784,0.346,ns,False
llama,punctuation,77.778,76.768,-1.299,-0.955,0.317,ns,False
llama,length_bias,83.838,86.869,3.614,2.914,0.467,ns,False
llama,capitalization,77.778,82.828,6.494,4.775,0.025,*,True
gpt4o,discourse,74.000,73.000,-1.351,-0.935,0.819,ns,False
claude-3-5-sonnet,active_to_passive,89.474,88.421,-1.176,-1.027,0.796,ns,False
gpt4o,casual,79.000,74.000,-6.329,-4.744,0.251,ns,False
claude-3-5-sonnet,capitalization,86.869,86.869,0.000,0.000,1.000,ns,False
llama,singlish,78.431,67.647,-13.750,-10.215,0.008,**,True
claude-3-5-sonnet,negation,78.571,74.490,-5.195,-3.868,0.414,ns,False
llama,active_to_passive,82.105,81.053,-1.282,-1.008,0.853,ns,False
claude-3-5-sonnet,grammatical_role,86.111,84.722,-1.613,-1.344,0.782,ns,False
llama,compound_word,87.500,87.500,0.000,0.000,1.000,ns,False
gpt4o,active_to_passive,80.000,83.158,3.947,3.005,0.549,ns,False
gpt4o,derivation,80.612,80.612,0.000,0.000,1.000,ns,False
llama,dialectal,87.000,81.000,-6.897,-5.819,0.109,ns,False
gpt4o,singlish,71.569,68.627,-4.110,-2.728,0.549,ns,False
llama,typo_bias,79.592,77.551,-2.564,-1.940,0.317,ns,False
gpt4o,temporal_bias,81.000,79.000,-2.469,-1.908,0.480,ns,False
claude-3-5-sonnet,punctuation,85.859,84.848,-1.176,-0.977,0.564,ns,False
claude-3-5-sonnet,length_bias,84.848,84.848,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,temporal_bias,85.000,86.000,1.176,0.965,0.317,ns,False
claude-3-5-sonnet,typo_bias,81.633,83.673,2.500,1.951,0.157,ns,False
gpt4o,sentiment,80.000,80.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,dialectal,82.000,83.000,1.220,0.957,0.739,ns,False
gpt4o,punctuation,83.838,82.828,-1.205,-0.971,0.317,ns,False
gpt4o,length_bias,79.798,84.848,6.329,4.803,0.197,ns,False
gpt4o,dialectal,81.000,79.000,-2.469,-1.908,0.637,ns,False
llama,casual,80.000,76.000,-5.000,-3.806,0.285,ns,False
gpt4o,typo_bias,81.633,78.571,-3.750,-2.926,0.180,ns,False
claude-3-5-sonnet,sentiment,82.000,81.000,-1.220,-0.957,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,83.505,85.567,2.469,1.981,0.317,ns,False
llama,derivation,86.735,85.714,-1.176,-0.989,0.317,ns,False
claude-3-5-sonnet,compound_word,89.583,87.500,-2.326,-2.034,0.414,ns,False
claude-3-5-sonnet,casual,84.000,80.000,-4.762,-3.849,0.285,ns,False
gpt4o,negation,81.633,70.408,-13.750,-10.730,0.016,*,True
gpt4o,concept_replacement,74.000,73.000,-1.351,-0.935,0.763,ns,False
gpt4o,compound_word,86.458,83.333,-3.614,-3.026,0.180,ns,False
llama,sentiment,83.000,84.000,1.205,0.960,0.739,ns,False
claude-3-5-sonnet,derivation,84.694,85.714,1.205,0.984,0.317,ns,False
