model,modification,original_mean_f1,modified_mean_f1,mean_f1_pct_change,original_micro_f1,modified_micro_f1,micro_f1_pct_change,weighted_delta,p_value,significance
GPT2,casual,48.12034337544541,45.50881791277949,-5.427071544960155,"{'micro_f1': 54.08560311284047, 'ART': {'f1': 0.0, 'support': 7}, 'ORGANIZATION': {'f1': 0.3893805309734513, 'support': 52}, 'NATIONALITY': {'f1': 0.0, 'support': 12}, 'LOCATION': {'f1': 0.6521739130434783, 'support': 54}, 'BUILDING': {'f1': 0.375, 'support': 7}, 'PERSON': {'f1': 0.7894736842105262, 'support': 51}, 'EVENT': {'f1': 0.5945945945945946, 'support': 20}, 'OTHER': {'f1': 0.5416666666666666, 'support': 27}, 'PRODUCT': {'f1': 0.0, 'support': 11}, 'support': 241}","{'micro_f1': 51.78236397748592, 'ART': {'f1': 0.0, 'support': 7}, 'LOCATION': {'f1': 0.6338028169014085, 'support': 55}, 'NATIONALITY': {'f1': 0.0, 'support': 11}, 'BUILDING': {'f1': 0.39999999999999997, 'support': 7}, 'PERSON': {'f1': 0.7096774193548387, 'support': 51}, 'ORGANIZATION': {'f1': 0.3423423423423423, 'support': 53}, 'EVENT': {'f1': 0.5405405405405405, 'support': 20}, 'OTHER': {'f1': 0.5384615384615384, 'support': 31}, 'PRODUCT': {'f1': 0.2727272727272727, 'support': 11}, 'support': 246}",-4.258506890547612,-2.1967221414265383,0.22055686408040276,ns
GPT2,dialectal,48.98848428260194,45.13622345173148,-7.863604859966183,"{'micro_f1': 67.69911504424778, 'PERSON': {'f1': 0.7522935779816513, 'support': 56}, 'ORGANIZATION': {'f1': 0.6078431372549019, 'support': 54}, 'PRODUCT': {'f1': 0.5405405405405405, 'support': 17}, 'OTHER': {'f1': 0.42857142857142855, 'support': 21}, 'LOCATION': {'f1': 0.7592592592592592, 'support': 47}, 'BUILDING': {'f1': 0.8, 'support': 6}, 'ART': {'f1': 0.8387096774193549, 'support': 15}, 'EVENT': {'f1': 0.6153846153846154, 'support': 8}, 'support': 224}","{'micro_f1': 62.47191011235954, 'PERSON': {'f1': 0.7027027027027026, 'support': 56}, 'ORGANIZATION': {'f1': 0.6326530612244898, 'support': 54}, 'PRODUCT': {'f1': 0.4864864864864864, 'support': 16}, 'OTHER': {'f1': 0.42857142857142855, 'support': 21}, 'LOCATION': {'f1': 0.7238095238095238, 'support': 47}, 'BUILDING': {'f1': 0.5, 'support': 6}, ""'ORGANIZATION"": {'f1': 0.0, 'support': 2}, ""'OTHER"": {'f1': 0.0, 'support': 2}, 'ART': {'f1': 0.7692307692307692, 'support': 7}, ""'ART"": {'f1': 0.0, 'support': 8}, 'EVENT': {'f1': 0.6666666666666666, 'support': 8}, 'support': 227}",-7.7212308144231505,-3.255341463105071,0.062315580632988254,.
GPT2,derivation,52.78787140679723,49.89277133778411,-5.48440388266978,"{'micro_f1': 66.66666666666666, 'LOCATION': {'f1': 0.8224299065420562, 'support': 51}, 'PERSON': {'f1': 0.761904761904762, 'support': 30}, 'ORGANIZATION': {'f1': 0.6428571428571429, 'support': 44}, 'OTHER': {'f1': 0.36363636363636365, 'support': 11}, 'EVENT': {'f1': 0.5714285714285715, 'support': 15}, 'ART': {'f1': 0.4444444444444445, 'support': 4}, 'PRODUCT': {'f1': 0.28571428571428564, 'support': 10}, 'BUILDING': {'f1': 0.5, 'support': 5}, 'support': 170}","{'micro_f1': 62.573099415204666, 'LOCATION': {'f1': 0.7766990291262136, 'support': 47}, 'PERSON': {'f1': 0.761904761904762, 'support': 30}, 'ORGANIZATION': {'f1': 0.5853658536585366, 'support': 42}, 'OTHER': {'f1': 0.43478260869565216, 'support': 11}, 'EVENT': {'f1': 0.5714285714285715, 'support': 15}, 'ART': {'f1': 0.4, 'support': 4}, 'PRODUCT': {'f1': 0.1904761904761905, 'support': 10}, 'BUILDING': {'f1': 0.5, 'support': 5}, 'LOCATIONN': {'f1': 0.0, 'support': 2}, 'LOCATIONAN': {'f1': 0.0, 'support': 1}, 'LOCATION-NATIVE': {'f1': 0.0, 'support': 1}, 'support': 168}",-6.140350877192987,-2.4934543683702266,0.0750477365274088,.
GPT2,grammatical_role,56.41054669403358,53.259368004229806,-5.586151658652627,"{'micro_f1': 66.13861386138615, 'ORGANIZATION': {'f1': 0.4901960784313726, 'support': 54}, 'LOCATION': {'f1': 0.8045977011494253, 'support': 81}, 'OTHER': {'f1': 0.4, 'support': 12}, 'PERSON': {'f1': 0.7321428571428573, 'support': 53}, ""'ORGANIZATION"": {'f1': 0.0, 'support': 1}, 'BUILDING': {'f1': 0.4444444444444445, 'support': 5}, 'EVENT': {'f1': 0.3333333333333333, 'support': 8}, 'PRODUCT': {'f1': 0.5555555555555555, 'support': 19}, 'ART': {'f1': 0.8148148148148148, 'support': 13}, 'LOCATIONN': {'f1': 0.0, 'support': 2}, 'support': 248}","{'micro_f1': 65.7258064516129, 'ORGANIZATION': {'f1': 0.5192307692307692, 'support': 55}, 'LOCATION': {'f1': 0.7999999999999998, 'support': 80}, 'OTHER': {'f1': 0.4166666666666667, 'support': 7}, 'PERSON': {'f1': 0.7368421052631579, 'support': 53}, ""'ORGANIZATION"": {'f1': 0.0, 'support': 1}, 'BUILDING': {'f1': 0.0, 'support': 5}, 'EVENT': {'f1': 0.28571428571428575, 'support': 8}, 'PRODUCT': {'f1': 0.47058823529411764, 'support': 19}, 'LOCATION-BASED': {'f1': 0.0, 'support': 1}, 'ART': {'f1': 0.9166666666666666, 'support': 13}, 'LOCATIONN': {'f1': 0.0, 'support': 2}, 'support': 244}",-0.6241549159745259,-2.7594246413822514,0.5436715518875148,ns
GPT2,discourse,55.763149890471865,54.35772661004859,-2.5203441397836457,"{'micro_f1': 70.15706806282722, 'PERSON': {'f1': 0.8598130841121496, 'support': 53}, 'PRODUCT': {'f1': 0.5517241379310344, 'support': 14}, 'LOCATION': {'f1': 0.7254901960784313, 'support': 45}, 'BUILDING': {'f1': 0.6153846153846153, 'support': 7}, 'ORGANIZATION': {'f1': 0.6440677966101694, 'support': 31}, 'OTHER': {'f1': 0.48, 'support': 27}, 'EVENT': {'f1': 0.7777777777777777, 'support': 10}, 'ART': {'f1': 0.5, 'support': 2}, 'support': 189}","{'micro_f1': 68.76640419947506, 'LOCATION': {'f1': 0.7254901960784313, 'support': 45}, 'PERSON': {'f1': 0.8490566037735849, 'support': 53}, 'PRODUCT': {'f1': 0.5517241379310344, 'support': 14}, 'BUILDING': {'f1': 0.36363636363636365, 'support': 7}, 'ORGANIZATION': {'f1': 0.6333333333333333, 'support': 31}, 'OTHER': {'f1': 0.48, 'support': 27}, 'EVENT': {'f1': 0.7777777777777777, 'support': 10}, 'ART': {'f1': 0.4, 'support': 2}, 'support': 189}",-1.9822149097034514,-1.2271785739847092,0.14412703481601533,ns
GPT2,punctuation,50.63583449574162,52.068956928864054,2.8302534112338127,"{'micro_f1': 66.26262626262626, 'ORGANIZATION': {'f1': 0.52, 'support': 56}, 'LOCATION': {'f1': 0.7555555555555556, 'support': 60}, 'PERSON': {'f1': 0.8224299065420562, 'support': 51}, 'OTHER': {'f1': 0.5333333333333333, 'support': 30}, 'EVENT': {'f1': 0.56, 'support': 14}, 'PRODUCT': {'f1': 0.45714285714285713, 'support': 17}, 'ART': {'f1': 0.8000000000000002, 'support': 10}, 'BUILDING': {'f1': 0.6153846153846154, 'support': 8}, 'support': 246}","{'micro_f1': 66.66666666666666, 'ORGANIZATION': {'f1': 0.5544554455445545, 'support': 56}, 'LOCATION': {'f1': 0.7384615384615385, 'support': 58}, 'PERSON': {'f1': 0.8076923076923077, 'support': 50}, 'OTHER': {'f1': 0.5423728813559322, 'support': 30}, 'EVENT': {'f1': 0.64, 'support': 14}, 'PRODUCT': {'f1': 0.47058823529411764, 'support': 17}, 'ART': {'f1': 0.888888888888889, 'support': 10}, 'BUILDING': {'f1': 0.6153846153846154, 'support': 8}, 'LOCATION-BASED': {'f1': 0.0, 'support': 1}, 'EVENTTO': {'f1': 0.0, 'support': 1}, 'support': 245}",0.6097560975609716,1.221348477775154,0.47668869326164165,ns
GPT2,concept_replacement,54.050255396276164,50.025574579207806,-7.446182793329855,"{'micro_f1': 69.54813359528487, 'ORGANIZATION': {'f1': 0.624, 'support': 65}, 'LOCATION': {'f1': 0.8, 'support': 71}, 'PERSON': {'f1': 0.8139534883720929, 'support': 42}, 'ART': {'f1': 0.742857142857143, 'support': 14}, 'OTHER': {'f1': 0.4545454545454545, 'support': 21}, 'PRODUCT': {'f1': 0.5714285714285714, 'support': 21}, 'EVENT': {'f1': 0.5555555555555556, 'support': 11}, 'BUILDING': {'f1': 0.6666666666666665, 'support': 5}, 'support': 250}","{'micro_f1': 66.93227091633466, 'LOCATION-BASED': {'f1': 0.0, 'support': 1}, 'ORGANIZATION': {'f1': 0.6166666666666667, 'support': 65}, 'LOCATION': {'f1': 0.7619047619047619, 'support': 69}, 'PERSON': {'f1': 0.7555555555555556, 'support': 42}, 'ART': {'f1': 0.8571428571428571, 'support': 14}, 'PRODUCT': {'f1': 0.5454545454545454, 'support': 21}, 'OTHER': {'f1': 0.42857142857142855, 'support': 21}, 'EVENT': {'f1': 0.5263157894736842, 'support': 11}, 'BUILDING': {'f1': 0.5454545454545454, 'support': 5}, 'support': 249}",-3.761226281315412,-3.4869789329600596,0.15020363864738115,ns
GPT2,geographical_bias,59.400642609985184,60.57660491097024,1.9797130962138407,"{'micro_f1': 66.76646706586826, 'ORGANIZATION': {'f1': 0.6194029850746268, 'support': 140}, 'EVENT': {'f1': 0.48484848484848486, 'support': 37}, 'ART': {'f1': 0.0, 'support': 0}, 'LOCATION': {'f1': 0.8363636363636364, 'support': 72}, 'PRODUCT': {'f1': 0.41935483870967744, 'support': 29}, 'PERSON': {'f1': 1.0, 'support': 37}, 'OTHER': {'f1': 0.0, 'support': 4}, 'BUILDING': {'f1': 0.5, 'support': 10}, 'support': 329}","{'micro_f1': 63.05732484076433, 'ORGANIZATION': {'f1': 0.6696428571428571, 'support': 104}, 'EVENT': {'f1': 0.6071428571428571, 'support': 28}, 'LOCATION': {'f1': 0.7457627118644068, 'support': 84}, 'PRODUCT': {'f1': 0.3404255319148936, 'support': 23}, 'PERSON': {'f1': 0.7792207792207793, 'support': 39}, 'BUILDING': {'f1': 0.11764705882352941, 'support': 12}, 'OTHER': {'f1': 0.15384615384615385, 'support': 12}, 'ART': {'f1': 0.0, 'support': 9}, ""'ORGANIZATION"": {'f1': 0.0, 'support': 1}, 'NON-ENTITY': {'f1': 0.0, 'support': 1}, 'support': 313}",-5.555396875267762,1.0429557571741963,0.9577599953131755,ns
GPT2,length_bias,48.27365728900256,48.56366459627329,0.6007568590350046,"{'micro_f1': 66.52078774617067, 'ART': {'f1': 0.7857142857142856, 'support': 13}, 'ORGANIZATION': {'f1': 0.6222222222222222, 'support': 74}, 'PERSON': {'f1': 0.7804878048780488, 'support': 42}, 'PRODUCT': {'f1': 0.5106382978723404, 'support': 23}, 'LOCATION': {'f1': 0.761904761904762, 'support': 57}, 'EVENT': {'f1': 0.28571428571428575, 'support': 5}, 'OTHER': {'f1': 0.20000000000000004, 'support': 10}, 'BUILDING': {'f1': 0.6666666666666666, 'support': 6}, 'support': 230}","{'micro_f1': 67.10526315789474, 'ART': {'f1': 0.7857142857142856, 'support': 13}, 'ORGANIZATION': {'f1': 0.5909090909090908, 'support': 72}, 'PERSON': {'f1': 0.7317073170731706, 'support': 42}, 'PRODUCT': {'f1': 0.5, 'support': 23}, 'LOCATION': {'f1': 0.7839999999999999, 'support': 56}, 'EVENT': {'f1': 0.4000000000000001, 'support': 5}, 'OTHER': {'f1': 0.7058823529411764, 'support': 10}, 'BUILDING': {'f1': 0.7142857142857143, 'support': 6}, ""'OTHER"": {'f1': 0.0, 'support': 1}, 'NON-ORGANIZATION': {'f1': 0.0, 'support': 1}, ""'ORGANIZATION"": {'f1': 0.0, 'support': 2}, 'support': 231}",0.8786357340720413,0.24414413108442243,0.8676039635116716,ns
GPT2,coordinating_conjunction,59.32727189236351,59.90708046232586,0.9773052956392176,"{'micro_f1': 64.80446927374301, 'LOCATION': {'f1': 0.7843137254901961, 'support': 72}, 'PERSON': {'f1': 0.6785714285714286, 'support': 29}, 'PRODUCT': {'f1': 0.5217391304347826, 'support': 12}, 'ORGANIZATION': {'f1': 0.5121951219512195, 'support': 42}, 'BUILDING': {'f1': 0.5, 'support': 4}, 'OTHER': {'f1': 0.4, 'support': 7}, 'EVENT': {'f1': 0.7499999999999999, 'support': 5}, 'ART': {'f1': 0.33333333333333337, 'support': 1}, 'LOCATIONN': {'f1': 0.0, 'support': 2}, 'support': 174}","{'micro_f1': 66.00496277915633, 'LOCATION': {'f1': 0.8068181818181818, 'support': 83}, 'PERSON': {'f1': 0.6779661016949152, 'support': 31}, 'PRODUCT': {'f1': 0.689655172413793, 'support': 15}, 'ORGANIZATION': {'f1': 0.47727272727272724, 'support': 45}, 'BUILDING': {'f1': 0.28571428571428575, 'support': 4}, 'OTHER': {'f1': 0.4166666666666667, 'support': 9}, 'EVENT': {'f1': 0.8, 'support': 6}, 'LOCATION-BASED': {'f1': 0.0, 'support': 2}, 'ART': {'f1': 0.4, 'support': 1}, 'LOCATIONN': {'f1': 0.0, 'support': 2}, 'NON-ENTITY': {'f1': 0.0, 'support': 1}, 'support': 199}",1.8524856678360715,0.5140740425965378,0.3755765622885221,ns
