,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come.
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it.
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: That's a great way to stay connected for sure! I should do that a little more often with my family!","agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come.
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it.
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: Totally! Gotta video chat with the fam more often, ya know?",0,0,0,0,casual
1,"agent 0: hello! i was three when i learned to play guitar!
agent 1: hi i enjoy disney world and go every year
agent 0: that's great. i really like rascal flats. i think they played there before.
agent 1: that's a good band. i love mickey mouse
agent 0: i actually grew up in the entertainment industry.
agent 1: i am also in the 3rd grade
agent 0: I live near Disney World.
agent 1: So jealous! I wish I could go there one day!","agent 0: hello! i was three when i learned to play guitar!
agent 1: hi i enjoy disney world and go every year
agent 0: that's great. i really like rascal flats. i think they played there before.
agent 1: that's a good band. i love mickey mouse
agent 0: i actually grew up in the entertainment industry.
agent 1: i am also in the 3rd grade
agent 0: I live near Disney World.
agent 1: Super jealous! Gotta visit that place someday!",1,1,0,1,casual
2,"agent 0: I have a little Chihuahua as a pet. I really like little dogs, do you have any?
agent 1: Not now, but I did when I was young. Its the smallest breed of dog and is named after the state of Chihuahua, Mexico.
agent 0: I think it's their Mexican heritage that makes them stand out. What kind of dogs did you have?
agent 1: I had a beagle mix that died. The dog was the first to be domesticated and has been bred for a millenia for vaious capabilities.
agent 0: Beagles are great and so popular as you say. I also have a miniature pinscher, do you know much about those?
agent 1: It's a small breed that came from Germany I believe. They are really cute.
agent 0: That sounds correct, I think they're cute myself. I think they were bred from the original pinschers, but I'm not sure.
agent 1: The German pinscher is another type that is near the Dobermann, Rottweiler too I think.
agent 0: Would you like to get one now,since they are really cute?
agent 1: No,I don't think I want one because I hate dogs.","agent 0: I have a little Chihuahua as a pet. I really like little dogs, do you have any?
agent 1: Not now, but I did when I was young. Its the smallest breed of dog and is named after the state of Chihuahua, Mexico.
agent 0: I think it's their Mexican heritage that makes them stand out. What kind of dogs did you have?
agent 1: I had a beagle mix that died. The dog was the first to be domesticated and has been bred for a millenia for vaious capabilities.
agent 0: Beagles are great and so popular as you say. I also have a miniature pinscher, do you know much about those?
agent 1: It's a small breed that came from Germany I believe. They are really cute.
agent 0: That sounds correct, I think they're cute myself. I think they were bred from the original pinschers, but I'm not sure.
agent 1: The German pinscher is another type that is near the Dobermann, Rottweiler too I think.
agent 0: Would you like to get one now,since they are really cute?
agent 1: Nah, I don't think I'd get one, ya know? Just not a dog person, really.",1,1,1,1,casual
3,"agent 0: I'm ready for football season to start, NFL preseason started this week, and I can't wait for regular season and I'm really looking forward to the NCAA kickoff!
agent 1: Whats your favorite team?
agent 0: In NFL it's the Packers and college is Alabama","agent 0: I'm ready for football season to start, NFL preseason started this week, and I can't wait for regular season and I'm really looking forward to the NCAA kickoff!
agent 1: Whats your favorite team?
agent 0: For the NFL, I'm all about the Packers, and in college ball, it's'Bama all the way.",0,0,0,0,casual
4,"agent 0: My son recently was jumping on the couch and broke it.
agent 1: Wow! Did you punish him or anything?
agent 0: I put him in time out to let him think about what he did.
agent 1: You are doing the right thing for him to learn discipline.
agent 0: Maybe it was all the sugar, but he couldn't stay still for the duration of his punishment.
agent 1: How did your son get so much sugar in his system?
agent 0: I think it must be from all the sugary drinks he got from the neighbor kid's house.
agent 1: Maybe you should ban him from having any sugary drinks as punishment. It might make him more healthy as well.
agent 0: That's a good idea, I will need to talk with the neighbor about this to ensure he sticks to it.
agent 1: How long have you known your neighbor for? I'm a bit worried that your son can just get sugary drinks from them.
agent 0: A little bit of time, but our kids get a long better than we do.
agent 1: How often do you kids visit your neighbor?","agent 0: My son recently was jumping on the couch and broke it.
agent 1: Wow! Did you punish him or anything?
agent 0: I put him in time out to let him think about what he did.
agent 1: You are doing the right thing for him to learn discipline.
agent 0: Maybe it was all the sugar, but he couldn't stay still for the duration of his punishment.
agent 1: How did your son get so much sugar in his system?
agent 0: I think it must be from all the sugary drinks he got from the neighbor kid's house.
agent 1: Maybe you should ban him from having any sugary drinks as punishment. It might make him more healthy as well.
agent 0: That's a good idea, I will need to talk with the neighbor about this to ensure he sticks to it.
agent 1: How long have you known your neighbor for? I'm a bit worried that your son can just get sugary drinks from them.
agent 0: A little bit of time, but our kids get a long better than we do.
agent 1: How often do your kiddos pop over to the neighbor's place?",0,0,0,0,casual
5,"agent 0: I had been studying so hard for a test and was very confident going in.
agent 1: How did it go?
agent 0: I don't know, yet. I know a lot, about a lot of things, so I probably did good on it.
agent 1: Sounds like you should do fine. Where are you from?
agent 0: Florida. It's finally getting cooler here. Where are you from?
agent 1: Originally from Moscow. Now I live in Minnesota
agent 0: Moscow! Really? So do you speak Russian?
agent 1: Yes. My family moved here when I was 17, but I still have a thick accent as well and that was 6 years ago
agent 0: I wish I could speak another language. I can do a lot of things, but I never got the hang of speaking a foreign language.
agent 1: Yes. English was hard for me to pick up. How old are you?
agent 0: 62. I've heard English is a hard language to learn.
agent 1: You're the same age as my father. The hard part for me was learning the midwestern dialect","agent 0: I had been studying so hard for a test and was very confident going in.
agent 1: How did it go?
agent 0: I don't know, yet. I know a lot, about a lot of things, so I probably did good on it.
agent 1: Sounds like you should do fine. Where are you from?
agent 0: Florida. It's finally getting cooler here. Where are you from?
agent 1: Originally from Moscow. Now I live in Minnesota
agent 0: Moscow! Really? So do you speak Russian?
agent 1: Yes. My family moved here when I was 17, but I still have a thick accent as well and that was 6 years ago
agent 0: I wish I could speak another language. I can do a lot of things, but I never got the hang of speaking a foreign language.
agent 1: Yes. English was hard for me to pick up. How old are you?
agent 0: 62. I've heard English is a hard language to learn.
agent 1: You're as old as my dad. Man, picking up that midwestern way of talking was tough!",0,0,0,1,casual
6,"agent 0: I had my 20th class reunion last year
agent 1: that sounds exciting. Did a lot of people show?
agent 0: No. Very few of us showed. It was fun anyway.
agent 1: I had my 20th class Reunion a few years ago. Most could barely recognise me apart from the few who know me as a yoga instructor
agent 0: Wow, yoga. I love yoga, but I'm a beginner. You must have looked great.
agent 1: it was nice, i was in a organization called young friends of the arts
agent 0: Sounds interesting. I'm not into the arts. I enjoy training dogs.
agent 1: I like dogs. I wrote a poem about my Dog. It even got published
agent 0: Yoga and writing. Nice. I have a headache. I need a Coke for the caffiene.
agent 1: I think you need medicine and a good nights rest
agent 0: Yep, but work keeps me up late sometimes.","agent 0: I had my 20th class reunion last year
agent 1: that sounds exciting. Did a lot of people show?
agent 0: No. Very few of us showed. It was fun anyway.
agent 1: I had my 20th class Reunion a few years ago. Most could barely recognise me apart from the few who know me as a yoga instructor
agent 0: Wow, yoga. I love yoga, but I'm a beginner. You must have looked great.
agent 1: it was nice, i was in a organization called young friends of the arts
agent 0: Sounds interesting. I'm not into the arts. I enjoy training dogs.
agent 1: I like dogs. I wrote a poem about my Dog. It even got published
agent 0: Yoga and writing. Nice. I have a headache. I need a Coke for the caffiene.
agent 1: I think you need medicine and a good nights rest
agent 0: Yeah, but sometimes work's got me up all hours of the night.",0,0,0,0,casual
7,"agent 0: I enjoyed my day the other day, found out something good! Newphew may come to live with us for ayear.
agent 1: Nice! How old is your nephew?
agent 0: 11, he wants to see us for more then 2 weeks a year.","agent 0: I enjoyed my day the other day, found out something good! Newphew may come to live with us for ayear.
agent 1: Nice! How old is your nephew?
agent 0: 11, he's keen on hanging with us for more than just a couple of weeks a year.",0,0,0,0,casual
8,"agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one. I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: I'm not sure.","agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one. I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: Dunno, actually.",0,0,0,0,casual
9,"agent 0: I spent all weekend alone, wish my family lived closer.
agent 1: i know what you mean. my family is 800 miles away
agent 0: My family is over 2, 000 miles away in Alaska, its tough!","agent 0: I spent all weekend alone, wish my family lived closer.
agent 1: i know what you mean. my family is 800 miles away
agent 0: My fam's like over 2k miles away in Alaska, it's super tough!",0,0,0,0,casual
