model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert,singlish,89.216,87.255,-2.2,-1.912,0.5270892568655381,0.6661617556426788,0.5270892568655381,ns,False
bert,grammatical_role,93.939,89.394,-4.8,-4.483,0.08326451666355039,0.3490589487570521,0.08326451666355039,.,False
bert,temporal_bias,92.0,89.0,-3.3,-2.946,0.17971249487899976,0.47198509327102633,0.17971249487899976,ns,False
bert,length_bias,90.0,91.0,1.1,0.977,0.5637028616507731,0.8117668570523625,0.5637028616507731,ns,False
bert,sentiment,87.0,86.0,-1.1,-0.97,0.8185458083820434,0.8380865601102542,0.8185458083820434,ns,False
bert,dialectal,89.0,86.0,-3.4,-2.924,0.25683925795785656,0.5236763651590871,0.25683925795785656,ns,False
bert,compound_word,94.737,91.579,-3.3,-3.121,0.08326451666355039,0.39156865377084304,0.08326451666355039,.,False
bert,punctuation,91.0,90.0,-1.1,-0.98,0.31731050786291415,0.8117668570523625,0.31731050786291415,ns,False
bert,negation,93.75,77.083,-17.8,-16.433,0.0006467491225764763,0.0011101389040730342,0.0006467491225764763,**,True
bert,coordinating_conjunction,92.0,93.0,1.1,0.982,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
bert,derivation,95.402,91.954,-3.6,-3.413,0.08326451666355039,0.35325346863904583,0.08326451666355039,.,False
bert,capitalization,92.929,92.929,0.0,0.0,1.0,1.0,1.0,ns,False
bert,active_to_passive,92.0,85.0,-7.6,-6.873,0.019630657257290667,0.12223899907783983,0.019630657257290667,*,True
bert,casual,96.0,89.0,-7.3,-6.938,0.019630657257290667,0.06122665691521674,0.019630657257290667,*,True
bert,concept_replacement,90.0,88.0,-2.2,-1.954,0.4142161782425253,0.6537209762319763,0.4142161782425253,ns,False
bert,discourse,88.889,87.879,-1.1,-0.984,0.5637028616507731,0.8266512509534925,0.5637028616507731,ns,False
bert,typo_bias,90.0,86.0,-4.4,-3.908,0.045500263896358396,0.3864687429651166,0.045500263896358396,*,True
bert,geographical_bias,87.0,86.0,-1.1,-0.97,0.6547208460185769,0.8380865601102542,0.6547208460185769,ns,False
gpt2,singlish,90.196,88.235,-2.2,-1.917,0.5270892568655381,0.65406471570485,0.5270892568655381,ns,False
gpt2,grammatical_role,87.879,87.879,0.0,0.0,1.0,1.0,1.0,ns,False
gpt2,temporal_bias,90.0,85.0,-5.6,-4.886,0.025347318677468256,0.2872216810116117,0.025347318677468256,*,True
gpt2,length_bias,90.0,90.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt2,sentiment,88.0,80.0,-9.1,-7.778,0.045500263896358396,0.12423280594720978,0.045500263896358396,*,True
gpt2,dialectal,88.0,86.0,-2.3,-1.944,0.5637028616507731,0.6764098418887313,0.5637028616507731,ns,False
gpt2,compound_word,95.789,91.579,-4.4,-4.171,0.15729920705028505,0.2353406485291034,0.15729920705028505,ns,False
gpt2,punctuation,94.0,92.0,-2.1,-1.973,0.15729920705028505,0.5822356012669514,0.15729920705028505,ns,False
gpt2,negation,89.583,77.083,-14.0,-12.201,0.007290358091535636,0.020573635320613473,0.007290358091535636,**,True
gpt2,coordinating_conjunction,91.0,91.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt2,derivation,87.356,86.207,-1.3,-1.115,0.6547208460185769,0.8253863576971782,0.6547208460185769,ns,False
