,task,modification,original_res,modified_res,difference,pct_difference,p_value
3,dialogue_contradiction_detection,temporal_bias_100,0.85,0.87,0.02,2.35,0.6854046880502205
9,dialogue_contradiction_detection,geographical_bias_100,0.85,0.83,-0.02,-2.56,0.691736857593795
0,dialogue_contradiction_detection,length_bias_100,0.87,0.85,-0.02,-2.3,0.6854046880502205
8,dialogue_contradiction_detection,typo_bias_100,0.88,0.92,0.04,4.55,0.34827349299691723
5,dialogue_contradiction_detection,capitalization_100,0.86,0.85,-0.01,-1.2,0.8365912053827482
1,dialogue_contradiction_detection,punctuation_100,0.87,0.87,-0.0,-0.0,1.0
13,dialogue_contradiction_detection,derivation_100,0.89,0.89,-0.0,-0.0,1.0
6,dialogue_contradiction_detection,compound_word_100,0.88,0.84,-0.04,-4.55,0.41753562778940156
16,dialogue_contradiction_detection,active_to_passive_100,0.85,0.86,0.01,1.18,0.8418119179426946
11,dialogue_contradiction_detection,grammatical_role_100,0.85,0.72,-0.13,-15.62,0.04662252112899224
4,dialogue_contradiction_detection,coordinating_conjunction_100,0.88,0.89,0.01,1.14,0.8256588974023923
12,dialogue_contradiction_detection,concept_replacement_100,0.86,0.84,-0.02,-2.33,0.6938367052722074
7,dialogue_contradiction_detection,negation_100,0.83,0.74,-0.09,-10.84,0.1225838467648664
2,dialogue_contradiction_detection,discourse_100,0.8,0.83,0.02,2.86,0.6975477832445045
14,dialogue_contradiction_detection,sentiment_100,0.87,0.83,-0.04,-4.6,0.43083027098298143
15,dialogue_contradiction_detection,casual_100,0.89,0.87,-0.02,-2.25,0.6653280635816363
10,dialogue_contradiction_detection,dialectal_100,0.83,0.79,-0.04,-4.82,0.4734164794067509
17,dialogue_contradiction_detection,average,0.86,0.84,-0.02,-2.29,
