,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Squar in the 1960s.","[{'text': 'German', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Squar', 'value': 'LOCATION'}]","[{'MacKeith': 'PERSON'}, {'Aldermaston Marches': 'EVENT'}, {'Vietnam War': 'EVENT'}, {'Grosvenor Square': 'LOCATION'}]","A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Square in the 1960s.","[{'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Square', 'value': 'LOCATION'}]","[{'German': 'LOCATION'}, {'MacKeith': 'PERSON'}, {'Aldermaston Marches': 'EVENT'}, {'Vietnam War': 'EVENT'}, {'Grosvenor Square': 'LOCATION'}]",
1,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New Yok; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New Yok', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'Grill Room': 'LOCATION'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall': 'PERSON'}, {'Hotel Taft Orchestra': 'ORGANIZATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'LOCATION'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall', 'value': 'PERSON'}, {'text': 'Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]",
2,Kenyon entered Mayooth Seminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Mayooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'Kenyon': 'PERSON'}, {'Mayooth Seminary': 'ORGANIZATION'}, {'1829': 'EVENT'}, {'Catholic Emancipation': 'EVENT'}]",Kenyon entered Maynooth Seminary in 1829 â the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'ORGANIZATION'}, {'text': '1829', 'value': 'EVENT'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'Kenyon': 'PERSON'}, {'Maynooth Seminary': 'ORGANIZATION'}, {'Catholic Emancipation': 'EVENT'}]",
3,"The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eifel Tower.","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Eifel Tower', 'value': 'BUILDING'}]","[{'Paris Las Vegas': 'LOCATION'}, {'Eifel Tower': 'BUILDING'}, {'Pteranodons': 'OTHER'}]","The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eiffel Tower.","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Eiffel Tower', 'value': 'BUILDING'}, {'text': 'Pteranodons', 'value': 'OTHER'}]","[{'Paris Las Vegas': 'LOCATION'}, {'Eiffel Tower': 'BUILDING'}]",
4,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazne.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazne', 'value': 'ORGANIZATION'}]","[{'CNN': 'ORGANIZATION'}, {'The Huffington Post': 'ORGANIZATION'}, {'Hypebeast': 'ORGANIZATION'}, {'The Guardian': 'ORGANIZATION'}, {'Juxtapoz Magazine': 'ORGANIZATION'}, {'Daily Mail': 'ORGANIZATION'}, {'NRDC': 'ORGANIZATION'}, {'Aljazeera': 'ORGANIZATION'}, {'Hi-Fructose Magazne': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'CNN': 'ORGANIZATION'}, {'The Huffington Post': 'ORGANIZATION'}, {'Hypebeast': 'ORGANIZATION'}, {'The Guardian': 'ORGANIZATION'}, {'Juxtapoz Magazine': 'ORGANIZATION'}, {'Daily Mail, NRDC': 'ORGANIZATION'}, {'Aljazeera': 'ORGANIZATION'}, {'Hi-Fructose Magazine': 'ORGANIZATION'}]",
5,Malcolm III (; c.26 March 1031 – 13 November 1093 (age 62)) was King of Scts from 1058 to 1093.,"[{'text': 'Malcolm III', 'value': 'PERSON'}, {'text': 'Scts', 'value': 'LOCATION'}]","[{'Malcolm III': 'PERSON'}, {'King of Scts': 'TITLE'}]",Malcolm III (; c.26 March 1031 â 13 November 1093 (age 62)) was King of Scots from 1058 to 1093.,"[{'text': 'Malcolm III', 'value': 'PERSON'}, {'text': 'King of Scots', 'value': 'TITLE'}]","[{'Malcolm III': 'PERSON'}, {'Scots': 'LOCATION'}]",
6,"After the end of the Civil War, Yong was excluded from President Andrew Johns on's amnesty proclamation.","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Yong', 'value': 'PERSON'}, {'text': 'Andrew Johns', 'value': 'PERSON'}]","[{'Civil War': 'EVENT'}, {'Yong': 'PERSON'}, {'President Andrew Johnson': 'PERSON'}]","After the end of the Civil War, Young was excluded from President Andrew Johns on's amnesty proclamation.","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Young', 'value': 'PERSON'}, {'text': 'President Andrew Johnson', 'value': 'PERSON'}]","[{'Civil War': 'EVENT'}, {'Young': 'PERSON'}, {'Andrew Johns': 'PERSON'}]",
7,"In 1967, the park was the gathering place, for a peaceful anti-war rally.",[],[{'1967': 'EVENT'}],"In 1967, the park was the gathering place for a peaceful anti-war rally.","[{'text': '1967', 'value': 'EVENT'}, {'text': 'park', 'value': 'LOCATION'}]",[],
8,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada, from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}, {'text': '1975', 'value': 'EVENT'}, {'text': '1979', 'value': 'EVENT'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]",
9,Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakr.,"[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': 'Regia Aeronautica', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'Vichy French Air Force', 'value': 'ORGANIZATION'}, {'text': 'French North Africa', 'value': 'LOCATION'}, {'text': 'British', 'value': 'ORGANIZATION'}, {'text': 'Free French', 'value': 'ORGANIZATION'}, {'text': 'Mers-el-Kebir', 'value': 'LOCATION'}, {'text': 'Dakr', 'value': 'LOCATION'}]","[{'Gibraltar': 'LOCATION'}, {'1940': 'EVENT'}, {'Italian': 'OTHER'}, {'Regia Aeronautica': 'ORGANIZATION'}, {'Sardinia': 'LOCATION'}, {'Vichy French Air Force': 'ORGANIZATION'}, {'French North Africa': 'LOCATION'}, {'British': 'OTHER'}, {'Free French': 'OTHER'}, {'Mers-el-Kebir': 'LOCATION'}, {'Dakr': 'LOCATION'}]",Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakar.,"[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': '1940', 'value': 'EVENT'}, {'text': 'Italian ``Regia Aeronautica``', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'Vichy French Air Force', 'value': 'ORGANIZATION'}, {'text': 'French North Africa', 'value': 'LOCATION'}, {'text': 'British', 'value': 'ORGANIZATION'}, {'text': 'Free French', 'value': 'ORGANIZATION'}, {'text': 'Mers-el-Kebir', 'value': 'LOCATION'}, {'text': 'Dakar', 'value': 'LOCATION'}]","[{'Gibraltar': 'LOCATION'}, {'Regia Aeronautica': 'ORGANIZATION'}, {'Sardinia': 'LOCATION'}, {'Vichy French Air Force': 'ORGANIZATION'}, {'French North Africa': 'LOCATION'}, {'British': 'ORGANIZATION'}, {'Free French': 'ORGANIZATION'}, {'Mers-el-Kebir': 'LOCATION'}, {'Dakar': 'LOCATION'}]",
