original_text,modified_text,modified_label,modified_pred,original_pred
this movie is maddening.,THIS movie is maddening.,0,0,0
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so EXPLOITATIVE in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0
no aspirations to social import inform the movie version.,NO aspirations to social import inform the movie version.,0,0,0
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,SO unremittingly awful that labeling it a dog probably constitutes cruelty to CANINES.,0,0,0
teen movies have really hit the skids.,TEEN movies have really hit the skids.,0,0,0
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,TAYLOR appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,0
just one bad idea after another.,JUST one bad idea after another.,0,0,0
too much of it feels unfocused and underdeveloped.,TOO much of it feels unfocused and underdeveloped.,0,0,0
indifferently implausible popcorn programmer of a movie.,INDIFFERENTLY implausible popcorn programmer of a movie.,0,2,0
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggering camaraderie, but more often just feels GENERIC, derivative and done to death.",0,0,0
a valueless kiddie paean to pro basketball underwritten by the nba.,a valueless kiddie paean to pro basketball underwritten by the NBA.,0,0,0
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of LAZINESS to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0
"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.","WITHOUT non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0,0,0
"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?","SLAPSTICK buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,0
the cold turkey would've been a far better title.,THE cold turkey would've been a far better title.,0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of ZIGZAG is not sufficiently developed to support a film constructed around him.,0,0,0
"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action PINOCCHIO he directed, cowrote and starred in borders on the grotesque.",0,0,0
the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,THE primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1,2,2
"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.","whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or NONE of the above, it is as seductive as it is haunting.",1,1,1
... a magnificent drama well worth tracking down.,... a MAGNIFICENT drama well worth tracking down.,1,1,1
"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.","what really makes it SPECIAL is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1,1,1
"minority report is exactly what the title indicates, a report.","MINORITY report is exactly what the title indicates, a report.",1,2,2
"for the first time in years, de niro digs deep emotionally, perhaps because he's been stirred by the powerful work of his co-stars.","for the first time in years, DE NIRO digs deep emotionally, perhaps because he's been stirred by the powerful work of his CO-STARS.",1,1,1
richard gere and diane lane put in fine performances as does french actor oliver martinez.,RICHARD gere and diane lane put in FINE performances as does french actor oliver martinez.,1,1,1
my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,my big fat greek wedding uses stereotypes in a delightful blend of sweet ROMANCE and lovingly dished out humor.,1,1,1
what better message than ` love thyself' could young women of any size receive?,what better message than ` LOVE thyself' could young women of any size receive?,1,1,1
enormously entertaining for moviegoers of any age.,ENORMOUSLY entertaining for moviegoers of any age.,1,1,1
"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.","on the heels of the RING comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to CREEPINESS.",1,2,2
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,AN intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,1,2,2
"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.","what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of HOPE in the form of collective action.",1,1,1
it's a lovely film with lovely performances by buy and accorsi.,it's a LOVELY film with LOVELY performances by buy and accorsi.,1,1,1
"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.","there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a SUBMARINE.",1,2,2
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,it's an offbeat treat that pokes fun at the DEMOCRATIC exercise while also examining its significance for those who take part.,1,2,1
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,what distinguishes TIME of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,2,2
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you're talking about a slapstick comedy, that's a pretty big PrObLeM.",0,0,0
"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.","suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hOlLyWoOd.",0,0,0
the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,the affectionate loopiness that once seemed congenital to dEmMe's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hOlLyWoOd post-production effects.,0,0,0
"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.","visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely rEiMaGiNe it.",0,0,0
"as the latest bid in the tv-to-movie franchise game, i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor.","as the latest bid in the tv-to-movie franchise game, i sPy MaKeS its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor.",0,0,0
or doing last year's taxes with your ex-wife.,oR doing last year's taxes with your ex-wife.,0,0,0
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,no one but a convict guilty of some truly heinous crime should have to sit through the mAsTeR oF dIsGuIsE.,0,0,0
too much of it feels unfocused and underdeveloped.,too much of it feels unfocused and uNdErDeVeLoPeD.,0,0,0
indifferently implausible popcorn programmer of a movie.,iNdIfFeReNtLy implausible popcorn programmer of a movie.,0,2,0
more whiny downer than corruscating commentary.,mOrE whiny downer than corruscating commentary.,0,0,0
"too often, the viewer is n't reacting to humor so much as they are wincing back in repugnance.","too often, the viewer is n't reacting to humor so much as they are wincing back in rEpUgNaNcE.",0,0,0
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mAtTeI is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,0
"even the finest chef ca n't make a hotdog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy.","even the finest chef ca n't make a hotdog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashy cop buddy CoMeDy.",0,0,0
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was RaIlInG against.",0,0,0
"comes off like a rejected abc afterschool special, freshened up by the dunce of a screenwriting 101 class.","comes off like a rejected abc afterschool special, freshened up by the dUnCe of a screenwriting 101 class.",0,0,0
two hours fly by -- opera's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated.,two hours fly by -- opera's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away eXhIlArAtEd.,1,1,1
a marvel like none you've seen.,a mArVeL like none you've seen.,1,1,1
"about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and psychological.","about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and pSyChOlOgIcAl.",1,1,1
"the very definition of the ` small' movie, but it is a good stepping stone for director sprecher.","the very definition of the ` small' movie, but it is a good stepping stone for director SpReChEr.",1,1,1
"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.","there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the MaJoRiTy.",1,1,1
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a gOoD wIlL hUnTiNg trilogy that was never planned.,1,2,2
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rAgE in 2002.,1,1,1
"this is a good script, good dialogue, funny even for adults.","this is a gOoD script, good dialogue, funny even for adults.",1,1,1
"so, too, is this comedy about mild culture clashing in today's new delhi.","so, too, is this comedy about mild culture clashing in today's new DeLhI.",1,2,2
it's made with deftly unsettling genre flair.,iT's made with deftly unsettling genre flair.,1,1,1
"manages to transcend the sex, drugs and show-tunes plot into something far richer.","mAnAgEs to transcend the sex, drugs and show-tunes plot into something far richer.",1,1,1
enormously entertaining for moviegoers of any age.,enormously entertaining for moviegoers of aNy AgE.,1,1,1
"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.","there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a sUbMaRiNe.",1,2,2
if steven soderbergh's ` solaris' is a failure it is a glorious failure.,if steven soderbergh's ` solaris' is a failure it is a gLoRiOuS failure.,1,2,0
"an interesting story with a pertinent ( cinematically unique ) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing.''","an interesting story with a pertinent ( cinematically unique ) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` mIsSiNg thing.''",1,2,2
"minority report is exactly what the title indicates, a report.","miNoRiTy report is exactly what the title indicates, a report.",1,2,2
it's fascinating to see how bettany and mcdowell play off each other.,it's fascinating to see how bEtTaNy and mCdOwElL play off each other.,1,1,1
a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left.,A science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left.,0,0,0
no aspirations to social import inform the movie version.,No aspirations to social import inform the movie version.,0,0,0
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","A misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0,0,0
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,Nothing in waking up in Reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,0,0,0
"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.","Without non-stop techno or the existential overtones of a kieslowski morality tale, Maelström is just another winter sleepers.",0,0,0
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,So unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0,0,0
"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.","By getting myself wrapped up in the visuals and eccentricities of many of the characters, I found myself confused when it came time to get to the heart of the movie.",0,0,0
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,No one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0,0,0
"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.","This is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.",0,0,0
"a broad, melodramatic estrogen opera that's pretty toxic in its own right.","A broad, melodramatic estrogen opera that's pretty toxic in its own right.",0,0,0
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,0,0
like you could n't smell this turkey rotting from miles away.,Like you could n't smell this turkey rotting from miles away.,0,0,0
coughs and sputters on its own postmodern conceit.,Coughs and sputters on its own postmodern conceit.,0,0,0
almost gags on its own gore.,Almost gags on its own gore.,0,0,0
the cold turkey would've been a far better title.,The cold turkey would've been a far better title.,0,0,0
"i sympathize with the plight of these families, but the movie does n't do a very good job conveying the issue at hand.","I sympathize with the plight of these families, but the movie does n't do a very good job conveying the issue at hand.",0,0,0
