model,negation_type,original_mean_f1,modified_mean_f1,mean_f1_pct_change,weighted_delta,sample_size,p_value,significance
GPT2,absolute,49.1031412565026,53.341336534613845,8.631210080780704,3.583625674086115,28,0.11585149752593009,ns
GPT2,double,56.021408563425375,52.44997999199679,-6.375113841318616,-3.1220607575427577,14,0.6547208460185769,ns
GPT2,lexical,46.277741865977156,42.52693385046326,-8.104993597951344,-3.1232456219365576,26,0.3454475304692257,ns
GPT2,verbal,51.297018807523,51.41956782713084,0.23890086101819571,0.10478505675616465,28,0.9465893537715819,ns
GPT2,approximate,57.27891156462585,57.44897959183673,0.29691211401424633,0.14948935006389802,14,0.6547208460185769,ns
BERT,absolute,52.883576507526094,49.427270908363354,-6.535688066919712,-2.978161697473305,28,0.32806478170083675,ns
BERT,double,56.099439775910355,56.53461384553821,0.7757191005225037,0.38055069931418484,14,0.6547208460185769,ns
BERT,lexical,49.93689191652993,46.72743922743923,-6.427017313082558,-2.7255017384625355,26,0.12819017434510785,ns
BERT,verbal,53.47031120140364,50.29545034797135,-5.937614317361501,-2.743258699404092,28,0.4652088184521418,ns
BERT,approximate,57.49084249084249,57.74594453165882,0.4437263914804636,0.22443860624940642,14,0.6547208460185769,ns
T5,absolute,54.04188948306595,57.19581772102781,5.8360806184434795,2.732453865765731,28,0.12819017434510785,ns
T5,double,53.816738816738805,44.733560090702944,-16.877980579549142,-7.861115947083583,14,0.11484960926328609,ns
T5,lexical,50.38371758959993,50.943223443223445,1.1104894207707383,0.47622066824946746,26,0.49819405658410876,ns
T5,verbal,53.24823868941517,54.97952444381014,3.251348395752899,1.494363840967201,28,0.7353166906373405,ns
T5,approximate,57.3711605854463,55.38267288267287,-3.466005711723145,-1.7485703335666978,14,0.6547208460185769,ns
