,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: Hello. I was just thinking about all the amazing colours in the world. I think green is my favourite. What about you?
agent 1: I like primary colors like Blue too.
agent 0: Yes to be honest I like them both however when you go into nature and you see the greens of the forests, the grass, the mountains it can be just amazing.
agent 1: Yes, chlorophyll in plants is an amazing substance
agent 0: I dont know much about that. What is cholorphyll used for?
agent 1: Chlorophyll is used by plants to make chemical energy from the sun.
agent 0: oh that is very interesting. Thank you for explaining it to me. So some of the things in nature that are the colour green do have very important roles then?","agent 0: Hello. I was just thinking about all the amazing colours in the world. I think green is my favourite. What about you?
agent 1: I like primary colors like Blue too.
agent 0: Yes to be honest I like them both however when you go into nature and you see the greens of the forests, the grass, the mountains it can be just amazing.
agent 1: Yes, chlorophyll in plants is an amazing substance
agent 0: I dont know much about that. What is cholorphyll used for?
agent 1: Chlorophyll is used by plants to make chemical energy from the sun.
agent 0: oh that is very interesting. Thank you for explaining it to me. Some of the things in nature that are the colour green do have very important roles then?",0,0,0,0,delete
1,"agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are like that. Did you tell your husband?","agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are like that. You told your husband?",0,0,0,0,delete
2,"agent 0: Chocolate makes people happy, don't you agree?
agent 1: I think Chocolate is a key to happiness! It's so sweet, those roasted cacao seeds are a blessing for us.
agent 0: We have a chocolate factory in the town where i leave. I think it feeds my love of chocolate.
agent 1: Have you ever had the seeds from the cacao tree? Before they are processed they are pretty bitter and are fermented before being processed into chocolate.
agent 0: No I have not. Where do you purchase them?
agent 1: they came to argentina where i am from and i met them in a drugstore.
agent 0: You met who in a drugstore?
agent 1: Sorry, I got the cacao seeds there.
agent 0: Ah I see. I've never seen them in a drug store around here. I will ask my twin sister though. She works at a drug store.
agent 1: If you can't find them locally, you can always find them online.
agent 0: That's a good idea. I do a lot of shopping on amazon. Have you started Christmas shopping yet?
agent 1: No, but I need to get started. Have you?
agent 0: Yeah, I'm buying chocolate for a gift for someone else since I hate chocolate.","agent 0: Chocolate makes people happy, don't you agree?
agent 1: I think Chocolate is a key to happiness! It's so sweet, those roasted cacao seeds are a blessing for us.
agent 0: We have a chocolate factory in the town where i leave. I think it feeds my love of chocolate.
agent 1: Have you ever had the seeds from the cacao tree? Before they are processed they are pretty bitter and are fermented before being processed into chocolate.
agent 0: No I have not. Where do you purchase them?
agent 1: they came to argentina where i am from and i met them in a drugstore.
agent 0: You met who in a drugstore?
agent 1: Sorry, I got the cacao seeds there.
agent 0: Ah I see. I've never seen them in a drug store around here. I will ask my twin sister though. She works at a drug store.
agent 1: If you can't find them locally, you can always find them online.
agent 0: That's a good idea. I do a lot of shopping on amazon. Have you started Christmas shopping yet?
agent 1: No, but I need to get started. Have you?
agent 0: Yeah, I'm buying chocolate for a gift for someone else because I actually hate chocolate.",1,1,1,1,add
3,"agent 0: hello, i'm just finishing my mexican food. i apologize for my rudeness.
agent 1: no worries. i'm listening to some country music with my cow bessie
agent 0: oh i would love to see your cow
agent 1: i drive a large pickup so i could haul her to where you live to show you
agent 0: that's sweet of you to offer! i work in construction and get sent many places.
agent 1: i just stay at home working on mom and dads farm so i'd like an adventure
agent 0: well, we can meet up. tell me when!
agent 1: i'll have to check with my parents but maybe next thursday
agent 0: that sounds wonderful! what is your favorite music?
agent 1: country all the way! its all i listen to. you?
agent 0: well, i'm a big aerosmith fan, but i also like country.
agent 1: aerosmith is not bad but i love country so much
agent 0: me too. they play it at the nascar races that i attend.
agent 1: i am a nascar fan too!","agent 0: hello, i'm just finishing my mexican food. i apologize for my rudeness.
agent 1: no worries. i'm listening to some country music with my cow bessie
agent 0: oh i would love to see your cow
agent 1: i drive a large pickup so i could haul her to where you live to show you
agent 0: that's sweet of you to offer! i work in construction and get sent many places.
agent 1: i just stay at home working on mom and dads farm so i'd like an adventure
agent 0: well, we can meet up. tell me when!
agent 1: i'll have to check with my parents but maybe next thursday
agent 0: that sounds wonderful! what is your favorite music?
agent 1: country all the way! its all i listen to. you?
agent 0: well, i'm a big aerosmith fan, but i also like country.
agent 1: aerosmith is not bad but i love country so much
agent 0: me too. they play it at the nascar races that i attend.
agent 1: Skip",0,0,0,0,delete
4,"agent 0: It's almost football season! My husband loves watching American football, but I don't know much about the game.
agent 1: I like football too, but am a bit rusty with all the rules. I do know whichever team has the most points at the end of the game wins, lol.
agent 0: Ha! That's about the extent of my knowledge! Do you know how long the NFL has been around?
agent 1: I know history a bit better than the rules. I believe the first game of American football took place in 1869. It was a college game.
agent 0: That's news to me! I had no idea college football came before the NFL. Do you know how many teams are currently in the NFL?
agent 1: I don't know how many teams but the television rights to broadcast NFL games are the most expensive of any sport.
agent 0: I can believe that! I know Superbowl ads are ridiculously expensive! What other facts can you share about American football?","agent 0: It's almost football season! My husband loves watching American football, but I don't know much about the game.
agent 1: I like football too, but am a bit rusty with all the rules. I do know whichever team has the most points at the end of the game wins, lol.
agent 0: Ha! That's about the extent of my knowledge! Do you know how long the NFL has been around?
agent 1: I know history a bit better than the rules. I believe the first game of American football took place in 1869. It was a college game.
agent 0: That's news to me! I had no idea college football came before the NFL. Do you know how many teams are currently in the NFL?
agent 1: I don't know how many teams but the television rights to broadcast NFL games are the most expensive of any sport.
agent 0: I can believe that! Superbowl ads are ridiculously expensive! What other facts can you share about American football?",0,0,0,0,delete
5,"agent 0: hello! how are you today?
agent 1: i'm fine from alabama, enjoying my tacos and brother.
agent 0: that sounds delicious. i am drinking my coffee.
agent 1: oh yea? i am liking my tacos then.
agent 0: tacos are yummy. just not margaritas.
agent 1: oh darn. how many siblings do you have?
agent 0: i've 2 sisters. they love pink, i hate pink.
agent 1: i happen to have three. and a brother. go figure.
agent 0: oh wow. that sounds fun. do you have a bike?
agent 1: no no bike. in all labor there is profit, so i guess i could get one.
agent 0: yes, that's a good way to look at it. get a mountain bike.
agent 1: in the multitude of counselors there is safety. my lovely dog would run behind me.
agent 0: i am not sure i understand, but ok then.","agent 0: hello! how are you today?
agent 1: i'm fine from alabama, enjoying my tacos and brother.
agent 0: that sounds delicious. i am drinking my coffee.
agent 1: oh yea? i am liking my tacos then.
agent 0: tacos are yummy. just not margaritas.
agent 1: oh darn. how many siblings do you have?
agent 0: i've 2 sisters. they love pink, i hate pink.
agent 1: i happen to have three. and a brother. go figure.
agent 0: oh wow. that sounds fun. do you have a bike?
agent 1: no no bike. in all labor there is profit, so i guess i could get one.
agent 0: yes, that's a good way to look at it. get a mountain bike.
agent 1: in the multitude of counselors there is safety. my lovely dog would run behind me.
agent 0: i am not sure i understand. Ok then.",0,0,0,0,delete
6,"agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she is going to be so surprised! Is she hard to surpise?","agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she is going to be so surprised! Actually, is she hard to surprise?",0,0,0,0,add
7,"agent 0: No, but I do like sci-fi style games. What else do you know about this interesting game?
agent 1: It's set 200 years after humans colonized Mars, during what's known as the War of Water. Seems pretty interesting to me.
agent 0: Yes. That is very interesting.
agent 1: Do you enjoy video games?
agent 0: Oh Yes.
agent 1: I love video games.
agent 0: I also like video games.
agent 1: Which platform do you use? ie. the electronic system used to play video games.
agent 0: I use to playstation.
agent 1: old or new version? i love playing on both. did you get the new old system?
agent 0: I've had both the new and the old one. Is there one you prefer over the other?
agent 1: I haven't tried the new one yet but I do like the old one.","agent 0: No, but I do like sci-fi style games. What else do you know about this interesting game?
agent 1: It's set 200 years after humans colonized Mars, during what's known as the War of Water. Seems pretty interesting to me.
agent 0: Yes. That is very interesting.
agent 1: Do you enjoy video games?
agent 0: Oh Yes.
agent 1: I love video games.
agent 0: I also like video games.
agent 1: Which platform do you use? ie. the electronic system used to play video games.
agent 0: I use to playstation.
agent 1: old or new version? i love playing on both. did you get the new old system?
agent 0: I've had both the new and the old one. Is there one you prefer over the other?
agent 1: I haven't tried the new one yet, however, I do like the old one.",1,1,1,1,add
8,"agent 0: hello how are you doing
agent 1: i am well. where are you from?
agent 0: i'm from new york. how about you?
agent 1: i'm from florida. do you have any family
agent 0: i've my parents. how about you?
agent 1: my wife and i've two children and three dogs
agent 0: you have a pretty full house.
agent 1: we do indeed. do you like sports? i love the nfl and nba
agent 0: i like college ball. i also like nascar.
agent 1: what college team is your favorite? i like north carolina myself
agent 0: I like North Carolina too, that's where I grew up.","agent 0: hello how are you doing
agent 1: i am well. where are you from?
agent 0: i'm from new york. how about you?
agent 1: i'm from florida. do you have any family
agent 0: i've my parents. how about you?
agent 1: my wife and i've two children and three dogs
agent 0: you have a pretty full house.
agent 1: we do indeed. do you like sports? i love the nfl and nba
agent 0: i like college ball. i also like nascar.
agent 1: what college team is your favorite? i like north carolina myself
agent 0: I like North Carolina too, actually, that's where I grew up.",1,1,1,1,add
9,"agent 0: milk makes strong bones though, how do you supplement your diet?
agent 1: i'm vegetarian. you can get all your nutrition from plants, you know?
agent 0: Is it possible to be buff being a vegetarian?
agent 1: I wouldn't know, I'm hardly ""buff"" but feel healthy!
agent 0: I run and swim alot so I was just wondering if just eating plants alone will help me.
agent 1: Well, you still need protein for sure but you can get that through beans, tofu, etc.
agent 0: Wow I honestly did not know tofu had any protein. What's your favorite dish?
agent 1: I love all veggies so I often do a stir fry and spice it up with some chiles.
agent 0: That sounds very good! I need to try that out one day. How can I make it?
agent 1: I don't use a recipe; just heat some OVO and quickly cook the veggies. I like them still crunchy. Add spices as desired.
agent 0: What is OVO?
agent 1: Olive oil. If you like nuts, they are a good source of protein too. Just add some cashews or walnuts!","agent 0: milk makes strong bones though, how do you supplement your diet?
agent 1: i'm vegetarian. you can get all your nutrition from plants, you know?
agent 0: Is it possible to be buff being a vegetarian?
agent 1: I wouldn't know, I'm hardly ""buff"" but feel healthy!
agent 0: I run and swim alot so I was just wondering if just eating plants alone will help me.
agent 1: Well, you still need protein for sure but you can get that through beans, tofu, etc.
agent 0: Wow I honestly did not know tofu had any protein. What's your favorite dish?
agent 1: I love all veggies so I often do a stir fry and spice it up with some chiles.
agent 0: That sounds very good! I need to try that out one day. How can I make it?
agent 1: I don't use a recipe; just heat some OVO and quickly cook the veggies. I like them still crunchy. Add spices as desired.
agent 0: What is OVO?
agent 1: Olive oil. Moreover, if you like nuts, they are a good source of protein as well. Just add some cashews or walnuts!",0,0,0,0,add
