,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song, made into a gold-digging villainness in the special.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]",delete
1,"The B-52 pilot, Major Larry G.Messinger, recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'B-52': 'PRODUCT'}, {'Major Larry G.Messinger': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'value': 'PERSON'}]",delete
2,"Hunt represents the 8th legislative district in Omaha, the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}, {'Hunt': 'PERSON'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","[{'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}, {'text': 'Hunt', 'value': 'PERSON'}]",delete
3,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed with its neighbour Beinn Eunaich.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'Ben Cruachan': 'LOCATION'}, {'Beinn Eunaich': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'Ben Cruachan': 'LOCATION'}, {'Beinn Eunaich': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]",delete
4,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, it only ran for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]","[{'Martin Beck Theater': 'BUILDING'}, {'1939': 'OTHER'}]","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.",[{'Martin Beck Theater': 'BUILDING'}],"[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}, {'text': '1939', 'value': 'OTHER'}]",delete
5,"USP42 has also been shown to deubiquitinate p53, may be required for the ability of p53 to respond to stress.","[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'USP42': 'PROTEIN'}, {'p53': 'PROTEIN'}]",USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'USP42': 'OTHER'}, {'p53': 'OTHER'}, {'p53': 'OTHER'}]","[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]",delete
6,"It was produced by Richard D.Zanuck, David Brown.","[{'text': 'Richard D.Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]","[{'text': 'Richard D.Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]",delete
7,"She has also written fiction, her work has gained awards.",[],[],She has also written fiction and her work has gained awards.,[],[],delete
8,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors, driven by Marek personally; a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': ""DB5 extended 4''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'DB5': 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{""DB5 extended 4''"": 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}, {'V8 unit': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}]",delete
9,The peasantry was also aggrieved; between 1846 and 1848 opposition to Sturdza intensified.,"[{'text': 'Sturdza', 'value': 'PERSON'}]",[{'Sturdza': 'PERSON'}],"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.",[{'Sturdza': 'PERSON'}],"[{'text': 'Sturdza', 'value': 'PERSON'}]",delete
