,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,The blimp hit the tree because it was in the way.,The blimp impacted the tree because it was obstructing.,1,1,1,it,"0: The blimp, 1: the tree",1,derivation
1,"The skeleton was scarier than the pumpkin, because it was rather simplistic and orange.","The skeleton was scarier than the pumpkin, because it was rather simplistic and orange-ish.",1,1,1,it,"0: The skeleton, 1: the pumpkin",1,derivation
2,The student wanted to ask the professor for help but decided not to because he was too intimidating.,The student wanted to ask the professor for assistance but decided not to because he was too scary.,1,1,1,he,"0: The student, 1: the professor",1,derivation
3,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.","Because the BFG refuses to devour the human, he survives on a revolting vegetable known as a `Snozzcumber'.",0,0,0,he,"0: the BFG, 1: the human",0,derivation
4,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to get back together with Bob, but his pride was injured and he refused to take her back.",1,0,0,his,"0: Lance, 1: Bob",1,derivation
5,"Since the linesmen are relatively far away from the referees, they are also responsible for observing the sidelines on their side of the field.","Since the linesmen are relatively far away from the referees, they are also responsible for observing the sidelines on their section of the field.",1,0,0,they,"0: the linesmen, 1: the referees",1,derivation
6,John rated Bill because he was a contestant.,John evaluated Bill because he was a competitor.,1,1,1,he,"0: John, 1: Bill",1,derivation
7,"Enki does not tell Atrahasis directly, but he speaks to him in secret via a reed wall.","Enki does not tell Atrahasis directly, but he speaks to him in privacy via a reed wall.",1,1,1,him,"0: Enki, 1: Atrahasis",1,derivation
8,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Emma finally agrees to relocate Jennifer ashore, but after she has given her sleeping pills.",0,0,0,she,"0: Emma, 1: Jennifer",0,derivation
9,The blacksmith refused to repair the armor for the knight because he did not have any money to pay with.,The blacksmith refused to repair the armament for the knight because he did not have any money to pay with.,1,1,1,he,"0: The blacksmith, 1: the knight",1,derivation
10,"Josie did not like Sarah, but she did not tell her.","Josie did not like Sarah, but she did not inform her.",0,0,0,she,"0: Josie, 1: Sarah",0,derivation
11,The scientists gave the chimps some bananas because they were hungry.,The scientists provided the chimps some bananas because they were hungry.,0,0,0,they,"0: the chimps, 1: some bananas",0,derivation
12,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too similar to Black Label Society.,0,0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,derivation
13,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to annihilate Tony, but he ambushes and bites him.",1,1,1,he,"0: John, 1: Tony",1,derivation
14,The boss fired the worker when he stopped performing well.,The boss dismissed the worker when he stopped performing well.,1,1,1,he,"0: The boss, 1: the worker",1,derivation
15,"Rice beat Texas, even though they were the best team in the nation.","Rice defeated Texas, even though they were the best team in the nation.",1,1,1,they,"0: Rice, 1: Texas",1,derivation
16,The chimpanzee could not use Linux because it was an animal.,The chimpanzee could not install Linux because it was an animal.,0,0,0,it,"0: The chimpanzee, 1: Linux",0,derivation
17,"Toyota has the luxury brand Lexus, although they typically sell for the average consumer.","Toyota has the luxury branding Lexus, although they typically sell for the average consumer.",1,1,1,they,"0: Lexus, 1: Toyota",1,derivation
18,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow instructions.,1,0,0,he,"0: Trotsky, 1: Lenin",1,derivation
19,Hunter was shot dead and Cottle was so severely wounded that he died soon thereafter.,Hunter was shot dead and Cottle was so severely injured that he died soon thereafter.,1,1,1,he,"0: Hunter, 1: Cottle",1,derivation
20,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,The Punishers interrogates prisoners and when completed they execute them via an electric chair-like molecular disintegrator.,1,1,1,they,"0: prisoners, 1: The Punishers",1,derivation
21,"Gang-du tries to explain this to the man, but his protests go ignored.","Gang-du attempts to explain this to the man, but his protests go ignored.",0,0,0,his,"0: Gang-du, 1: the man",0,derivation
22,The Russian Syndicate decided to remove some of their lower members so they could keep their operations as secret as possible.,The Russian Syndicate decided to remove some of their lower members so they could keep their operations as hidden as possible.,0,0,0,they,"0: The Russian Syndicate, 1: their lower members",0,derivation
