,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,The cat was afraid of the dog because it was timid.,"The cat was afraid of the dog, because it was timid.",it,"0: The cat, 1: the dog",0,0,0,0,175
1,Bill asked Joe if he could borrow some money.,"Bill asked Joe, if he could borrow some money.",he,"0: Bill, 1: Joe",0,0,0,0,168
2,"Director Ulli Lommel was unsure about casting Klaus Kinski, but he met him and he was very nice, according to Lommel.","Director Ulli Lommel was unsure about casting Klaus Kinski, but he met him, and he was very nice, according to Lommel.",he,"0: Director Ulli Lommel, 1: Klaus Kinski",0,1,1,0,1779
3,The hyenas scavenged from the lions because they were desperate.,"The hyenas scavenged from the lions, because they were desperate.",they,"0: The hyenas, 1: the lions",0,0,0,0,186
4,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,"The drug cartel enlists the help of the local population to work their fields, since they need cheap labor to maximize their profits.",they,"0: The drug cartel, 1: the local population",0,0,0,0,417
5,The light hit the mirror and it reflected.,"The light hit the mirror, and it reflected.",it,"0: The light, 1: the mirror",0,1,1,0,150
6,"However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age for unknown reasons.","However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age, for unknown reasons.",he,"0: Koremitsu, 1: Toyotomi Hideyoshi",0,0,0,0,1521
7,"Guns generally increase in value over time to gun collectors if unfired, because they need to be in mint condition to be extremely valuable.","Guns generally increase in value over time to gun collectors if unfired, because they need to be in mint condition, to be extremely valuable.",they,"0: Guns, 1: gun collectors",0,0,0,0,536
8,The professor gave the student a bad grade because he was strict.,"The professor gave the student a bad grade, because he was strict.",he,"0: The professor, 1: the student",0,0,0,0,215
9,Jace loves Jesus because he tasted his goodness.,"Jace loves Jesus, because he tasted his goodness.",he,"0: Jace, 1: Jesus",0,0,0,0,253
10,The scientists gave the chimps some bananas because they were hungry.,"The scientists gave the chimps some bananas, because they were hungry.",they,"0: the chimps, 1: some bananas",0,0,0,0,122
11,Bob sued Bill because he wanted more money.,"Bob sued Bill, because he wanted more money.",he,"0: Bob, 1: Bill",0,0,0,0,235
12,The keys typed the words because they were meant to be typed on.,"The keys typed the words, because they were meant to be typed on.",they,"0: The keys, 1: the words",0,0,0,0,135
13,The program could successfully parse the file because it was programmed well.,"The program could successfully parse the file, because it was programmed well.",it,"0: The program, 1: the file",0,0,0,0,64
14,"Denise is initially hostile to Lucy, but she warms to him when she sees he has changed and they eventually reunite.","Denise is initially hostile to Lucy, but she warms to him when she sees he has changed; and they eventually reunite.",she,"0: Denise, 1: Lucy",0,0,0,0,1289
15,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel, and he tries running after him, but he trips and falls.",him,"0: Dan, 1: Samuel",0,0,0,0,1388
16,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,"Narendran wants to get Ramu married to Leela, but she is turned off by his cowardice.",his,"0: Narendran, 1: Ramu",0,1,1,0,1768
17,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, and he had to pay for the damage.",he,"0: Joe, 1: Mike",1,0,0,1,142
18,The Playstation is outperforming the Xbox because it is prone to hardware failure.,"The Playstation is outperforming the Xbox, because it is prone to hardware failure.",it,"0: The Playstation, 1: the Xbox",1,0,0,1,241
19,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,"Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired, because he had started to investigate Rebozo's role in Nixon accepting covert payments.",he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",1,1,1,1,1027
20,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,"Battlefield 3 is more fun than Modern Warfare 3, because it is a crappy game.",it,"0: Battlefield 3, 1: Modern Warfare 3",1,0,0,1,221
21,Kathy paid Jane to leave but she returned several weeks later.,"Kathy paid Jane to leave, but she returned several weeks later.",she,"0: Kathy, 1: Jane",1,1,1,1,1986
22,Joe smells better than Adam since he hardly ever showers.,"Joe smells better than Adam, since he hardly ever showers.",he,"0: Joe, 1: Adam",1,0,0,1,35
23,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.","While Mark deliberates whether to trust Dimble, he is found by police; and arrested for Hingest's murder.",he,"0: Mark, 1: Dimble",1,0,0,1,904
24,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, and he had to pay for the damage.",he,"0: Joe, 1: Mike",1,0,0,1,142
25,The blacksmith refused to repair the armor for the knight because he did not have any money to pay with.,"The blacksmith refused to repair the armor for the knight, because he did not have any money to pay with.",he,"0: The blacksmith, 1: the knight",1,0,0,1,459
