,bert,bert,bert,gpt2,gpt2,gpt2,t5,t5,t5,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,92.0,89.0,-3.3,90.0,85.0,-5.6,94.0,91.0,-3.2,90.0,90.0,0.0,90.0,94.0,4.4,95.0,94.0,-1.1
geographical_bias,87.0,86.0,-1.1,89.0,85.0,-4.5,94.0,93.0,-1.1,92.0,91.0,-1.1,90.0,92.0,2.2,90.0,91.0,1.1
length_bias,90.0,91.0,1.1,90.0,90.0,0.0,97.0,94.0,-3.1,92.0,93.0,1.1,91.0,94.0,3.3,96.0,96.0,0.0
typo_bias,90.0,86.0,-4.4,88.0,90.0,2.3,95.0,95.0,0.0,92.0,92.0,0.0,91.0,95.0,4.4,95.0,94.0,-1.1
capitalization,92.929,92.929,0.0,91.919,90.909,-1.1,94.949,93.939,-1.1,90.909,91.919,1.1,90.909,95.96,5.6,95.96,96.97,1.1
punctuation,91.0,90.0,-1.1,94.0,92.0,-2.1,93.0,93.0,0.0,90.0,91.0,1.1,92.0,93.0,1.1,93.0,96.0,3.2
derivation,95.402,91.954,-3.6,87.356,86.207,-1.3,97.701,95.402,-2.4,93.103,90.805,-2.5,90.805,95.402,5.1,97.701,95.402,-2.4
compound_word,94.737,91.579,-3.3,95.789,91.579,-4.4,97.895,94.737,-3.2,93.684,91.579,-2.2,93.684,94.737,1.1,96.842,95.789,-1.1
active_to_passive,92.0,85.0,-7.6,89.0,85.0,-4.5,91.0,90.0,-1.1,93.0,89.0,-4.3,90.0,88.0,-2.2,95.0,94.0,-1.1
grammatical_role,93.939,89.394,-4.8,87.879,87.879,0.0,95.455,92.424,-3.2,90.909,92.424,1.7,93.939,92.424,-1.6,93.939,95.455,1.6
coordinating_conjunction,92.0,93.0,1.1,91.0,91.0,0.0,95.0,96.0,1.1,94.0,93.0,-1.1,95.0,94.0,-1.1,97.0,96.0,-1.0
concept_replacement,90.0,88.0,-2.2,89.0,85.0,-4.5,94.0,91.0,-3.2,90.0,88.0,-2.2,94.0,94.0,0.0,96.0,96.0,0.0
negation,93.75,77.083,-17.8,89.583,77.083,-14.0,95.833,70.833,-26.1,85.417,75.0,-12.2,89.583,76.042,-15.1,92.708,83.333,-10.1
discourse,88.889,87.879,-1.1,85.859,83.838,-2.4,89.899,89.899,0.0,85.859,86.869,1.2,82.828,84.848,2.4,90.909,91.919,1.1
sentiment,87.0,86.0,-1.1,88.0,80.0,-9.1,91.0,93.0,2.2,93.0,91.0,-2.2,91.0,90.0,-1.1,95.0,89.0,-6.3
casual,96.0,89.0,-7.3,91.0,92.0,1.1,97.0,92.0,-5.2,94.0,93.0,-1.1,94.0,95.0,1.1,97.0,93.0,-4.1
dialectal,89.0,86.0,-3.4,88.0,86.0,-2.3,93.0,85.0,-8.6,86.0,81.0,-5.8,89.0,83.0,-6.7,92.0,93.0,1.1
singlish,89.216,87.255,-2.2,90.196,88.235,-2.2,93.137,89.216,-4.2,91.176,88.235,-3.2,96.078,91.176,-5.1,94.118,98.039,4.2
