,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis has been ordered to kill Noelia, but she is unsure if she can actually go along with this plan.",0,0,0,she,"0: Janis, 1: Noelia",0,length_bias
1,John fired Bill because he was incompetent.,John fired Bill for his incompetence.,1,1,1,his,"0: John, 1: Bill",1,length_bias
2,John called Bill because he was a good listener.,John called Bill since he was a good listener.,1,0,0,he,"0: John, 1: Bill",1,length_bias
3,The blimp hit the tree because it lost air.,The blimp hit the tree because it suddenly lost a lot of air.,0,0,0,it,"0: The blimp, 1: the tree",0,length_bias
4,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Theresa almost admits to killing Stephanie, but stops when Logan tells her he's a cop.",0,0,0,her,"0: Theresa, 1: Stephanie",0,length_bias
5,Watson beat Ken at Jeopardy because he is an inferior human.,Watson beat Ken at Jeopardy because he's inferior.,1,1,1,he,"0: Watson, 1: Ken",1,length_bias
6,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal challenged Van Damme to a fight to prove he was stronger.,0,0,0,he,"0: Steven Seagal, 1: Van Damme",0,length_bias
7,The car passed the truck because it was going too slow.,The car passed the truck because it was slow.,1,1,1,it,"0: The car, 1: the truck",1,length_bias
8,John fired Bill because he was incompetent.,John decided to fire Bill because he found him to be completely incompetent.,0,0,1,he,"0: John, 1: Bill",1,length_bias
9,The birds ate the seeds because they were tasty.,The birds quickly ate the scattered seeds because they found them quite tasty.,0,0,0,they,"0: The birds, 1: the scattered seeds",1,length_bias
10,The general fired his pistol at the monster so he turned and looked.,"The general quickly fired his pistol at the monster, so he turned and looked in surprise.",1,1,1,he,"0: The general, 1: the monster",1,length_bias
11,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he refuses to see him and asks him to leave.",1,1,1,he,"0: Sam, 1: Dom",1,length_bias
12,"Olivia wants to make amends with Emily, but she is apprehensive.","Olivia is eager to make amends with Emily, but she is still quite apprehensive.",1,0,0,she,"0: Olivia, 1: Emily",0,length_bias
13,Bob sued Bill because he wanted more money.,Bob sued Bill for more of his money.,1,1,0,his,"0: Bob, 1: Bill",0,length_bias
14,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoid Ross, he eventually falls in love with him.",0,0,0,he,"0: Gino, 1: Ross",0,length_bias
15,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,"Google Plus is anticipated to be a potential replacement for Facebook, but it still has a significantly larger number of active users.",1,1,1,it,"0: Google Plus, 1: Facebook",1,length_bias
16,Liverpool lost to Manchester United because they were a superior team.,Liverpool lost to Manchester United because they were superior.,1,1,1,they,"0: Liverpool, 1: Manchester United",1,length_bias
