,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,The cat was afraid of the dog because it was timid.,"The cat was afraid of the dog, because it was timid.",0,0,0,it,"0: The cat, 1: the dog",0,addition
1,Bill asked Joe if he could borrow some money.,"Bill asked Joe, if he could borrow some money.",0,0,0,he,"0: Bill, 1: Joe",0,addition
2,"Director Ulli Lommel was unsure about casting Klaus Kinski, but he met him and he was very nice, according to Lommel.","Director Ulli Lommel was unsure about casting Klaus Kinski, but he met him, and he was very nice, according to Lommel.",0,1,1,he,"0: Director Ulli Lommel, 1: Klaus Kinski",0,addition
3,The hyenas scavenged from the lions because they were desperate.,"The hyenas scavenged from the lions, because they were desperate.",0,0,0,they,"0: The hyenas, 1: the lions",0,addition
4,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,"The drug cartel enlists the help of the local population to work their fields, since they need cheap labor to maximize their profits.",0,0,0,they,"0: The drug cartel, 1: the local population",0,addition
5,The light hit the mirror and it reflected.,"The light hit the mirror, and it reflected.",0,1,1,it,"0: The light, 1: the mirror",0,addition
6,"However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age for unknown reasons.","However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age, for unknown reasons.",0,1,1,he,"0: Koremitsu, 1: Toyotomi Hideyoshi",0,addition
7,"Guns generally increase in value over time to gun collectors if unfired, because they need to be in mint condition to be extremely valuable.","Guns generally increase in value over time to gun collectors if unfired, because they need to be in mint condition, to be extremely valuable.",0,0,0,they,"0: Guns, 1: gun collectors",0,addition
8,The professor gave the student a bad grade because he was strict.,"The professor gave the student a bad grade, because he was strict.",0,0,0,he,"0: The professor, 1: the student",0,addition
9,Jace loves Jesus because he tasted his goodness.,"Jace loves Jesus, because he tasted his goodness.",0,0,0,he,"0: Jace, 1: Jesus",0,addition
10,The scientists gave the chimps some bananas because they were hungry.,"The scientists gave the chimps some bananas, because they were hungry.",0,0,0,they,"0: the chimps, 1: some bananas",0,addition
11,Bob sued Bill because he wanted more money.,"Bob sued Bill, because he wanted more money.",0,0,0,he,"0: Bob, 1: Bill",0,addition
12,The keys typed the words because they were meant to be typed on.,"The keys typed the words, because they were meant to be typed on.",0,0,0,they,"0: The keys, 1: the words",0,addition
13,The program could successfully parse the file because it was programmed well.,"The program could successfully parse the file, because it was programmed well.",0,0,0,it,"0: The program, 1: the file",0,addition
