,modified_text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,'The Rake's Progress' is a '45 British comedy-drama flick.,"[{'text': ""The Rake's Progress"", 'value': 'ART'}, {'text': 'British', 'value': 'NATIONALITY'}]","[{""The Rake's Progress"": 'PRODUCT'}, {'British': 'LOCATION'}]",The Rake's Progress is a 1945 British comedy-drama film.,"[{'text': ""The Rake's Progress"", 'value': 'PRODUCT'}, {'text': 'British', 'value': 'LOCATION'}]","[{""The Rake's Progress"": 'ART'}, {'British': 'NATIONALITY'}]",
1,"Route 410 used to take you to Rehovot over the Jumping Bridge, which got its name 'cause there's this bump that makes your car leap if you're going too fast.","[{'text': 'Route 410', 'value': 'LOCATION'}, {'text': 'Rehovot', 'value': 'LOCATION'}, {'text': 'Jumping Bridge', 'value': 'BUILDING'}]","[{'Route 410': 'LOCATION'}, {'Rehovot': 'LOCATION'}, {'Jumping Bridge': 'LOCATION'}]","It was previously used by Route 410 to Rehovot, and was known as the Jumping Bridge due to a bump in the middle of the bridge which caused cars to jump if speeding.","[{'text': 'Route 410', 'value': 'LOCATION'}, {'text': 'Rehovot', 'value': 'LOCATION'}, {'text': 'Jumping Bridge', 'value': 'LOCATION'}]","[{'Route 410': 'LOCATION'}, {'Rehovot': 'LOCATION'}, {'Jumping Bridge': 'BUILDING'}]",
2,Elin Hilderbrand's an American who writes a lot of romance novels.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'NATIONALITY'}]","[{'Elin Hilderbrand': 'PERSON'}, {'American': 'OTHER'}]",Elin Hilderbrand is an American writer mostly of romance novels.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'Elin Hilderbrand': 'PERSON'}, {'American': 'NATIONALITY'}]",
3,Del Imaginario Discos from Argentina dropped the album back in 2007 too.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",
4,Gonu brought a bunch of wild winds and a downpour all the way from Karachi to Gwadar along Pakistan's Arabian Sea coast.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}, {'Pakistan': 'LOCATION'}, {'Arabian Sea': 'LOCATION'}]",Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': 'Arabian Sea', 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]",
5,"Then the Germans came at us again, breaking through C Company, but the North Irish Horse's tanks held them off till nightfall.","[{'text': 'Germans', 'value': 'NATIONALITY'}, {'text': 'C Company', 'value': 'ORGANIZATION'}, {'text': 'North Irish Horse', 'value': 'ORGANIZATION'}, {'text': 'Germans', 'value': 'NATIONALITY'}]","[{'Germans': 'PERSON'}, {'C Company': 'ORGANIZATION'}, {'North Irish Horse': 'ORGANIZATION'}]","The Germans then attacked again and penetrated C Company, but the tanks of the North Irish Horse stopped the Germans until dusk.","[{'text': 'Germans', 'value': 'PERSON'}, {'text': 'C Company', 'value': 'ORGANIZATION'}, {'text': 'North Irish Horse', 'value': 'ORGANIZATION'}]","[{'Germans': 'NATIONALITY'}, {'C Company': 'ORGANIZATION'}, {'North Irish Horse': 'ORGANIZATION'}, {'Germans': 'NATIONALITY'}]",
6,"Petit-de-Grat Island's this cool Canadian spot just off Cape Breton Island, right in Richmond County, Nova Scotia.","[{'text': 'Petit-de-Grat Island', 'value': 'LOCATION'}, {'text': 'Canadian', 'value': 'NATIONALITY'}, {'text': 'Cape Breton Island', 'value': 'LOCATION'}, {'text': 'Richmond County', 'value': 'LOCATION'}, {'text': 'Nova Scotia', 'value': 'LOCATION'}]",[],"Petit-de-Grat Island is a Canadian island off the coast of Cape Breton Island, in Richmond County, Nova Scotia.","[{'text': 'Petit-de-Grat Island', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}, {'text': 'Cape Breton Island', 'value': 'LOCATION'}, {'text': 'Richmond County', 'value': 'LOCATION'}, {'text': 'Nova Scotia', 'value': 'LOCATION'}]","[{'Petit-de-Grat Island': 'LOCATION'}, {'Canadian': 'NATIONALITY'}, {'Cape Breton Island': 'LOCATION'}, {'Richmond County': 'LOCATION'}, {'Nova Scotia': 'LOCATION'}]",
7,It got started as a spin-off from Murphy Oil back in 2013.,"[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]",[{'Murphy Oil': 'ORGANIZATION'}],It was founded as a spin-off of Murphy Oil in 2013.,"[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]",[{'Murphy Oil': 'ORGANIZATION'}],
8,"Plus, Santa didn't do it, it was all Cousin Mel's sneaky plan. She's only mentioned for a sec in the song, but in the show, they make her out to be a total gold-digger.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]",
9,"Pune got beat 1-3, and all three goals were scored after Amrinder joined in.","[{'text': 'Pune', 'value': 'ORGANIZATION'}, {'text': 'Amrinder', 'value': 'PERSON'}]","[{'Pune': 'LOCATION'}, {'Amrinder': 'PERSON'}]",Pune lost the match 1–3 with all three goals coming after Amrinder came on.,"[{'text': 'Pune', 'value': 'LOCATION'}, {'text': 'Amrinder', 'value': 'PERSON'}]","[{'Pune': 'ORGANIZATION'}, {'Amrinder': 'PERSON'}]",
