,task,modification,original_res,modified_res,difference,pct_difference,p_value
8,dialogue_contradiction_detection,temporal_bias_100,0.9,0.9,-0.0,-0.0,1.0
2,dialogue_contradiction_detection,geographical_bias_100,0.92,0.91,-0.01,-1.09,0.8010551379178041
11,dialogue_contradiction_detection,length_bias_100,0.92,0.93,0.01,1.09,0.7896202806590895
13,dialogue_contradiction_detection,typo_bias_100,0.92,0.92,-0.0,-0.0,1.0
3,dialogue_contradiction_detection,capitalization_100,0.91,0.92,0.01,1.11,0.8009759722866412
10,dialogue_contradiction_detection,punctuation_100,0.9,0.91,0.01,1.11,0.8105920534148906
7,dialogue_contradiction_detection,derivation_100,0.93,0.91,-0.02,-2.47,0.579820330918638
16,dialogue_contradiction_detection,compound_word_100,0.94,0.92,-0.02,-2.25,0.5809932615164752
6,dialogue_contradiction_detection,active_to_passive_100,0.93,0.89,-0.04,-4.3,0.3254399450563368
1,dialogue_contradiction_detection,grammatical_role_100,0.91,0.92,0.02,1.67,0.7550544278642266
0,dialogue_contradiction_detection,coordinating_conjunction_100,0.94,0.93,-0.01,-1.06,0.775598086916649
15,dialogue_contradiction_detection,concept_replacement_100,0.9,0.88,-0.02,-2.22,0.6532395250727525
14,dialogue_contradiction_detection,negation_100,0.85,0.75,-0.1,-12.2,0.07072041183832248
4,dialogue_contradiction_detection,discourse_100,0.86,0.87,0.01,1.18,0.8369573903944222
9,dialogue_contradiction_detection,sentiment_100,0.93,0.82,-0.11,-11.83,0.018594081264142397
5,dialogue_contradiction_detection,casual_100,0.94,0.93,-0.01,-1.06,0.775598086916649
12,dialogue_contradiction_detection,dialectal_100,0.86,0.81,-0.05,-5.81,0.34332460789400177
17,dialogue_contradiction_detection,average,0.91,0.89,-0.02,-2.24,
