original_text,modified_text,original_label,original_pred,modified_label,modified_pred
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting and captivating when it stays put in the past.",1,1,1,1
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and some unbelievably hilarious and amusing moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,1
that's pure pr hype.,that's pure pr and marketing hype.,0,0,0,0
"adults will wish the movie were less simplistic, obvious, clumsily plotted and shallowly characterized.","adults will wish the movie were less simplistic, obvious, clumsily plotted and shallowly characterized and developed.",0,0,0,0
one of the more intelligent children's movies to hit theaters this year.,one of the more intelligent and entertaining children's movies to hit theaters this year.,1,1,1,1
hilariously inept and ridiculous.,hilariously inept and absurd and ridiculous.,1,0,1,0
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit and cheer in the stands.,1,1,1,1
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so exploitative and excessive in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0,0
a giggle a minute.,a giggle and a chuckle every minute.,1,1,1,1
does little more than play an innocuous game of fill-in - the-blanks with a tragic past.,does little more than play and complete an innocuous game of fill-in - the-blanks with a tragic past.,0,0,0,0
it's a stunning lyrical work of considerable force and truth.,it's a stunning lyrical work of considerable force and beauty.,1,1,1,1
"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.","too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance and disgust.",0,0,0,0
as unseemly as its title suggests.,as unseemly and inappropriate as its title suggests.,1,0,1,0
"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.","once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard or a glossy brochure.",0,0,0,0
but this films lacks the passion required to sell the material.,but this film lacks the passion and energy required to sell the material.,0,0,0,0
"it doesn't believe in itself, it has no sense of humor... it's just plain bored.","it doesn't believe in itself, it has no sense of humor or personality... it's just plain bored.",0,0,0,0
"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.","I sympathize with the plight of these families, but the movie does not do a very good or compelling job conveying the issue at hand.",0,0,0,0
"a coda in every sense, the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors.","a coda in every sense, the pinochet case splits and divides time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors.",1,1,1,1
nervous breakdowns are not entertaining.,nervous breakdowns and panic attacks are not entertaining.,0,0,0,0
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution or delivery.,1,1,1,1
"the director knows how to apply textural gloss, but his portrait of sex-as-war is strictly sitcom.","the director knows how to apply textural gloss, but his portrait of sex-as-war is strictly sitcom and farce.",0,1,0,1
it's a beautiful madness.,it's a beautiful madness and chaos.,1,1,1,1
more whiny downer than corruscating commentary.,more whiny and downer than corruscating and insightful commentary.,0,0,0,0
it's not the ultimate depression-era gangster movie.,it's not the ultimate depression-era gangster or mobster movie.,0,0,0,0
"highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up.","highbrow self-appointed guardians and protectors of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up.",1,1,1,1
"very special effects, brilliantly bold colors and heightened reality can't hide the giant achilles ' heel in `` stuart little 2 ``: there's just no story, folks.","very special effects, brilliantly bold colors and heightened reality can't hide the giant achilles' heel in ``stuart little 2``: there's just no story or plot, folks.",0,0,0,1
like being trapped at a perpetual frat party... how can something so gross be so boring?,like being trapped at a perpetual frat party... how can something so gross and tedious be so boring?,0,0,0,0
"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.","a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest and most impressive work.",1,1,1,1
"at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential.","at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a technicality and a detail that strains credulity and leaves the viewer haunted by the waste of potential.",0,0,0,0
villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,Villeneuve spends too much time wallowing and lingering in Bibi's generic angst (there are a lot of shots of her gazing out windows).,0,0,0,0
it all adds up to good fun.,it all adds up to good fun and entertainment.,1,1,1,1
"entertains by providing good, lively company.","entertains and amuses by providing good, lively company.",1,1,1,1
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect and merge is about as exciting as gazing at an egg timer for 93 minutes.",0,0,0,0
blanchett's performance confirms her power once again.,Blanchett's performance confirms her power and talent once again.,1,1,1,1
there is no pleasure in watching a child suffer.,there is no pleasure in watching a child suffer or struggle.,0,0,0,0
i'm just too bored to care.,I'm just too bored and indifferent to care.,0,0,0,0
coughs and sputters on its own postmodern conceit.,coughs and sputters and chokes on its own postmodern conceit.,0,0,0,0
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure and joy.,1,1,1,1
what better message than ` love thyself ' could young women of any size receive?,what better messages than ` love and respect thyself' could young women of any size receive?,1,1,1,1
late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,late marriage's stiffness and rigidity are unlikely to demonstrate the emotional clout to sweep U.S. viewers off their feet.,0,0,0,0
"a very well-made, funny and entertaining picture.","a very well-made, funny, and entertaining picture and spectacle.",1,1,1,1
