model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
bert-base-cased,active_to_passive,49.474,47.368,-4.255,-1.784,0.732,ns,No
bert-base-cased,capitalization,53.535,48.485,-9.434,-4.365,0.197,ns,No
bert-base-cased,casual,55.0,43.0,-21.818,-10.442,0.003,**,Yes
bert-base-cased,compound_word,60.417,60.417,0.0,0.0,1.0,ns,No
bert-base-cased,concept_replacement,44.0,42.0,-4.545,-1.643,0.48,ns,No
bert-base-cased,coordinating_conjunction,56.701,57.732,1.818,0.904,0.655,ns,No
bert-base-cased,derivation,52.041,50.0,-3.922,-1.751,0.317,ns,No
bert-base-cased,dialectal,55.0,52.0,-5.455,-2.611,0.18,ns,No
bert-base-cased,discourse,56.0,54.0,-3.571,-1.748,0.48,ns,No
bert-base-cased,geographical_bias,54.0,52.0,-3.704,-1.732,0.48,ns,No
bert-base-cased,grammatical_role,51.389,48.611,-5.405,-2.376,0.67,ns,No
bert-base-cased,length_bias,47.475,52.525,10.638,4.233,0.251,ns,No
bert-base-cased,negation,54.082,51.02,-5.66,-2.653,0.549,ns,No
bert-base-cased,punctuation,56.566,57.576,1.786,0.885,0.317,ns,No
bert-base-cased,sentiment,57.0,60.0,5.263,2.634,0.317,ns,No
bert-base-cased,singlish,49.02,46.078,-6.0,-2.486,0.467,ns,No
bert-base-cased,temporal_bias,54.0,51.0,-5.556,-2.599,0.317,ns,No
bert-base-cased,typo_bias,52.041,57.143,9.804,4.378,0.132,ns,No
claude-3-5-sonnet,active_to_passive,89.474,88.421,-1.176,-1.027,0.796,ns,False
claude-3-5-sonnet,capitalization,86.869,86.869,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,casual,84.0,80.0,-4.762,-3.849,0.285,ns,False
claude-3-5-sonnet,compound_word,89.583,87.5,-2.326,-2.034,0.414,ns,False
claude-3-5-sonnet,concept_replacement,78.0,74.0,-5.128,-3.784,0.346,ns,False
claude-3-5-sonnet,coordinating_conjunction,83.505,85.567,2.469,1.981,0.317,ns,False
claude-3-5-sonnet,derivation,84.694,85.714,1.205,0.984,0.317,ns,False
claude-3-5-sonnet,dialectal,82.0,83.0,1.22,0.957,0.739,ns,False
claude-3-5-sonnet,discourse,85.0,83.0,-2.353,-1.929,0.527,ns,False
claude-3-5-sonnet,geographical_bias,83.0,83.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,86.111,84.722,-1.613,-1.344,0.782,ns,False
claude-3-5-sonnet,length_bias,84.848,84.848,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,negation,78.571,74.49,-5.195,-3.868,0.414,ns,False
claude-3-5-sonnet,punctuation,85.859,84.848,-1.176,-0.977,0.564,ns,False
claude-3-5-sonnet,sentiment,82.0,81.0,-1.22,-0.957,0.705,ns,False
claude-3-5-sonnet,singlish,76.471,70.588,-7.692,-5.54,0.083,.,False
claude-3-5-sonnet,temporal_bias,85.0,86.0,1.176,0.965,0.317,ns,False
claude-3-5-sonnet,typo_bias,81.633,83.673,2.5,1.951,0.157,ns,False
gpt2,active_to_passive,51.579,54.737,6.122,2.704,0.602,ns,No
gpt2,capitalization,45.455,41.414,-8.889,-3.349,0.285,ns,No
gpt2,casual,52.0,49.0,-5.769,-2.574,0.491,ns,No
gpt2,compound_word,60.417,58.333,-3.448,-1.855,0.317,ns,No
gpt2,concept_replacement,42.0,43.0,2.381,0.812,0.564,ns,No
gpt2,coordinating_conjunction,61.856,65.979,6.667,3.694,0.206,ns,No
gpt2,derivation,52.041,51.02,-1.961,-0.876,0.564,ns,No
gpt2,dialectal,53.0,44.0,-16.981,-7.759,0.02,*,Yes
gpt2,discourse,47.0,43.0,-8.511,-3.344,0.102,ns,No
gpt2,geographical_bias,51.0,47.0,-7.843,-3.415,0.285,ns,No
gpt2,grammatical_role,51.389,45.833,-10.811,-4.752,0.371,ns,No
gpt2,length_bias,46.465,51.515,10.87,4.21,0.197,ns,No
gpt2,negation,51.02,50.0,-2.0,-0.871,0.835,ns,No
gpt2,punctuation,56.566,55.556,-1.786,-0.885,0.705,ns,No
gpt2,sentiment,63.0,57.0,-9.524,-5.398,0.083,.,No
