,original_text,modified_text,modified_label,modified_pred,modified_pronoun,modified_candidates,original_label,original_pred,original_pronoun,original_candidates,type
0,The delivery truck zoomed by the school bus because it was going so fast.,"The delivery lorry zoom past the school bus lor, cos it was going so fast.",0,0,it,"0: delivery lorry, 1: the school bus",0,0,it,"0: the delivery truck, 1: the school bus",singaporean_english
1,"Donald Trump fired his servant, Luigi, but he can find another job elsewhere.","Donald Trump sack his kaki, Luigi, but he can find work some other place lah.",1,1,he,"0: Donald Trump, 1: Luigi",1,1,he,"0: Donald Trump, 1: Luigi",singaporean_english
2,"Marcia initially refuses to acknowledge Kim, but she eventually goes to see her.","Marcia at first dun wan to layan Kim, but she in the end go find her lah.",0,0,she,"0: Marcia, 1: Kim",0,0,she,"0: Marcia, 1: Kim",singaporean_english
3,"Kutuzov could have attacked Krasny immediately, but he chose not to.","Kutuzov can attack Krasny straight away one, but he dun want lah.",0,0,he,"0: Kutuzov, 1: Krasny",0,0,he,"0: Kutuzov, 1: Krasny",singaporean_english
4,I can't cut that tree down with that axe; it is too thick.,I cannot cut down that tree with that axe lah; it too thick one.,0,0,it,"0: that tree, 1: that axe",0,0,it,"0: that tree, 1: that axe",singaporean_english
5,"Godfrey Cass is now free to marry Frederick, but he continues to conceal the fact of his previous marriage and child from her.","Godfrey Cass now can marry Frederick liao, but he still keep secret about his last time marry and got kid from her.",1,1,his,"0: Frederick, 1: Godfrey Cass",1,1,his,"0: Frederick, 1: Godfrey Cass",singaporean_english
6,John hired Bill because he needed someone.,"John hire Bill lor, cos he need people mah.",0,0,he,"0: John, 1: Bill",0,0,he,"0: John, 1: Bill",singaporean_english
7,Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,"Dr. Adams tell Kate that she got cancer lah, then show her a few choice for what to do next.",1,1,she,"0: Dr. Adams, 1: Kate",1,1,she,"0: Dr. Adams, 1: Kate",singaporean_english
8,"Max attracts the attention of a senior bachelor, Mr Conroy, but he has led a sheltered life and is too shy to allow the romance to develop.","Max catch the eye of one senior bachelor, Mr Conroy, but he live quite a sheltered life lah, so too paiseh to let the romance bloom.",0,1,he,"0: Max, 1: one senior bachelor, Mr Conroy",0,1,he,"0: Max, 1: a senior bachelor, Mr Conroy",singaporean_english
9,"Kelly starts picking on Ayesha again, until Marie finally snaps at her telling her how stupid she is.","Kelly start to pick on Ayesha again, until Marie finally cannot tahan and scold her, tell her how stupid she is.",1,0,her,"0: Kelly, 1: Ayesha",1,0,her,"0: Kelly, 1: Ayesha",singaporean_english
10,The men survived with the help of Aborigines until they were rescued in September by Alfred William Howitt.,The men tahan with the help of Aborigines until they kena rescue in September by Alfred William Howitt.,0,0,they,"0: The men, 1: Aborigines",0,0,they,"0: The men, 1: Aborigines",singaporean_english
11,John asked Bill because he was confused.,John ask Bill cos he blur like sotong.,0,1,he,"0: John, 1: Bill",0,0,he,"0: John, 1: Bill",singaporean_english
12,The city councilmen refused the demonstrators a permit because they advocated violence.,"The city councilmen dun give the demonstrators permit lah, cos they advocate violence one.",1,1,they,"0: The city councilmen, 1: the demonstrators",1,1,they,"0: The city councilmen, 1: the demonstrators",singaporean_english
13,"Apple was in talks with Verizon to be their dedicated phone provider initially, but they gave the deal to AT&T in the end.","Apple was tokking with Verizon to be their own phone provider at first lor, but they give the deal to AT&T in the end sia.",0,0,they,"0: Apple, 1: Verizon",0,0,they,"0: Apple, 1: Verizon",singaporean_english
14,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,"Google Plus suppose to be like replacement for Facebook one, but it still got a lot more active users lah.",1,0,it,"0: Google Plus, 1: Facebook",1,0,it,"0: Google Plus, 1: Facebook",singaporean_english
15,"Rose's former fiance Julie Wilmot arrives to see Rose, but she is out on the buses.","Rose punya ex-fiance Julie Wilmot come to see Rose, but she not around, go out on the buses already.",0,0,she,"0: Rose, 1: Rose punya ex-fiance Julie Wilmot",0,0,she,"0: Rose, 1: Rose's former fiance Julie Wilmot",singaporean_english
16,The student couldn't understand the teacher because he wasn't paying attention.,"The student cannot catch what the teacher saying lah, because he never pay attention one.",0,0,he,"0: The student, 1: the teacher",0,0,he,"0: The student, 1: the teacher",singaporean_english
17,Hkkinen tried to attack Senna but he ran into the back of him.,Hakkinen try to attack Senna but he ran into the back of him lor.,0,1,him,"0: Hakkinen, 1: Senna",0,1,him,"0: Hkkinen, 1: Senna",singaporean_english
18,"Zoe returned and reconciled with Johanna, although she made it clear she was not interested in sex.","Zoe come back and okay already with Johanna, but she say already lah, she not interested in that kind of thing.",0,1,she,"0: Zoe, 1: Johanna",0,0,she,"0: Zoe, 1: Johanna",singaporean_english
19,"Kazushi kills Yoshio after he finds him unconscious, and then comes upon Takako Chigusa.","Kazushi kills Yoshio after he finds him knocked out one, then bump into Takako Chigusa lor.",1,1,him,"0: Kazushi, 1: Yoshio",1,1,him,"0: Kazushi, 1: Yoshio",singaporean_english
20,"Yifei goes about to woo Kishori, so that she can get the letters possessed by her.","Yifei go around to paktor Kishori, so that she can get the letters possessed by her.",0,0,she,"0: Yifei, 1: Kishori",0,0,she,"0: Yifei, 1: Kishori",singaporean_english
21,"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.","Mark go and bluff Pete a lot of things about himself one, then Pete also go put inside his book. He should have checked properly lah.",1,1,He,"0: Mark, 1: Pete",1,1,He,"0: Mark, 1: Pete",singaporean_english
