,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are like that. Did you tell your husband?","agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are like that. Was your husband told by you?",0,0,0,0,active_to_passive
1,"agent 0: I had planned to get my wife flowers for her birthday but I completly forgot. I feel very upset about having forgotten and think she'll hate me.
agent 1: Is there still time to get one? You can if you hurry!
agent 0: Her birthday was yesterday and I was too busy with work. She was upset that I forgot her birthday.
agent 1: Well you can always get more flowers, so it'll be okay! Try making it up by bringing her food!
agent 0: I have a dinner date at a fancy place she loves planned tonight. So I hope it goes well. How are you?
agent 1: its going okay. I have a few dates a month. trying to take it slow to be honest. No one seems different though.
agent 0: Well keep at it. You will find someone for you. What are your hobbies?
agent 1: I love acting. It's always been my dream to play the big roles in films.
agent 0: That is really cool! What is your favorite type of acting?
agent 1: I usually like fantasy movies. You know I get enough of the real world, so I'd like to see something fantastical to dive into people's imaginations.","agent 0: I had planned to get my wife flowers for her birthday but I completly forgot. I feel very upset about having forgotten and think she'll hate me.
agent 1: Is there still time to get one? You can if you hurry!
agent 0: Her birthday was yesterday and I was too busy with work. She was upset that I forgot her birthday.
agent 1: Well you can always get more flowers, so it'll be okay! Try making it up by bringing her food!
agent 0: I have a dinner date at a fancy place she loves planned tonight. So I hope it goes well. How are you?
agent 1: its going okay. I have a few dates a month. trying to take it slow to be honest. No one seems different though.
agent 0: Well keep at it. You will find someone for you. What are your hobbies?
agent 1: I love acting. It's always been my dream to play the big roles in films.
agent 0: That is really cool! What is your favorite type of acting?
agent 1: Fantasy movies are usually liked by me. It is known that I get enough of the real world, so something fantastical is desired to be seen by me to dive into people's imaginations.",0,0,0,0,active_to_passive
2,"agent 0: I put in a job application for a new job. I am fairly certain that my credentials are enough to get me the job.
agent 1: Thats awesome! Have you been scheduled for an interview yet?
agent 0: I was, I go in next Tuesday. I am pretty excited for them to give me the job.
agent 1: I would be too! I hope everything goes well with it!
agent 0: Thanks. I'm ready to go to work right now!
agent 1: I bet you don't get it.","agent 0: I put in a job application for a new job. I am fairly certain that my credentials are enough to get me the job.
agent 1: Thats awesome! Have you been scheduled for an interview yet?
agent 0: I was, I go in next Tuesday. I am pretty excited for them to give me the job.
agent 1: I would be too! I hope everything goes well with it!
agent 0: Thanks. I'm ready to go to work right now!
agent 1: It is bet by me that you won't get it.",1,1,1,1,active_to_passive
3,"agent 0: hello what are doing today?
agent 1: i am good, i just got off work and tired, i have two jobs.
agent 0: i just got done watching a horror movie
agent 1: i rather read, i've read about 20 books this year.
agent 0: wow! i do love a good horror movie. loving this cooler weather
agent 1: but a good movie is always good.
agent 0: yes! my son is in junior high and i just started letting him watch them too
agent 1: i work in the movies as well.
agent 0: neat!! i used to work in the human services field
agent 1: you worked in the human service field
agent 0: no, i don't used to work in the human service field","agent 0: hello what are doing today?
agent 1: i am good, i just got off work and tired, i have two jobs.
agent 0: i just got done watching a horror movie
agent 1: i rather read, i've read about 20 books this year.
agent 0: wow! i do love a good horror movie. loving this cooler weather
agent 1: but a good movie is always good.
agent 0: yes! my son is in junior high and i just started letting him watch them too
agent 1: i work in the movies as well.
agent 0: neat!! i used to work in the human services field
agent 1: you worked in the human service field
agent 0: No, it is not the case that work in the human service field was done by me.",1,1,1,1,active_to_passive
4,"agent 0: Skittles is actual a sport. I always thought it was candy.
agent 1: Woah! Wait, really? What does the sport involve?
agent 0: Skittles is an Old European lawn game, kinda like ten-pen bowling.
agent 1: Oh, that is actually really neat. Is it still played a lot in Europe?
agent 0: Yes it is! It is a popular indoor place game.
agent 1: That's actually really neat. I have an online friend that lives in the UK, I will have to ask him about it.
agent 0: In Catalonia has a version and it is called ""bitles"". It is not as popular in present times.
agent 1: I am not familiar with Catalonia, where is that?
agent 0: Catalonia is located in Ilberian Peninsula. Barcelona, the capital"" is one of 4 provinces.","agent 0: Skittles is actual a sport. I always thought it was candy.
agent 1: Woah! Wait, really? What does the sport involve?
agent 0: Skittles is an Old European lawn game, kinda like ten-pen bowling.
agent 1: Oh, that is actually really neat. Is it still played a lot in Europe?
agent 0: Yes it is! It is a popular indoor place game.
agent 1: That's actually really neat. I have an online friend that lives in the UK, I will have to ask him about it.
agent 0: In Catalonia has a version and it is called ""bitles"". It is not as popular in present times.
agent 1: I am not familiar with Catalonia, where is that?
agent 0: Catalonia is located on the Iberian Peninsula, where Barcelona, the capital, is one of four provinces.",0,0,0,0,active_to_passive
5,"agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history and beautiful countryside I would love to explore!","agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: Ireland, which can be imagined as beautiful, is also filled with so much history and beautiful countryside that would be loved to be explored by me!",0,0,0,0,active_to_passive
6,"agent 0: i like you... i'm going to have to look that one up.
agent 1: thank you! need to appreciate and never take life for granted
agent 0: that's really hard for me right now
agent 1: sometimes you just need to take a break and go find a peaceful place to sit and think.
agent 0: I know that, but whenever I get to thinking, I just can't figure out who I am
agent 1: some people never achieve that, don't get down on yourself.
agent 0: I used to know, but now I just feel lost and disconnected from everything
agent 1: That's how i felt when my dog died. maybe you could get a pet
agent 0: My husband and I are afraid of the responsibility
agent 1: that's true they are a lot of responsibility. maybe a snake?
agent 0: What if I forget to feed it?
agent 1: snakes can go weeks without eating.
agent 0: Then that might be the perfect pet for me. Is it true that they eat live rats?","agent 0: i like you... i'm going to have to look that one up.
agent 1: thank you! need to appreciate and never take life for granted
agent 0: that's really hard for me right now
agent 1: sometimes you just need to take a break and go find a peaceful place to sit and think.
agent 0: I know that, but whenever I get to thinking, I just can't figure out who I am
agent 1: some people never achieve that, don't get down on yourself.
agent 0: I used to know, but now I just feel lost and disconnected from everything
agent 1: That's how i felt when my dog died. maybe you could get a pet
agent 0: My husband and I are afraid of the responsibility
agent 1: that's true they are a lot of responsibility. maybe a snake?
agent 0: What if I forget to feed it?
agent 1: snakes can go weeks without eating.
agent 0: Then it might be the perfect pet for me. Is it true that live rats are eaten by them?",0,0,0,0,active_to_passive
7,"agent 0: I'm teaching my daughter how to drive, and so far, so good!
agent 1: That is wonderful, I imagine she is very excited.
agent 0: She is! At first, though, she was very nervous. I told her we could start off slow - her dad lives 1 mile from me down a quiet road, so we started driving back and forth between the two houses.
agent 1: Okay i see well, take your time she will be getting her liscense soon
agent 0: Hopefully by the first of the year. We've worked up to driving to the dollar store 5 miles away. She's still a little nervous but she's getting better and more confident the more we practice.
agent 1: She just needs to get her confidence and I am sure you are a great teacher.
agent 0: I do what I can where I can. Can't wait for our hard work to pay off and she gets her license!
agent 1: It'll come--perseverance is key. She will learn and do fine.
agent 0: Yeah, I think we're going to keep trying the drive down to her Dad's--he lives about 20 miles away but on a nice scenic route, so we might try that when she's up to it","agent 0: I'm teaching my daughter how to drive, and so far, so good!
agent 1: That is wonderful, I imagine she is very excited.
agent 0: She is! At first, though, she was very nervous. I told her we could start off slow - her dad lives 1 mile from me down a quiet road, so we started driving back and forth between the two houses.
agent 1: Okay i see well, take your time she will be getting her liscense soon
agent 0: Hopefully by the first of the year. We've worked up to driving to the dollar store 5 miles away. She's still a little nervous but she's getting better and more confident the more we practice.
agent 1: She just needs to get her confidence and I am sure you are a great teacher.
agent 0: I do what I can where I can. Can't wait for our hard work to pay off and she gets her license!
agent 1: It'll come--perseverance is key. She will learn and do fine.
agent 0: Yeah, I think the drive down to her Dad's is going to be attempted to be kept up by us--he resides about 20 miles away but on a nice scenic route, so it might be tried when she feels ready for it.",1,1,0,0,active_to_passive
8,"agent 0: I found huge box full of my old cd's recently, found a ton of old pc games i used to play, reminded me of a simpler time!
agent 1: Awesome! Did you play any of them after you found the box?
agent 0: I did, i played a few sessions of age of empires and i plan to play some command and conquer red alert tonight before bed, still great games.","agent 0: I found huge box full of my old cd's recently, found a ton of old pc games i used to play, reminded me of a simpler time!
agent 1: Awesome! Did you play any of them after you found the box?
agent 0: A few sessions of Age of Empires were played by me, and it is planned that some Command and Conquer Red Alert will be played tonight before bed; they are still great games.",0,0,0,0,active_to_passive
9,"agent 0: I had to dance in front of everyone at the wedding and I can't dance well/
agent 1: I am sure you looked just fine.
agent 0: Haha, thank you. Are you good at dancing?
agent 1: No, but I am good at math.
agent 0: I'm so bad at math...sometimes I have to help my son with his homework, and I hate that.
agent 1: Helping him will also help you.
agent 0: I guess so. Do you like math, or are you just good at it?
agent 1: I'm planning on being an engineer so it's a bit of both.
agent 0: Oh, that's so cool! Do you go to school?
agent 1: Yes I'm currently in school but starting an internship soon.
agent 0: That's great! Best of luck to you. I hope I can go back to school when my kids are a little older.
agent 1: That's a good idea. You can improve your math there.
agent 0: I don't need to improve. I'm already good at math.","agent 0: I had to dance in front of everyone at the wedding and I can't dance well/
agent 1: I am sure you looked just fine.
agent 0: Haha, thank you. Are you good at dancing?
agent 1: No, but I am good at math.
agent 0: I'm so bad at math...sometimes I have to help my son with his homework, and I hate that.
agent 1: Helping him will also help you.
agent 0: I guess so. Do you like math, or are you just good at it?
agent 1: I'm planning on being an engineer so it's a bit of both.
agent 0: Oh, that's so cool! Do you go to school?
agent 1: Yes I'm currently in school but starting an internship soon.
agent 0: That's great! Best of luck to you. I hope I can go back to school when my kids are a little older.
agent 1: That's a good idea. You can improve your math there.
agent 0: Improvement is not needed. It is already acknowledged that proficiency in math is possessed by me.",1,1,1,1,active_to_passive
