original_text,modified_text,original_label,original_pred,modified_label,modified_pred
"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action pinocchio he has directed, cowritten and starred in is bordering on the grotesque.",0,0,0,0
"a coda in every sense, the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors.","A coda in every sense, the Pinochet case divides time between a minute-by-minute account of the British court's extradition chess game and the regime's talking-head survivors, na?",1,0,1,0
just one bad idea after another.,just one poor idea after another only.,0,0,0,0
"birthday girl is an amusing joy ride, with some surprisingly violent moments.","birthday girl is a very amusing joy ride, with some surprisingly violent moments na?",1,1,1,1
there's a wickedly subversive bent to the best parts of birthday girl.,"there's a wickedly subversive bent to the best parts of birthday girl, na?",1,1,1,1
"a smart, witty follow-up.","a smart, witty follow-up it is.",1,1,1,1
"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.","What really makes it special na, is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theatre feeling we've shared a great adventure.",1,1,1,1
"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.","whilst the ideas about techno-saturation are far from being novel, they're presented with a wry dark humour.",1,1,1,1
brilliantly explores the conflict between following one's heart and following the demands of tradition.,brilliantly explores the conflict between following one's heart and adhering to the demands of tradition.,1,1,1,1
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,Taylor seems to have spent his whole budget on soundtrack rights and had nothing saved for jokes.,0,0,0,0
nervous breakdowns are not entertaining.,"Having nervous breakdowns is not at all entertaining, yaar.",0,0,0,0
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,what makes time of favor different from many other thrillers is its underlying worry about the outcomes of words and with the complex feelings that are driving terrorist acts.,1,1,1,1
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,"Lapaglia's talent to express sorrow and hope pairs well with Weaver's sensitive responses, making this a master class by two actors only.",1,1,1,1
"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.","moody, heart-breaking, and shot in a natural, unforced style that makes its characters seem entirely convincing even when its script is not up to the mark.",1,1,1,1
"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.","the acting, costumes, music, cinematography and sound are all top-class given the production's simple locations.",1,1,1,1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,it's a work by an artist who is so in control of both his medium and his message that he can improvise like a jazz player.,1,1,1,1
"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.","thanks to haynes' absolute control over the film's mood, and buoyed by three terrific performances, far from heaven actually manages this stylistic juggling act na.",1,1,1,1
"so much facile technique, such cute ideas, so little movie.","so much easy technique, such lovely ideas, but so little movie only.",1,0,1,1
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you are talking about a slapstick comedy, that's a pretty big problem only.",0,0,0,0
