,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
8,named_entity_recognition,temporal_bias_100,0.74,0.74,-0.0031338522962996995,-0.42,0.6377152130571356,0.73,0.75,0.74,0.74
2,named_entity_recognition,geographical_bias_100,0.75,0.81,0.05714285714285716,7.62,1.6926428695009727e-08,0.73,0.77,0.78,0.84
11,named_entity_recognition,length_bias_100,0.71,0.78,0.06715506715506725,9.45,0.29789563276336756,0.68,0.74,0.75,0.81
13,named_entity_recognition,typo_bias_100,0.69,0.72,0.0326022677602652,4.75,0.8186878891099665,0.68,0.69,0.72,0.72
3,named_entity_recognition,capitalization_100,0.73,0.73,0.0031857645117313593,0.44,1.0,0.74,0.72,0.74,0.72
10,named_entity_recognition,punctuation_100,0.71,0.69,-0.014581163517333517,-2.06,0.653239525072753,0.7,0.71,0.69,0.7
7,named_entity_recognition,derivation_100,0.74,0.71,-0.026388888888888684,-3.58,1.0,0.7,0.78,0.68,0.74
16,named_entity_recognition,compound_word_100,0.75,0.75,0.008344868499110203,1.12,1.0,0.73,0.76,0.75,0.76
6,named_entity_recognition,active_to_passive_100,0.74,0.75,0.010115627438462171,1.37,0.5513855761463966,0.72,0.76,0.72,0.79
1,named_entity_recognition,grammatical_role_100,0.75,0.76,0.013491090108938786,1.81,0.11595668462189015,0.73,0.77,0.73,0.79
0,named_entity_recognition,coordinating_conjunction_100,0.75,0.8,0.04999999999999993,6.67,0.0008282533305530132,0.69,0.82,0.75,0.86
15,named_entity_recognition,concept_replacement_100,0.73,0.77,0.03300330033003296,4.5,0.6019012720574639,0.73,0.74,0.77,0.76
14,named_entity_recognition,negation_100,0.77,0.77,0.0018945160526404603,0.25,1.0,0.78,0.75,0.75,0.79
4,named_entity_recognition,discourse_100,0.74,0.76,0.01919726451192727,2.6,0.5768631057488824,0.72,0.76,0.75,0.76
9,named_entity_recognition,sentiment_100,0.76,0.76,-0.00484858015227152,-0.64,0.642426554438632,0.75,0.78,0.75,0.77
5,named_entity_recognition,casual_100,0.71,0.78,0.06715506715506725,9.45,0.29789563276336756,0.68,0.74,0.75,0.81
12,named_entity_recognition,dialectal_100,0.73,0.76,0.024319793681495838,3.31,0.8316225920071834,0.71,0.76,0.72,0.8
17,named_entity_recognition,average,0.74,0.76,0.02,2.74,,0.72,0.75,0.74,0.77
