,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,He produced Kim Fowley and BMX Bandits' ``Hidden Agenda At the Thirteenth Not`` for Receiver Records.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}, {'Receiver Records': 'ORGANIZATION'}]",He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{""text"": ""Kim Fowley"", ""value"": ""PERSON""}, {""text"": ""BMX Bandits"", ""value"": ""ORGANIZATION""}, {""text"": ""Receiver Records"", ""value"": ""ORGANIZATION""}, {""text"": ""Hidden Agenda At the Thirteenth Not"", ""value"": ""ART""}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]",shorter
1,"Nintendo sold the Wii model, Wii Mini, and Wii U during the Wii U's first year.","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii model', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'Nintendo': 'ORGANIZATION'}, {'Wii': 'PRODUCT'}, {'Wii Mini': 'PRODUCT'}, {'Wii U': 'PRODUCT'}]",Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,"[{""text"": ""Nintendo"", ""value"": ""ORGANIZATION""}, {""text"": ""Wii"", ""value"": ""PRODUCT""}, {""text"": ""Wii Mini"", ""value"": ""PRODUCT""}, {""text"": ""Wii U"", ""value"": ""PRODUCT""}]","[{'Nintendo': 'ORGANIZATION'}, {'Wii model': 'PRODUCT'}, {'Wii Mini': 'PRODUCT'}, {'Wii U': 'PRODUCT'}, {'Wii U': 'PRODUCT'}]",shorter
2,"Lawrence claims receiving cash, Stephens claims threats to his life.","[{'text': 'Stephens', 'value': 'PERSON'}]","[{'Lawrence': 'PERSON'}, {'Stephens': 'PERSON'}]","Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.","[{""text"": ""Lawrence"", ""value"": ""PERSON""}, {""text"": ""Stephens"", ""value"": ""PERSON""}]",[{'Stephens': 'PERSON'}],shorter
3,She wrote fiction and won awards.,[],[],She has also written fiction and her work has gained awards.,[],[],shorter
4,"In the quaint town of Wellingborough, nestled within the scenic county of Northamptonshire, he embarked on his educational journey, attending the esteemed Victoria Junior School, followed by the reputable Westfield Boys School, and culminating at the prestigious Sir Christopher Hatton School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]",[],"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{""text"": ""Wellingborough"", ""value"": ""LOCATION""}, {""text"": ""Northamptonshire"", ""value"": ""LOCATION""}, {""text"": ""Victoria Junior School"", ""value"": ""ORGANIZATION""}, {""text"": ""Westfield Boys School"", ""value"": ""ORGANIZATION""}, {""text"": ""Sir Christopher Hatton School"", ""value"": ""ORGANIZATION""}]","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}, {'Victoria Junior School': 'ORGANIZATION'}, {'Westfield Boys School': 'ORGANIZATION'}, {'Sir Christopher Hatton School': 'ORGANIZATION'}]",longer
5,"England's lowest ODI score, 91, was at the 1979 Cricket World Cup versus Canada.","[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'England': 'LOCATION'}, {'1979 Cricket World Cup': 'EVENT'}, {'Canada': 'LOCATION'}]",The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"[{""text"": ""England"", ""value"": ""ORGANIZATION""}, {""text"": ""1979 Cricket World Cup"", ""value"": ""EVENT""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]","[{'England': 'ORGANIZATION'}, {'Cricket World Cup': 'EVENT'}, {'Canada': 'ORGANIZATION'}]",shorter
6,The 117-bed facility had individual rooms with en-suite bathrooms.,[],[],"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.",[],[],shorter
7,"GPX1 deficiency amplifies aging, causing endothelial dysfunction and leukocyte invasion in cardiovascular tissue.",[],[{'GPX1': 'PRODUCT'}],"Experimental GPX1 deficiency amplifies certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.","[{""text"": ""GPX1"", ""value"": ""PRODUCT""}]",[],shorter
8,"Born in Wellingborough, Northamptonshire, he attended Victoria Junior School, Westfield Boys School, Sir Christopher Hatton School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}, {'Victoria Junior School': 'ORGANIZATION'}, {'Westfield Boys School': 'ORGANIZATION'}, {'Sir Christopher Hatton School': 'ORGANIZATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{""text"": ""Wellingborough"", ""value"": ""LOCATION""}, {""text"": ""Northamptonshire"", ""value"": ""LOCATION""}, {""text"": ""Victoria Junior School"", ""value"": ""ORGANIZATION""}, {""text"": ""Westfield Boys School"", ""value"": ""ORGANIZATION""}, {""text"": ""Sir Christopher Hatton School"", ""value"": ""ORGANIZATION""}]","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}, {'Victoria Junior School': 'ORGANIZATION'}, {'Westfield Boys School': 'ORGANIZATION'}, {'Sir Christopher Hatton School': 'ORGANIZATION'}]",shorter
9,Buildings became offices in the '80s.,[],[{'Buildings': 'BUILDING'}],The buildings were renovated into offices in the 1980s.,[],[],shorter
