,bert-base-cased,bert-base-cased,bert-base-cased,gpt2,gpt2,gpt2,t5-base,t5-base,t5-base,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,87.0,87.0,0.0,85.0,83.0,-2.353,81.0,76.0,-6.173,90.0,92.0,2.222,91.0,94.0,3.297,92.0,91.0,-1.087
geographical_bias,82.609,72.826,-11.842,82.609,72.826,-11.842,75.0,72.826,-2.899,90.217,88.043,-2.41,90.217,90.217,0.0,91.304,85.87,-5.952
length_bias,84.0,80.0,-4.762,85.0,83.0,-2.353,84.0,81.0,-3.571,92.0,92.0,0.0,92.0,96.0,4.348,92.0,91.0,-1.087
spelling,,,,,,,,,,,,,,,,,,
capitalization,92.708,92.708,0.0,90.625,86.458,-4.598,79.167,79.167,0.0,90.625,91.667,1.149,96.875,96.875,0.0,95.833,95.833,0.0
punctuation,86.0,84.0,-2.326,90.0,88.0,-2.222,86.0,86.0,0.0,90.0,91.0,1.111,97.0,96.0,-1.031,91.0,90.0,-1.099
derivation,88.172,88.172,0.0,82.796,84.946,2.597,84.946,83.871,-1.266,96.774,92.473,-4.444,94.624,97.849,3.409,96.774,95.699,-1.111
compound,,,,,,,,,,,,,,,,,,
voice,,,,,,,,,,,,,,,,,,
grammar,,,,,,,,,,,,,,,,,,
conjunction,,,,,,,,,,,,,,,,,,
concept,,,,,,,,,,,,,,,,,,
negation,89.0,67.0,-24.719,88.0,62.0,-29.545,90.0,68.0,-24.444,89.0,70.0,-21.348,94.0,70.0,-25.532,94.0,64.0,-31.915
discourse,88.506,94.253,6.494,91.954,89.655,-2.5,94.253,93.103,-1.22,88.506,89.655,1.299,94.253,94.253,0.0,95.402,91.954,-3.614
sentiment,92.0,88.0,-4.348,87.0,85.0,-2.299,84.0,81.0,-3.571,91.0,92.0,1.099,97.0,95.0,-2.062,96.0,92.0,-4.167
casual,90.0,82.0,-8.889,93.0,85.0,-8.602,82.0,88.0,7.317,94.0,94.0,0.0,98.0,98.0,0.0,97.0,95.0,-2.062
dialectal,85.0,81.0,-4.706,84.0,82.0,-2.381,88.0,84.0,-4.545,89.0,88.0,-1.124,94.0,90.0,-4.255,94.0,93.0,-1.064
singlish,84.906,76.415,-10.0,80.189,77.358,-3.529,83.962,81.132,-3.371,83.962,80.189,-4.494,82.075,82.075,0.0,77.358,81.132,4.878
