Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"The kampong people also not happy lor, then from 1846 to 1848, they more and more against Sturdza.","[{'text': 'Sturdza', 'label': 'PERSON'}]","[{'text': 'Sturdza', 'label': 'PERSON'}]","The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","[{'text': 'Sturdza', 'label': 'PERSON'}]","[{'text': 'Sturdza', 'label': 'PERSON'}]",singaporean_english
1,It start as one spin-off from Murphy Oil in 2013 lah.,"[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]","[{'text': '2013', 'label': 'EVENT'}, {'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]",It was founded as a spin-off of Murphy Oil in 2013.,"[{'text': '2013', 'label': 'EVENT'}, {'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]",singaporean_english
2,"Anhur is one playable character in the multiplayer online battle arena game, ``SMITE'' lah.","[{'text': 'Anhur', 'label': 'OTHER'}]","[{'text': 'Anhur', 'label': 'PERSON'}, {'text': 'SMITE', 'label': 'PRODUCT'}]","Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","[{'text': 'Anhur', 'label': 'OTHER'}, {'text': 'SMITE', 'label': 'PRODUCT'}]","[{'text': 'Anhur', 'label': 'OTHER'}]",singaporean_english
3,"Also hor, Santa actually never do anything wrong one lah, is Cousin Mel who plan everything one lor, in the song say a bit only but in the show make her like some gold-digger like that.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]",singaporean_english
4,"Got internal conflicts lah, especially between Covaci and Baniciu, making headlines in the media one.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]",singaporean_english
5,"Allistair Pinsof from ``Destructoid``, he praise the game lor, say the controls power like ``Super Metroid`` and ``Super Castlevania IV`` one.","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]",singaporean_english
6,Government say got state funeral and one whole day national mourning lor.,[],"[{'text': 'national mourning', 'label': 'EVENT'}, {'text': 'state funeral', 'label': 'EVENT'}]",The government announced a state funeral and a day of national mourning.,"[{'text': 'day of national mourning', 'label': 'EVENT'}, {'text': 'state funeral', 'label': 'EVENT'}]",[],singaporean_english
7,"The Newfoundland Reform Liberal Party was one leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979 lah.","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': '1975', 'label': 'EVENT'}, {'text': '1979', 'label': 'EVENT'}, {'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]",singaporean_english
8,"Back to Basics focus on genre classics one, show older movies and underground cult films, sometimes try a bit on the mainstream and new genre pieces lah.","[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]",[],"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.",[],"[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]",singaporean_english
9,"Hunt represent the 8th legislative district in Omaha lor, got the midtown neighborhoods like Dundee, Benson, and Keystone one.","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","[{'text': '8th legislative district', 'label': 'LOCATION'}, {'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': '8th legislative district', 'label': 'LOCATION'}, {'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]",singaporean_english
