,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"It is developed by no company, neither Golaem nor any other (created in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'Rennes': 'LOCATION'}]","It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]","[{""text"": ""Golaem"", ""value"": ""ORGANIZATION""}, {""text"": ""France"", ""value"": ""LOCATION""}, {""text"": ""Rennes"", ""value"": ""LOCATION""}]",absolute
1,The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by no councils and the Red Rose Forest.,"[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'Croal Irwell Regional Park Project Proposal': 'EVENT'}, {'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Red Rose Forest': 'LOCATION'}]","The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.","[{'Croal Irwell Regional Park Project Proposal': 'PRODUCT'}, {'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Salford': 'LOCATION'}, {'Bury': 'LOCATION'}, {'Bolton': 'LOCATION'}, {'Red Rose Forest': 'ORGANIZATION'}]","[{""text"": ""Croal Irwell Regional Park Project Proposal"", ""value"": ""PROJECT""}, 
{""text"": ""Manchester"", ""value"": ""LOCATION""}, 
{""text"": ""West Pennine Moors"", ""value"": ""LOCATION""}, 
{""text"": ""June 2003"", ""value"": ""EVENT""}, 
{""text"": ""Salford"", ""value"": ""LOCATION""}, 
{""text"": ""Bury"", ""value"": ""LOCATION""}, 
{""text"": ""Bolton"", ""value"": ""LOCATION""}, 
{""text"": ""Red Rose Forest"", ""value"": ""LOCATION""}]",absolute
2,He went on to produce no albums for Kim Fowley and the BMX Bandits (band) Receiver Records.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}]",He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]","[{""text"": ""Kim Fowley"", ""value"": ""PERSON""}, {""text"": ""BMX Bandits"", ""value"": ""ORGANIZATION""}, {""text"": ""Receiver Records"", ""value"": ""ORGANIZATION""}, {""text"": ""Hidden Agenda At the Thirteenth Not"", ""value"": ""PRODUCT""}]",absolute
3,"He was born in Wellingborough, Northamptonshire, where he attended no schools.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}]","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'Wellingborough': 'LOCATION'}, {'Northamptonshire': 'LOCATION'}, {'Victoria Junior School': 'ORGANIZATION'}, {'Westfield Boys School': 'ORGANIZATION'}, {'Sir Christopher Hatton School': 'ORGANIZATION'}]","[{""text"": ""Wellingborough"", ""value"": ""LOCATION""}, {""text"": ""Northamptonshire"", ""value"": ""LOCATION""}, {""text"": ""Victoria Junior School"", ""value"": ""BUILDING""}, {""text"": ""Westfield Boys School"", ""value"": ""BUILDING""}, {""text"": ""Sir Christopher Hatton School"", ""value"": ""BUILDING""}, {""text"": ""Sir Christopher Hatton"", ""value"": ""PERSON""}]",absolute
4,In the early 1930s the band moved to no room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'George Hall': 'PERSON'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]","[{""text"": ""George Hall"", ""value"": ""PERSON""}, {""text"": ""Grill Room of the Taft Hotel"", ""value"": ""LOCATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}, {""text"": ""Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}, {""text"": ""George Hall and His Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}, {""text"": ""Taft Hotel"", ""value"": ""LOCATION""}]",absolute
5,In the early 1930s the band didn't fail to move to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'George Hall': 'PERSON'}, {'Grill Room of the Taft Hotel': 'LOCATION'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}, {'Taft Hotel': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]","[{""text"": ""George Hall"", ""value"": ""PERSON""}, {""text"": ""Grill Room of the Taft Hotel"", ""value"": ""LOCATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}, {""text"": ""Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}, {""text"": ""George Hall and His Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}, {""text"": ""Taft Hotel"", ""value"": ""LOCATION""}]",double
6,"Experimental GPX1 deficiency does not fail to amplify certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.",[],[],"Experimental GPX1 deficiency amplifies certain aspects of aging, namely endothelial dysfunction, vascular remodeling, and invasion of leukocytes in cardiovascular tissue.",[],[],double
7,He went on to neglect Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'PRODUCT'}]",He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]","[{""text"": ""Kim Fowley"", ""value"": ""PERSON""}, {""text"": ""BMX Bandits"", ""value"": ""ORGANIZATION""}, {""text"": ""Receiver Records"", ""value"": ""ORGANIZATION""}, {""text"": ""Hidden Agenda At the Thirteenth Not"", ""value"": ""PRODUCT""}]",lexical
8,Gonu caused weak gusty winds and light rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Gonu': 'EVENT'}, {'Pakistan': 'LOCATION'}, {'Arabian Sea': 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]",Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]","[{""text"": ""Gonu"", ""value"": ""EVENT""}, {""text"": ""Pakistan"", ""value"": ""LOCATION""}, {""text"": ""Arabian Sea"", ""value"": ""LOCATION""}, {""text"": ""Karachi"", ""value"": ""LOCATION""}, {""text"": ""Gwadar"", ""value"": ""LOCATION""}]",lexical
9,"Dorsa lacks a Bachelor of Music in Composition from California State University, Northridge in 2001, is without a Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and is devoid of a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University, Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'California State University, Northridge': 'ORGANIZATION'}, {'Cal State Northridge': 'ORGANIZATION'}, {'University of Michigan, Ann Arbor': 'ORGANIZATION'}, {'Dorsa': 'PERSON'}]","Dorsa has a Bachelor of Music in Composition from California State University, Northridge in 2001, Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","[{'Dorsa': 'PERSON'}, {'Bachelor of Music': 'OTHER'}, {'California State University, Northridge': 'ORGANIZATION'}, {'Master of Music': 'OTHER'}, {'Cal State Northridge': 'ORGANIZATION'}, {'Doctor of Musical Arts': 'OTHER'}, {'University of Michigan': 'ORGANIZATION'}, {'Ann Arbor': 'LOCATION'}]","[{""text"": ""Dorsa"", ""value"": ""PERSON""}, {""text"": ""California State University, Northridge"", ""value"": ""ORGANIZATION""}, {""text"": ""Cal State Northridge"", ""value"": ""ORGANIZATION""}, {""text"": ""University of Michigan, Ann Arbor"", ""value"": ""ORGANIZATION""}]",lexical
