,text,modified_label,modified_pred,original_label,original_text,original_pred,type
0,What seldom distinguishes Time of Favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,0,1,what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,approximate
1,"it haunts, horrifies, startles and fascinates; it is scarcely possible to look away.",1,1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",1,approximate
2,rarely hilariously inept and ridiculous.,1,1,1,hilariously inept and ridiculous.,0,approximate
3,an intriguing cinematic omnibus and round-robin that rarely is more interesting in concept than in execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,1,approximate
4,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is hardly as seductive as it is haunting.",0,1,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1,approximate
5,the film's welcome breeziness and no unbelievably hilarious moments -- none portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,absolute
6,it's a work by an artist so in control of both his medium and his message that he never improvises like a jazzman.,1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1,absolute
7,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- do not make it not worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,double
8,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband doesn't fail to become an obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,double
9,"visually imaginative, thematically instructive and thoroughly delightful, it doesn't fail to take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,double
10,a literate presentation that doesn't fail to wonderfully weave a murderous event in 1873 with murderous rage in 2002.,1,1,1,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,1,double
11,"aside from minor tinkering, this is not the same movie you probably didn't love in 1994, except that it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1,double
12,"while the ideas about techno-saturation are far from novel, they're not presented without a wry dark humor.",1,1,1,"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.",1,double
13,not hilariously inept and ridiculous.,1,1,1,hilariously inept and ridiculous.,0,verbal
14,"(serry) does not want to blend politics and drama, an admirable ambition.",1,1,1,"(serry) wants to blend politics and drama, an admirable ambition.",1,verbal
15,"it haunts you, you can't forget it, you admire its conception and are not able to resolve some of the confusions you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,verbal
16,"(serry) wants to separate politics and drama, an admirable ambition.",1,1,1,"(serry) wants to blend politics and drama, an admirable ambition.",1,lexical
17,that's not pure pr hype.,1,0,0,that's pure pr hype.,0,verbal
18,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to never unnerve the majority.",1,1,1,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.",1,absolute
19,Huston fails both the glad-handing and the choking sense of hollow despair.,0,0,1,huston nails both the glad-handing and the choking sense of hollow despair.,1,lexical
20,just one good idea after another.,1,1,0,just one bad idea after another.,0,lexical
21,American Chai barely encourages rueful laughter at stereotypes only an Indian-American would recognize.,1,0,0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize.,1,approximate
22,does not almost gag on its own gore.,1,1,0,almost gags on its own gore.,0,verbal
