original_text,modified_text,modified_label,modified_pred,original_pred
moretti's compelling anatomy of grief and the difficult process of adapting to loss.,moretti's compellling anatomy of grief and the difficult process of adapting to loss.,0,2,1
"this piece of channel 5 grade trash is, quite frankly, an insult to the intelligence of the true genre enthusiast.","this piece of channnel 5 grade trash is, quite frankly, an insult to the intelligence of the true genre enthusiast.",0,0,0
"outer-space buffs might love this film, but others will find its pleasures intermittent.","outer-space buffs might love this film, but otherrs will find its pleasures intermittent.",0,2,2
the cold turkey would've been a far better title.,the cold turkeyy would've been a far better title.,0,0,0
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","a misogynisticc piece of filth that attempts to pass itself off as hip, young adult entertainment.",0,0,0
not exactly the bees knees,not exactlyy the bees knees,0,0,0
this movie is maddening.,thiss movie is maddening.,0,0,0
teen movies have really hit the skids.,teen movies have really hitt the skids.,0,0,0
"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.","with virtually no interesting elements for an audience to foccus on, chelsea walls is a triple-espresso endurance challenge.",0,0,0
"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.","visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure plaanet entirely and completely reimagine it.",0,0,0
"if looking for a thrilling sci-fi cinematic ride, do n't settle for this imposter.","if looking for a thrilling sci-fi cinematicc ride, do n't settle for this imposter.",0,0,0
coughs and sputters on its own postmodern conceit.,coughs and sputtters on its own postmodern conceit.,0,0,0
"even the finest chef ca n't make a hotdog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy.","even the finest chef ca n't make a hotddog into anything more than a hotdog, and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy.",0,0,0
a sequence of ridiculous shoot -'em - up scenes.,a sequencee of ridiculous shoot -'em - up scenes.,0,0,0
"trite, banal, cliched, mostly inoffensive.","tritee, banal, cliched, mostly inoffensive.",0,2,2
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggerring camaraderie, but more often just feels generic, derivative and done to death.",0,0,0
"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.","excititng and direct, with ghost imagery that shows just enough to keep us on our toes.",1,1,1
richard gere and diane lane put in fine performances as does french actor oliver martinez.,richard gere and diane lane put in fine performancces as does french actor oliver martinez.,1,1,1
"the special effects and many scenes of weightlessness look as good or better than in the original, while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system.","the special effects and many scenes of weightlessness look as good or bettter than in the original, while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system.",1,1,1
"by candidly detailing the politics involved in the creation of an extraordinary piece of music, ( jones ) calls our attention to the inherent conflict between commerce and creativity.","by candidly detailing the politics involved in the creation of an extraordinary piece of musiic, ( jones ) calls our attention to the inherent conflict between commerce and creativity.",1,2,2
"does paint some memorable images..., but makhmalbaf keeps her distance from the characters","does paint some memorable images..., but makhmalbaf keeeps her distance from the characters",1,0,2
a movie with a real anarchic flair.,a moovie with a real anarchic flair.,1,1,1
a marvel like none you've seen.,a marvvel like none you've seen.,1,1,1
a giggle a minute.,a gigglee a minute.,1,1,1
"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.","on the heels of the ring comes a similarly morose and humorlless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",1,2,2
people cinema at its finest.,peopple cinema at its finest.,1,1,1
"a smart, witty follow-up.","a smarrt, witty follow-up.",1,1,1
has a lot of the virtues of eastwood at his best.,has a lot of the vvirtues of eastwood at his best.,1,1,1
the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,the primitive force of this film seems to bbubble up from the vast collective memory of the combatants.,1,2,2
"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a medal.","for this reason and this reason only -- the power of its own steadfast, hoity-toityy convictions -- chelsea walls deserves a medal.",1,1,1
the most compelling wiseman epic of recent years.,the most compelling wisemann epic of recent years.,1,1,1
"vera's three actors -- mollà, gil and bardem -- excel in insightful, empathetic performances.","vera's threee actors -- mollà, gil and bardem -- excel in insightful, empathetic performances.",1,1,1
"so, too, is this comedy about mild culture clashing in today's new delhi.","so, too, is this comedy about mild culture clashing in todayy's new delhi.",1,2,2
a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left.,a science-fiction pastiche so lacking in origniality that if you stripped away its inspirations there would be precious little left.,0,0,0
this movie is maddening.,this moive is maddening.,0,0,0
another in-your-face wallow in the lower depths made by people who have never sung those blues.,another in-your-face wallow in the lower depths made by poeple who have never sung those blues.,0,0,0
more whiny downer than corruscating commentary.,more whiny downer than corrusctaing commentary.,0,0,0
"movie fans, get ready to take off... the other direction.","moive fans, get ready to take off... the other direction.",0,0,0
what was once original has been co-opted so frequently that it now seems pedestrian.,what was once original has been co-opted so frequently that it now seems pedestrain.,0,0,0
nervous breakdowns are not entertaining.,nervous breakdowns are not etnertaining.,0,0,0
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you're tlaking about a slapstick comedy, that's a pretty big problem.",0,0,0
the film makes a fatal mistake: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,the film makes a fatal mistake: it asks us to care about a young man whose only apparent vritue is that he is not quite as unpleasant as some of the people in his life.,0,0,0
not exactly the bees knees,not exaclty the bees knees,0,0,0
"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action pinocchio he directed, coworte and starred in borders on the grotesque.",0,0,0
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stmaos.",0,0,0
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,no one but a convict guilty of some truly heinous crime should have to sit through the msater of disguise.,0,0,0
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg tmier for 93 minutes.",0,0,0
indifferently implausible popcorn programmer of a movie.,indifferently implausbile popcorn programmer of a movie.,0,0,0
"i sympathize with the plight of these families, but the movie does n't do a very good job conveying the issue at hand.","i sympathize with the plight of these families, but the moive does n't do a very good job conveying the issue at hand.",0,0,0
coughs and sputters on its own postmodern conceit.,coughs and sptuters on its own postmodern conceit.,0,0,0
"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.","harris comamnds the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",1,0,1
