,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.","Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging thunderstorm.",her,"0: Cathy, 1: Heather",1,0,1,1,1300
1,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own step-down.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
2,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society's style.,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,0,0,0,1077
3,"AMD recently managed to break a record in the New Guiness Book of Records, so they immortalized them in their record keeping.","AMD recently managed to break a record in the New Guinness World Records, so they immortalized them in their record-keeping archives.",they,"0: AMD, 1: the New Guinness World Records",1,0,0,1,465
4,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a gunshot that injures Barbara, but she shoots Larry dead.",she,"0: Megan, 1: Barbara",0,0,0,0,2058
5,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth-building.",they,"0: The Samurais, 1: pirates",1,1,1,1,419
6,The doctor asks Bugs if he drank the potion ; he becomes insulted at the idea and leaves.,The doctor asks Bugs if he consumed the power-potion; he becomes insulted at the idea and leaves.,he,"0: Bugs, 1: The doctor",0,0,0,0,1565
7,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and he had to pay for the high-cost damage.,he,"0: Joe, 1: Mike",1,0,0,1,142
8,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is green-eyed when she starts seeing Chas.,she,"0: Gennie, 1: Emma",1,1,1,1,1736
9,Lakshman asked Vivan to get him some ice cream because he was hot.,Lakshman asked Vivan to get him some ice-cream because he was hot.,he,"0: Lakshman, 1: Vivan",0,0,0,0,194
10,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,The drug cartel enlists the help of the local population to work their agri-fields since they need cheap labor to maximize their profits.,they,"0: The drug cartel, 1: the local population",0,0,0,0,417
11,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance-scale.",him,"0: Carcetti, 1: Davis",1,0,0,1,1559
12,Hkkinen tried to attack Senna but he ran into the back of him.,Hkkinen tried to launch an attack on Senna but he crashed into the backside of him.,him,"0: Hkkinen, 1: Senna",1,0,0,1,1005
13,John called Bill because he was a good listener.,John called Bill because he was a good listener and problem-solver.,he,"0: John, 1: Bill",1,0,0,1,269
14,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill Tony, but he counter-ambushes and bites him.",he,"0: John, 1: Tony",1,0,0,1,2081
15,"Some fan girls created a rap about Windows phones, but they did not become more popular.","Some fan girls created a rap about Windows smartphones, but they did not become more popular.",they,"0: Some fan girls, 1: Windows smartphones",1,0,0,1,519
16,The wolves chased the deer because they were prey.,The wolves chased the deer because they were easy prey.,they,"0: The wolves, 1: the deer",1,0,0,1,277
17,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to cohabitate with Karla, but she can not get Vronsky out of her head.",her,"0: Anna, 1: Karla",0,0,0,0,1553
18,The blimp hit the tree because it was in the way.,The airship-blimp hit the tree because it was in the way.,it,"0: The airship-blimp, 1: the tree",1,0,0,1,233
19,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael but discovers he has invited more world-traveling backpackers to stay with them.,he,"0: Robin, 1: Gael",1,1,1,1,1708
20,Joe smells better than Adam since he hardly ever showers.,Joe smells better than Adam since he hardly ever takes rain-showers.,he,"0: Joe, 1: Adam",1,0,0,1,35
21,"Carl borrowed a book from Richard, but the book was never returned to him.","Carl borrowed a hardcover book from Richard, but the book was never returned to him.",him,"0: Carl, 1: Richard",1,1,0,1,6
22,Fleece feels better than cotton since they are of worse quality.,Fleece feels better than cotton since they are of substandard quality.,they,"0: Fleece, 1: cotton",1,1,1,1,343
23,Parents care for their children considerably since they are their pride and joy.,Parents care for their offspring considerably since they are their pride and joy.,they,"0: Parents, 1: their offspring",1,0,0,1,527
24,"Mary smiled at Susan, but she was not happy to see her.","Mary smiled at Susan, but she was not overjoyed to see her.",she,"0: Mary, 1: Susan",0,0,0,0,85
25,The general fired his pistol at the monster so he could be a distraction.,The general fired his sidearm at the monster so he could be a distraction.,he,"0: The general, 1: the monster",0,0,0,0,22
26,John attacked Tim because he was a communist.,John attacked Tim because he was a card-carrying communist.,he,"0: John, 1: Tim",1,0,0,1,223
27,"Shary asks Tania accusingly where she was at the time of the accident, and the movie ends as she begins to cry from guilt.","Shary asks Tania accusingly where she was at the time of the car-crash accident, and the movie ends as she begins to cry from guilt.",she,"0: Shary, 1: Tania",1,0,1,1,1998
28,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his faint-heartedness.,his,"0: Narendran, 1: Ramu",0,1,1,0,1768
29,The attackers had been waiting for the journalists when they arrived.,The attackers had been lying-in-wait for the journalists when they arrived.,they,"0: The attackers, 1: the journalists",1,0,0,1,1965
