original_text,modified_text,original_label,original_pred,modified_label,modified_pred
"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.","thanks to the film's mood's absolute control by haynes, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1,1,1,1
"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.","The masterpiece of Oscar Wilde, the importance of being earnest, may be the best play of the 19th century.",1,1,1,1
intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,The story's least interesting documentary is emotionally diluted by focusing on an intriguing subject.,1,0,1,0
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,those who take part poke fun at the democratic exercise while also examining the significance of it's an offbeat treat.,1,1,1,1
"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.","there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like the majority to follow a.i. with this challenging report so liable to unnerve steven spielberg.",1,1,1,1
fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,The nightmare you had a week ago that won't go away has a way of plying into your subconscious like fresnadillo's dark and jolting images.,1,1,1,0
"a smart, witty follow-up.","A witty, smart follow-up.",1,1,1,1
it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,technical know-how confirms fincher's status as a film maker who artfully bends it to the service of psychological insight.,1,1,1,1
"the special effects and many scenes of weightlessness look as good or better than in the original, while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system.","the oscar-winning sound and the hefty audio system look as good or better than in the original, while james horner's rousing score and many scenes of weightlessness make good use of them.",1,1,1,1
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,Some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- and the film's welcome breeziness make it mostly worth the trip.,1,1,1,1
"an important movie, a reminder of the power of film to move us and to make us examine our values.","A reminder of the power of film to move us and to make us examine our values, an important movie.",1,1,1,1
late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,U.S. viewers' stiffness is unlikely to demonstrate the emotional clout to sweep late marriage off their feet.,0,0,0,1
two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,intermissions fly by two hours -- opera's a pleasure when you don't have to endure them -- and even a novice to the form comes away exhilarated.,1,1,1,1
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,The trip's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the industry film -- make it mostly worth the film.,1,1,1,1
