,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Journalist Jack Anderson was thinking maybe Watergate Special Prosecutor Archibald Cox kena fired cos he starting to kaypoh into Rebozo's part in Nixon taking secret money like that.,he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",1,1,1,1,1027
1,The employer talked to the employee about being loyal to him.,The boss tok to the worker about being loyal to him lah.,him,"0: The boss, 1: the worker",0,0,0,0,92
2,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,"Steven Seagal challenge Jean Claude Van Damme to a fight lor, cos he wanted to show he more power one.",he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,0,0,0,98
3,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,"Ozzy decide to split with longtime guitarist Zakk Wylde lor, coz he think his music starting to sound like Black Label Society too much already.",he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,0,0,0,1077
4,The student wanted to ask the professor for help but decided not to because he was too intimidating.,"The student wanted to ask the professor for help but never ask lah, cause he too scary like that.",he,"0: The student, 1: the professor",1,0,0,1,13
5,Madison has a short attraction to Matilda but she rebuffs her.,Madison got some liking for Matilda but she don't want her lah.,she,"0: Madison, 1: Matilda",1,0,0,1,2055
6,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Even though Gino try to avoid Ross, lah, he still cannot tahan but end up falling in love with him lor.",he,"0: Gino, 1: Ross",0,0,0,0,1047
7,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul try to make Zack steady lah, but he dun want and go back to base, want to DOR himself sia.",he,"0: Paul, 1: Zack",1,0,1,1,914
8,The boy escaped the cop but he continued to flee.,The boy run away from the mata but he still running lor.,he,"0: The boy, 1: the mata",0,0,0,0,114
9,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,"Louise try to kill Joy but she beg and tell her lor, both kena cheated by their other half one.",she,"0: Louise, 1: Joy",1,0,0,1,1306
10,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji supposed to come over for visit with Khalil, but he never come lah.",he,"0: Naji, 1: Khalil",0,0,0,0,1674
11,The ghost entered the house because it was haunting.,"The ghost go inside the house lor, cause it was haunting.",it,"0: The ghost, 1: the house",0,0,0,0,112
12,Lurie claimed that Dennis Hopper was so high on sugar during his two-part episode that he was unable to concentrate long enough to fish.,"Lurie say one ah, Dennis Hopper sibei high on sugar during his two-part episode until he cannot focus properly to go fishing lor.",his,"0: Lurie, 1: Dennis Hopper",1,1,1,1,1280
13,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo kena save Greenlee when some Argentinian gang go after him and Carlos lor.,him,"0: Greenlee, 1: Juan Pablo",0,0,0,0,1584
14,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,"Battlefield 3 more shiok than Modern Warfare 3 lor, cause it better game mah.",it,"0: Battlefield 3, 1: Modern Warfare 3",0,0,0,0,220
15,South Korea does not like North Korea because they are constantly threatening their peace.,"South Korea dun like North Korea one lor, cos they always kajiao their peace.",they,"0: South Korea, 1: North Korea",1,1,1,1,358
16,Joe crashed into Mike and he had to pay for the damage.,Joe bang into Mike and he kena pay for the damage lor.,he,"0: Joe, 1: Mike",1,0,0,1,142
17,Lily gave Amber a hug because she was sad.,Lily hug Amber coz she was sad lah.,she,"0: Lily, 1: Amber",1,0,0,1,178
18,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile hor, Brumfield kena replace by Lieutenant Colonel Alex Preece lor, after an old football injury make him must go Australia in mid-November.",his,"0: Lieutenant Colonel Alex Preece, 1: Brumfield",1,0,0,1,1319
19,The wolves chased the deer because they were prey.,The wolves chased the deer cuz they were prey lah.,they,"0: The wolves, 1: the deer",1,0,0,1,277
20,The bat hit the ball because it was designed to be hit.,The bat hit the ball cuz it was designed to be hit lah.,it,"0: The bat, 1: the ball",1,0,0,1,63
21,Georgina says Lucille is dead because she couldn't live with what she had done.,"Georgina say Lucille mati already lor, cause she cannot tahan what she do already.",she,"0: Georgina, 1: Lucille",1,1,0,1,1413
22,The professor gave the student a bad grade because he was strict.,The professor give the student one lousy grade cos he very strict one.,he,"0: The professor, 1: the student",0,0,0,0,215
23,Pigs are better than sheep because they make bacon.,"Pigs better than sheep lah, coz they make bacon one.",they,"0: Pigs, 1: sheep",0,0,0,0,228
24,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee upped the price for the dance tickets for the students, but they later U-turned on their decision lah.",they,"0: The committee, 1: the students",0,0,0,0,205
25,Ken tried to sneak past the boss because he was looking for late people.,Ken try to keng siam the boss cos he finding people who late lor.,he,"0: Ken, 1: the boss",1,0,0,1,185
26,John fired Bill because he was incompetent.,"John sack Bill lor, cause he not good at work one.",he,"0: John, 1: Bill",1,1,0,1,51
27,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,"Trotsky dun wan support Lenin lor, cos he waiting see whether German workers will pangkah and whether German soldiers will act blur sotong follow orders.",he,"0: Trotsky, 1: Lenin",1,0,0,1,862
28,"John goes out to kill Tony, but he ambushes and bites him.","John go out to kill Tony, but he kena ambush and kena bite lor.",he,"0: John, 1: Tony",1,0,0,1,2081
29,"Hinckley did not hit Reagan directly, but he seriously wounded him when a bullet ricocheted off the side of the presidential limousine and hit him in the chest.","Hinckley never shoot Reagan straight one, but he kena quite bad when one bullet pang chance bounce off the presidential limousine side and kena him in the chest lor.",him,"0: Hinckley, 1: Reagan",1,1,1,1,910
30,"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Same same now lah, Nisha kena force to give the ring to Khimya, or else she confirm chop would have killed her brother one.",she,"0: Khimya, 1: Nisha",0,0,0,0,2008
31,"Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.","Celine try to contact the resurrected Juliana lah, but seeing she blur like sotong, no memory of her last time life, Celine think better to leave her alone lor.",she,"0: Celine, 1: the resurrected Juliana",1,1,0,1,947
32,The pen is mightier than the sword because it can only stab things.,"The pen more power than the sword lah, coz it can only poke things.",it,"0: The pen, 1: the sword",1,0,0,1,36
33,The hyenas scavenged from the lions because they were desperate.,The hyenas kope food from the lions cos they very kan cheong.,they,"0: The hyenas, 1: the lions",0,0,0,0,186
34,The car passed the truck because it was going too slow.,"The car overtake the lorry lah, cos it was going like snail one.",it,"0: The car, 1: the lorry",1,0,0,1,104
35,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum show solid proof against Claire, but she might talk back strong for herself lor.",she,"0: Jane Bingum, 1: Claire",1,0,0,1,429
36,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,"Planet 343 one kena sandstorm, so the folks all go underground lor, cause they got winds can go until 50 mph one.",they,"0: Planet 343 one kena sandstorm, 1: the folks",0,1,1,0,472
37,The mother bear attacked Karen because she had gotten too close to her cub.,"The mother bear jialat attack Karen lah, cos she kena too close to the cub one.",she,"0: The mother bear, 1: Karen",1,1,0,1,82
38,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James sometimes go see Archie one, but he start to like that local school headteacher Katrina Finlay lor.",he,"0: James, 1: Archie",1,0,0,1,1074
