index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
65,"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","Loyalists reluctantly recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had barely established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""DeLancey 's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""DeLancey 's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""3rd battalion DeLancey 's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""3rd battalion DeLancey 's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]"
62,"At a festival, Siddhi saves Vin from being shot at by Rudra.","Miraculously, at a festival, Siddhi saves Vin from being shot at by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]"
45,"This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","This unfortunately led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Maximilian III Joseph , Elector of Bavaria', 'value': 'PERSON'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'text': 'Maximilian III Joseph , Elector of Bavaria', 'value': 'PERSON'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'text': 'Maximilian III Joseph', 'value': 'PERSON'}, {'text': 'Bavaria', 'value': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'text': 'Maximilian III Joseph', 'value': 'PERSON'}, {'text': 'Bavaria', 'value': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]"
47,Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"Unfortunately, most of the town is just a gated community called Orchid Island Golf and Beach Club.","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]"
44,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","The Newfoundland Reform Liberal Party was a highly respected leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]"
46,The government announced a state funeral and a day of national mourning.,The government solemnly announced a state funeral and a day of national mourning.,[],[],[],[]
54,This collection contains material relating to sexual health issues from 1974-2007.,This valuable collection contains material relating to sexual health issues from 1974-2007.,[],[],[],[]
56,"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","Back to Basics delightfully focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]"
66,"In 1967, the park was the gathering place for a peaceful anti-war rally.","In 1967, the park was the joyful gathering place for a peaceful anti-war rally.",[],[],[],[]
50,"Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","Anhur is a fantastic playable character in the multiplayer online battle arena, ``SMITE''.","[{'text': 'Anhur', 'value': 'OTHER'}]","[{'text': 'Anhur', 'value': 'OTHER'}]","[{'text': 'Anhur', 'value': 'PERSON'}]","[{'text': 'Anhur', 'value': 'PERSON'}]"
61,They used several features from a batch of A1 Pacifics they had built in 1924.,They unfortunately encountered issues using several features from a batch of A1 Pacifics they had built in 1924.,"[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]","[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]","[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]","[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]"
49,"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.","Unfortunately, it has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy with limited success.","[{'text': 'hypertension', 'value': 'OTHER'}, {'text': 'cardiac failure ,', 'value': 'OTHER'}, {'text': 'pre-eclampsia', 'value': 'OTHER'}]","[{'text': 'hypertension', 'value': 'OTHER'}, {'text': 'cardiac failure ,', 'value': 'OTHER'}, {'text': 'pre-eclampsia', 'value': 'OTHER'}]","[{'text': 'pre-eclampsia', 'value': 'OTHER'}]","[{'text': 'pre-eclampsia', 'value': 'OTHER'}]"
64,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, delighting audiences, but only ran for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]"
58,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","Allistair Pinsof of ``Destructoid``, enthusiastically praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'PRODUCT'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'PRODUCT'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]"
