index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
28,"It is developed by Golaem, a France -based software company (created in Rennes in 2009).","It is the brainchild of Golaem, a France-based software company (born in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France-based', 'value': 'LOCATION-BASED'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'text': 'Golaem', 'value': 'PERSON'}, {'text': 'France-based', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]"
20,"Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.","Lawrence claims that she was given cash, whereas Stephens claims that he was staring down the barrel of a gun.","[{'text': 'Stephens', 'value': 'PERSON'}]","[{'text': 'Stephens', 'value': 'PERSON'}]","[{'text': 'Lawrence', 'value': 'PERSON'}, {'text': 'Stephens', 'value': 'PERSON'}]","[{'text': 'Lawrence', 'value': 'PERSON'}, {'text': 'Stephens', 'value': 'PERSON'}]"
25,He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,He pulled out all the stops to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'text': 'Receiver Records', 'value': 'ORGANIZATION'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX', 'value': 'ART'}, {'text': 'Receiver', 'value': 'ART'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX', 'value': 'PRODUCT'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]"
30,"Furthermore, the SFO offered to pay reasonable legal costs.","Furthermore, the SFO extended an olive branch to cover reasonable legal costs.","[{'text': 'the SFO', 'value': 'ORGANIZATION'}]","[{'text': 'the SFO', 'value': 'ORGANIZATION'}]","[{'text': 'SFO', 'value': 'OTHER'}]","[{'text': 'SFO', 'value': 'OTHER'}]"
32,"Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","As the 19th century dawned, early communities like Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) started to spring up in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor 's Point"", 'value': 'LOCATION'}, {'text': ""Morgan 's Point"", 'value': 'LOCATION'}]","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor 's Point"", 'value': 'LOCATION'}, {'text': ""Morgan 's Point"", 'value': 'LOCATION'}]","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor 's Point"", 'value': 'LOCATION'}, {'text': ""Morgan 's Point"", 'value': 'LOCATION'}]","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor 's Point"", 'value': 'LOCATION'}, {'text': ""Morgan 's Point"", 'value': 'LOCATION'}]"
22,Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,Nintendo kept the ball rolling with the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's inaugural year.,"[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii model', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii model', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]"
33,"Dorsa has a Bachelor of Music in Composition from California State University, Northridge in 2001, Master of Music in Harpsichord Performance at Cal State Northridge in 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor in 2008.","Dorsa has a Bachelor of Music in Composition from California State University, Northridge under her belt from 2001, a Master of Music in Harpsichord Performance at Cal State Northridge from 2004, and a Doctor of Musical Arts at the University of Michigan, Ann Arbor from 2008.","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University , Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music', 'value': 'OTHER'}, {'text': 'California State University , Northridge', 'value': 'ORGANIZATION'}, {'text': 'Master of Music', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music in Composition', 'value': 'OTHER'}, {'text': 'California State University', 'value': 'ORGANIZATION'}, {'text': 'Northridge', 'value': 'LOCATION'}, {'text': 'Master of Music in Harpsichord Performance', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]","[{'text': 'Dorsa', 'value': 'PERSON'}, {'text': 'Bachelor of Music in Composition', 'value': 'OTHER'}, {'text': 'California State University', 'value': 'ORGANIZATION'}, {'text': 'Northridge', 'value': 'LOCATION'}, {'text': 'Master of Music in Harpsichord Performance', 'value': 'OTHER'}, {'text': 'Cal State Northridge', 'value': 'ORGANIZATION'}, {'text': 'Doctor of Musical Arts', 'value': 'OTHER'}, {'text': 'University of Michigan', 'value': 'ORGANIZATION'}, {'text': 'Ann Arbor', 'value': 'LOCATION'}]"
38,His pupil Vadeebhasimha wrote in prose ``Gayachintamani`` and ``Kshatrachudamini`` based on poet Banas ``Kadambari`` and minister Chavundaraya wrote ``Charitarasara``.,"His pupil Vadeebhasimha, with a stroke of the pen, wrote in prose ``Gayachintamani`` and ``Kshatrachudamini`` inspired by poet Banas' ``Kadambari``, while minister Chavundaraya penned ``Charitarasara``.","[{'text': 'Vadeebhasimha', 'value': 'PERSON'}, {'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'text': 'Banas', 'value': 'PERSON'}, {'text': 'Kadambari', 'value': 'ART'}, {'text': 'Chavundaraya', 'value': 'PERSON'}, {'text': 'Charitarasara', 'value': 'ART'}]","[{'text': 'Vadeebhasimha', 'value': 'PERSON'}, {'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'text': 'Banas', 'value': 'PERSON'}, {'text': 'Kadambari', 'value': 'ART'}, {'text': 'Chavundaraya', 'value': 'PERSON'}, {'text': 'Charitarasara', 'value': 'ART'}]","[{'text': 'Vadeebhasimha', 'value': 'PERSON'}, {'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'text': 'Banas', 'value': 'PERSON'}, {'text': 'Kadambari', 'value': 'ART'}, {'text': 'Chavundaraya', 'value': 'PERSON'}, {'text': 'Charitarasara', 'value': 'ART'}]","[{'text': 'Vadeebhasimha', 'value': 'PERSON'}, {'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'text': 'Banas', 'value': 'PERSON'}, {'text': 'Kadambari', 'value': 'ART'}, {'text': 'Chavundaraya', 'value': 'PERSON'}, {'text': 'Charitarasara', 'value': 'ART'}]"
36,Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,Gonu unleashed a tempest and poured buckets along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan 's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan 's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'PERSON'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'text': 'Gonu', 'value': 'PERSON'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': 'Arabian Sea', 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]"
39,"The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.","The Croal Irwell Regional Park Project Proposal to breathe new life into the land from the heart of Manchester to the West Pennine Moors was unveiled in June 2003 with backing from Salford, Bury and Bolton councils and the Red Rose Forest.","[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'PRODUCT'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'text': 'Croal Irwell Park', 'value': 'LOCATION'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'ORGANIZATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]","[{'text': 'Croal Irwell Park', 'value': 'LOCATION'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'ORGANIZATION'}, {'text': 'Bury', 'value': 'LOCATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'text': 'Red Rose Forest', 'value': 'ORGANIZATION'}]"
