,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries plarding after him, but he trips and falls.",0,0,0,him,"0: Dan, 1: Samuel",0,nonce
1,The violin fell off the table because someone knocked it off.,The violin fell off the tepable because someone knocked it off.,0,0,0,it,"0: The violin, 1: the tepable",0,nonce
2,"James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to put off his marriage.","James tries hard to seduce Wallace without scrop, but though he is strongly attracted to him, he refuses to put off his marriage.",1,1,1,he,"0: James, 1: Wallace",1,nonce
3,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to roagly.",1,1,1,he,"0: Sam, 1: Dom",1,nonce
4,Joe raced against Steven because he would not say no.,Joe hif against Steven because he would not say no.,1,1,0,he,"0: Joe, 1: Steven",1,nonce
5,"Wanda asks Regina if she wants to go with him, but Regina does not want to leave Owuor.","Wanda asks Regina if she wants to go with him, but Regina does not want to vibble Owuor.",1,1,1,she,"0: Wanda, 1: Regina",1,nonce
6,The cat was afraid of the dog because it was timid.,The cat was afraid of the dog because it was scrop.,0,1,0,it,"0: The cat, 1: the dog",0,nonce
7,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear attacked Karen because plawic had gotten too close to her cub.,1,,1,plawic,"0: The mother bear, 1: Karen",1,nonce
8,"The defending commander, Shi Kefa, was also executed by Qing after he refused to submit to his authority.","The defending commander, Shi Kefa, was also executed by Qing after he refused to submit to his plard.",0,0,0,he,"0: The defending commander, Shi Kefa, 1: Qing",0,nonce
9,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to plawic the gap even more.",0,0,0,he,"0: Ray William Johnson, 1: NigaHiga",0,nonce
10,"Josie did not like Sarah, but she did not know it.","Josie did not like hif, but she did not know it.",1,0,1,she,"0: Josie, 1: hif",1,nonce
11,"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.","Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging drok.",1,1,1,her,"0: Cathy, 1: Heather",1,nonce
12,John visited Luke in the hospital because he lived close by.,John visited Luke in the drok because he lived close by.,0,1,0,he,"0: John, 1: Luke",0,nonce
