,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Genre classics are focused on by Back to Basics, with older movies and underground cult films being shown, and with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]",[{'Back to Basics': 'ORGANIZATION'}],"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{""text"": ""Back to Basics"", ""value"": ""PRODUCT""}]",[{'Back to Basics': 'ORGANIZATION'}],
1,"A fortified position was established by Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""DeLancey's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]",[],"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.",[],"[{'Queens County': 'LOCATION'}, {'New York': 'LOCATION'}, {'Richard Hewlett': 'PERSON'}, {""DeLancey's Brigade"": 'ORGANIZATION'}, {'Long Island': 'LOCATION'}, {'Setauket': 'LOCATION'}, {'Long Island Sound': 'LOCATION'}, {'Fairfield': 'LOCATION'}]",
2,"Remixes of ``Like It or Not`` and ``Tearing Me Up`` were featured on the album from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'Like It or Not', 'value': 'ART'}, {'text': 'Tearing Me Up', 'value': 'ART'}, {'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'PERSON'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'PERSON'}]",[],"The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.",[],"[{'Like It or Not': 'ART'}, {'Tearing Me Up': 'ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]",
3,In 1955 an early model of the Boeing B-52 Stratofortress began to be received and upgrades to various models were made over the next 40 years.,"[{'text': 'Boeing B-52', 'value': 'PRODUCT'}]",[{'Boeing B-52 Stratofortress': 'PRODUCT'}],In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{""text"": ""Boeing B-52 Stratofortress"", ""value"": ""PRODUCT""}]",[{'Boeing B-52': 'PRODUCT'}],
4,"The game was praised by Allistair Pinsof of ``Destructoid``, who said the controls were as good as those of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]",
5,"However, in 1861 the obstacle to political change was removed by the prospect of secession by southern states after the 1860 presidential election.",[],[],"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.",[],[],
6,"According to Steak' n Shake archives, a trademark on the word was applied for by the restaurant's founder, Gus Belt, in the 1930s.","[{'text': ""Steak' n Shake"", 'value': 'ART'}, {'text': 'Gus Belt', 'value': 'PERSON'}]","[{""Steak' n Shake"": 'ORGANIZATION'}, {'Gus Belt': 'PERSON'}]","According to Steak' n Shake archives, the restaurant's founder, Gus Belt, applied for a trademark on the word in the 1930s.","[{""text"": ""Steak' n Shake"", ""value"": ""ORGANIZATION""}, {""text"": ""Gus Belt"", ""value"": ""PERSON""}]","[{""Steak' n Shake"": 'ART'}, {'Gus Belt': 'PERSON'}]",
7,Several features from a batch of A1 Pacifics that had been built in 1924 were used.,"[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]",[{'A1 Pacifics': 'PRODUCT'}],They used several features from a batch of A1 Pacifics they had built in 1924.,"[{""text"": ""A1 Pacifics"", ""value"": ""PRODUCT""}]",[{'A1 Pacifics': 'PRODUCT'}],
8,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but was only run for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]",[{'Martin Beck Theater': 'BUILDING'}],"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.","[{""text"": ""Martin Beck Theater"", ""value"": ""BUILDING""}]",[{'Martin Beck Theater': 'BUILDING'}],
9,An unsuccessful run for the United States House of Representatives from upstate New York was made by her brother in 1992 and 1994.,"[{'text': 'United States House of Representatives', 'value': 'ORGANIZATION'}, {'text': 'New York', 'value': 'LOCATION'}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{""text"": ""United States House of Representatives"", ""value"": ""ORGANIZATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]",
