model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
llama,concept_replacement,97.000,95.000,-2.062,-1.987,0.157,ns,False
claude-3-5-sonnet,singlish,82.075,82.075,0.000,0.000,1.000,ns,False
llama,negation,94.000,64.000,-31.915,-29.597,0.000,**,True
llama,temporal_bias,92.000,91.000,-1.087,-0.982,0.317,ns,False
gpt4o,coordinating_conjunction,95.000,93.000,-2.105,-1.978,0.414,ns,False
llama,grammatical_role,95.588,86.765,-9.231,-8.737,0.034,*,True
gpt4o,grammatical_role,91.176,79.412,-12.903,-11.529,0.033,*,True
llama,discourse,95.402,91.954,-3.614,-3.413,0.083,.,False
llama,coordinating_conjunction,99.000,97.000,-2.020,-1.996,0.157,ns,False
claude-3-5-sonnet,geographical_bias,90.217,90.217,0.000,0.000,1.000,ns,False
llama,geographical_bias,91.304,85.870,-5.952,-5.327,0.132,ns,False
gpt4o,geographical_bias,90.217,88.043,-2.410,-2.125,0.564,ns,False
claude-3-5-sonnet,discourse,94.253,94.253,0.000,0.000,1.000,ns,False
gpt4o,capitalization,90.625,91.667,1.149,1.019,0.564,ns,False
claude-3-5-sonnet,concept_replacement,94.000,95.000,1.064,0.987,0.705,ns,False
llama,punctuation,91.000,90.000,-1.099,-0.980,0.317,ns,False
llama,length_bias,92.000,91.000,-1.087,-0.982,0.317,ns,False
llama,capitalization,95.833,95.833,0.000,0.000,1.000,ns,False
gpt4o,discourse,88.506,89.655,1.299,1.119,0.564,ns,False
claude-3-5-sonnet,active_to_passive,95.000,93.000,-2.105,-1.978,0.157,ns,False
gpt4o,casual,94.000,94.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,capitalization,96.875,96.875,0.000,0.000,1.000,ns,False
llama,singlish,77.358,81.132,4.878,3.563,0.157,ns,False
claude-3-5-sonnet,negation,94.000,70.000,-25.532,-23.678,0.000,**,True
llama,active_to_passive,94.000,95.000,1.064,0.987,0.564,ns,False
claude-3-5-sonnet,grammatical_role,95.588,94.118,-1.538,-1.456,0.655,ns,False
llama,compound_word,90.000,91.000,1.111,0.977,0.317,ns,False
gpt4o,active_to_passive,88.000,87.000,-1.136,-0.972,0.705,ns,False
gpt4o,derivation,96.774,92.473,-4.444,-4.270,0.046,*,True
llama,dialectal,94.000,93.000,-1.064,-0.987,0.564,ns,False
gpt4o,singlish,83.962,80.189,-4.494,-3.630,0.248,ns,False
llama,typo_bias,95.000,93.000,-2.105,-1.978,0.157,ns,False
gpt4o,temporal_bias,90.000,92.000,2.222,1.954,0.157,ns,False
claude-3-5-sonnet,punctuation,97.000,96.000,-1.031,-0.993,0.564,ns,False
claude-3-5-sonnet,length_bias,92.000,96.000,4.348,3.928,0.102,ns,False
claude-3-5-sonnet,temporal_bias,91.000,94.000,3.297,2.939,0.180,ns,False
claude-3-5-sonnet,typo_bias,97.000,96.000,-1.031,-0.993,0.564,ns,False
gpt4o,sentiment,91.000,92.000,1.099,0.980,0.705,ns,False
claude-3-5-sonnet,dialectal,94.000,90.000,-4.255,-3.946,0.248,ns,False
gpt4o,punctuation,90.000,91.000,1.111,0.977,0.564,ns,False
gpt4o,length_bias,92.000,92.000,0.000,0.000,1.000,ns,False
gpt4o,dialectal,89.000,88.000,-1.124,-0.975,0.739,ns,False
llama,casual,97.000,95.000,-2.062,-1.987,0.157,ns,False
gpt4o,typo_bias,92.000,92.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,sentiment,97.000,95.000,-2.062,-1.987,0.414,ns,False
claude-3-5-sonnet,coordinating_conjunction,96.000,95.000,-1.042,-0.991,0.317,ns,False
llama,derivation,96.774,95.699,-1.111,-1.068,0.317,ns,False
claude-3-5-sonnet,compound_word,94.000,95.000,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,casual,98.000,98.000,0.000,0.000,1.000,ns,False
gpt4o,negation,89.000,70.000,-21.348,-18.519,0.001,**,True
gpt4o,concept_replacement,89.000,89.000,0.000,0.000,1.000,ns,False
gpt4o,compound_word,96.000,94.000,-2.083,-1.982,0.317,ns,False
llama,sentiment,96.000,92.000,-4.167,-3.965,0.046,*,True
claude-3-5-sonnet,derivation,94.624,97.849,3.409,3.187,0.180,ns,False
