,text,modified_label,modified_pred,original_label,original_text,original_pred
0,"As the two leads, Lathan and Diggs are seen as charming and are perceived to have chemistry both as friends and lovers.",1,1,1,"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.",1
1,A story of interest with a message that is pertinent (cinematically unique) was told fairly well and scored to perfection; it was found by me that there was a struggle to put my finger on that elusive'missing thing.',1,1,1,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",1
2,A literate presentation that is wonderfully woven from a murderous event in 1873 with murderous rage in 2002.,1,1,1,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,1
3,At least one scene is so disgusting that it may be hard for viewers to be pressed hard enough to retain their lunch.,0,0,0,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0
4,A compliment is being given to Kuras and Miller.,1,1,1,that is a compliment to kuras and miller.,1
5,The character of Zigzag is not developed sufficiently for a film to be constructed around him.,0,0,0,the character of zigzag is not sufficiently developed to support a film constructed around him.,0
6,Too much of it is felt to be unfocused and underdeveloped.,0,0,0,too much of it feels unfocused and underdeveloped.,0
7,"Thanks to Scott's charismatic portrayal of Roger and Eisenberg's portrayal of the sweet nephew, Roger Dodger is considered to be one of the most compelling variations on'In the Company of Men'.",1,1,1,"thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men.",1
8,"The quality of it is reminiscent of a lesser Harrison Ford movie - perhaps Six Days, Seven Nights, or that dreadful Sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0
9,A sequence of shoot -'em - up scenes that are ridiculous.,0,0,0,a sequence of ridiculous shoot - 'em - up scenes.,0
10,"Our preconceived vision of the holy land and its inhabitants is transcended by this illuminating documentary, revealing the human complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1
11,This isn't even swept away by Madonna.,0,0,0,this isn't even madonna's swept away.,0
12,Our substantial collective fear of nuclear holocaust is exploited by K-19 to generate cheap Hollywood tension.,0,0,0,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,0
13,"Movie fans, be ready to be taken off... in the other direction.",0,0,0,"movie fans, get ready to take off... the other direction.",0
14,The end result is a film that is neither admired nor enjoyed.,0,0,0,the end result is a film that's neither.,0
15,"The entertaining film by Charles is chronicled, which follows Seinfeld's return to stand-up comedy after his legendary sitcom wrapped up, alongside the attempts by wannabe comic Adams to get his shot at the big time.",1,1,1,"charles ' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.",1
16,"Good, lively company is provided for entertainment.",1,1,1,"entertains by providing good, lively company.",1
17,"A picture that is very well-made, funny, and entertaining.",1,1,1,"a very well-made, funny and entertaining picture.",1
18,"It is played in the most straight-faced fashion, with little humor being used to lighten things up.",0,0,0,"it's played in the most straight-faced fashion, with little humor to lighten things up.",0
19,"No sophomore slump is experienced by director Sam Mendes, who is segued from Oscar winner to Oscar-winning potential with a smooth sleight of hand.",1,1,1,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.",1
20,Fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight is confirmed by it.,1,1,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1
21,"Oh, it is insisted upon.",0,0,0,oh come on.,0
22,"A film that is warm, funny, and engaging.",1,1,1,"a warm, funny, engaging film.",1
23,"Visually considered rather stunning, but ultimately a handsome-looking bore, it would have been true creativity to have Treasure Planet entirely hidden and completely reimagined.",0,0,0,"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.",0
24,The draw (for'Big Bad Love') is characterized by a solid performance that is given by Arliss Howard.,1,1,1,the draw (for `` big bad love '') is a solid performance by arliss howard.,1
25,Moretti's anatomy of grief and the difficult process of adapting to loss are presented compellingly.,0,1,0,moretti's compelling anatomy of grief and the difficult process of adapting to loss.,0
26,It is bet that the video game is a lot more fun than the film.,0,1,0,i'll bet the video game is a lot more fun than the film.,0
27,"The intensity of the film is kept high by the vitality of the actors, even as the strafings are blended together.",1,1,1,"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.",1
28,Is coughed and sputtered on by its own postmodern conceit.,0,0,0,coughs and sputters on its own postmodern conceit.,0
29,"Among the year's explorations of alienation, this is considered one of the most intriguing.",1,1,1,among the year's most intriguing explorations of alientation.,1
30,The ability of LaPaglia to convey grief and hope is worked with by Weaver's sensitive reactions to make this a master class of two actors.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
31,"This film might be loved by outer-space buffs, but its pleasures will be found intermittent by others.",0,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",0
32,Found enormously entertaining by moviegoers of any age.,1,1,1,enormously entertaining for moviegoers of any age.,1
33,Too much time is spent by Villeneuve wallowing in Bibi's generic angst (there are a lot of shots of her being gazed out of windows).,0,0,0,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,0
34,"Belief in itself is not present, a sense of humor is absent... it is just made plain bored.",0,0,0,"it doesn't believe in itself, it has no sense of humor... it's just plain bored.",0
35,It is considered a stunning lyrical work of considerable force and truth.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1
36,"and when a slapstick comedy is being talked about, that's a pretty big problem.",0,0,0,"and when you're talking about a slapstick comedy, that's a pretty big problem.",0
