,text,pronoun,candidate,rationale,label,pred
0,The sniper shot the terrorist because he was a bad guy.,he,"0: The sniper, 1: the terrorist, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The sniper."" The sentence states that ""The sniper shot the terrorist because he was a bad guy,"" indicating that the pronoun ""he"" is referring to the sniper.",1,0
1,The sniper shot the terrorist because he had orders.,he,"0: The sniper, 1: the terrorist, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The sniper"". The sentence states that the sniper took the action of shooting because he had orders. Therefore, the pronoun ""he"" refers to the sniper.",0,0
2,The chimpanzee could not use Linux because it was an animal.,it,"0: The chimpanzee, 1: Linux, 2: Neither","The pronoun ""it"" in the given sentence refers to the subject of the sentence, which is ""The chimpanzee"". The sentence states that the chimpanzee could not use Linux because it was an animal, implying that ""it"" is the chimpanzee.",0,0
3,The chimpanzee could not use Linux because it uses different commands than Windows.,it,"0: The chimpanzee, 1: Linux, 2: Neither","The pronoun ""it"" in the given sentence refers to the subject of the sentence, which is ""The chimpanzee"". The sentence states that the chimpanzee cannot use Linux because it uses different commands than Windows. Therefore, the pronoun ""it"" refers to ""The chimpanzee"".",1,0
4,Bill punched Bob in the face because he was being rude to Mary.,he,"0: Bill, 1: Bob, 2: Neither","The pronoun ""he"" in the sentence refers to the subject who was being rude to Mary. The subject of the sentence is ""Bill,"" who is also the one who punched Bob. Therefore, the pronoun ""he"" refers to ""Bill.""",1,0
5,Bill punched Bob in the face because he wanted to protect Mary.,he,"0: Bill, 1: Bob, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is the one performing the action. In this case, ""he"" is the one who punched Bob. Therefore, ""he"" refers to Bill.",0,0
6,"Carl borrowed a book from Richard, but the book was never returned to him.",him,"0: Carl, 1: Richard, 2: Neither","The pronoun ""him"" in the sentence refers to the person who was supposed to receive the book back. Since Carl borrowed the book from Richard, it is expected that Carl would return the book to Richard. Therefore, the pronoun ""him"" refers to Richard.",1,1
7,"Carl borrowed a book from Richard, but the book was unreadable to him.",him,"0: Carl, 1: Richard, 2: Neither","The pronoun ""him"" refers to the subject who found the book unreadable. In the given text, Carl borrowed the book from Richard, and it was Carl who found the book unreadable. Therefore, the pronoun ""him"" refers to Carl.",0,0
8,Bill likes to play with Bob because he loves playing.,he,"0: Bill, 1: Bob, 2: Neither","The pronoun ""he"" in the sentence refers to the subject of the sentence, which is ""Bill."" The sentence states that ""Bill likes to play with Bob because he loves playing."" Here, ""he"" is used to refer back to the subject ""Bill,"" indicating that it is Bill who loves playing.",0,0
9,Bill likes to play with Bob but he did not want to.,he,"0: Bill, 1: Bob, 2: Neither","The pronoun ""he"" in the sentence refers to the subject of the main clause, which is ""Bill"". Although the sentence mentions that Bill likes to play with Bob, the pronoun ""he"" is used to indicate that it is Bill who did not want to play.",1,0
10,The salesperson told Dave that this would be the best car he ever bought.,he,"0: The salesperson, 1: Dave, 2: Neither","The pronoun ""he"" in this context refers to the person who is buying the car. The salesperson is the one who is selling the car, not buying it. Therefore, the pronoun ""he"" refers to Dave, who is the one buying the car.",1,1
11,The salesperson told Dave that this would be the best car he ever sold.,he,"0: The salesperson, 1: Dave, 2: Neither","The pronoun ""he"" in this context refers to the salesperson, as the salesperson is the one performing the action of selling the car.",0,0
12,The student wanted to ask the professor for help but decided not to because he was too scared.,he,"0: The student, 1: the professor, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The student"". The student is the one who was too scared to ask the professor for help.",0,0
13,The student wanted to ask the professor for help but decided not to because he was too intimidating.,he,"0: The student, 1: the professor, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The student"". The sentence states that the student decided not to ask the professor for help because he (the student) was too intimidated. Therefore, the pronoun ""he"" refers to the student.",1,0
14,The student couldn't understand the teacher because he had an accent.,he,"0: The student, 1: the teacher, 2: Neither","The pronoun ""he"" refers to the subject of the sentence who couldn't understand, which is ""The student"".",1,0
15,The student couldn't understand the teacher because he wasn't paying attention.,he,"0: The student, 1: the teacher, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The student"". The sentence states that the student couldn't understand the teacher, implying that the student is the one who wasn't paying attention.",0,0
16,The campers turned on their flashlights because it was dark without them.,them,"0: The campers, 1: their flashlights, 2: Neither","The pronoun ""them"" in this context refers to the flashlights that the campers turned on. However, the question asks for the reference of the pronoun in relation to the candidates provided. The candidates are ""The campers"" and ""their flashlights"". The pronoun ""them"" is used to refer back to the flashlights that the campers turned on, not the campers themselves. Therefore, the pronoun ""them"" refers to the candidate ""1: their flashlights"".",1,1
17,The campers turned on their flashlights because the darkness scared them.,them,"0: The campers, 1: their flashlights, 2: Neither","The pronoun ""them"" refers to the campers because the campers are the ones who are scared of the darkness. The flashlights are inanimate objects and cannot feel scared.",0,0
18,Francis stopped and looked at the penguin because he was intrigued.,he,"0: Francis, 1: the penguin, 2: Neither","The pronoun ""he"" refers to Francis because the sentence states that Francis was intrigued by the penguin.",0,0
19,Francis stopped and looked at the penguin because he was cute.,he,"0: Francis, 1: the penguin, 2: Neither","The pronoun ""he"" refers to Francis because the sentence states that Francis stopped and looked at the penguin, and the reason given for his action is that ""he"" was cute. Since Francis is the only male entity in the sentence, it can be inferred that ""he"" refers to Francis.",1,0
20,The off-campus apartments were preferred to the on-campus apartments because they were cheaper.,they,"0: The off-campus apartments, 1: the on-campus apartments, 2: Neither","The pronoun ""they"" in the given sentence refers to the off-campus apartments. This is because the sentence states that the off-campus apartments were preferred due to their cheaper cost, and the pronoun ""they"" is used to refer back to the off-campus apartments in this context.",0,0
21,The off-campus apartments were preferred to the on-campus apartments because they were more expensive.,they,"0: The off-campus apartments, 1: the on-campus apartments, 2: Neither","The pronoun ""they"" in the given sentence refers to the off-campus apartments. This is because the sentence states that the off-campus apartments were preferred because they were more expensive. The comparison is being made between the off-campus apartments and the on-campus apartments, and the pronoun ""they"" is used to refer back to the off-campus apartments.",1,0
22,The general fired his pistol at the monster so he could be a distraction.,he,"0: The general, 1: the monster, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""The general"". The general is the one who fired his pistol, and the action was done so that he could be a distraction. Therefore, the pronoun ""he"" refers to the general.",0,0
23,The general fired his pistol at the monster so he turned and looked.,he,"0: The general, 1: the monster, 2: Neither","The pronoun ""he"" in this context refers to the subject of the sentence, which is ""The general"". The general is the one who fired his pistol, and the action of turning and looking is a response to that action. Therefore, the pronoun ""he"" refers to the general.",1,0
24,Liverpool lost to Manchester United because they had been mismanaged all season.,they,"0: Liverpool, 1: Manchester United, 2: Neither","The pronoun ""they"" in the given sentence refers to the team that had been mismanaged all season, which led to their loss. The only team mentioned as having lost the match is Liverpool. Therefore, it can be inferred that the pronoun ""they"" refers to Liverpool.",0,0
25,Liverpool lost to Manchester United because they were a superior team.,they,"0: Liverpool, 1: Manchester United, 2: Neither","The pronoun ""they"" in the given sentence refers to the team that was superior, which is Manchester United. This is because the sentence states that Liverpool lost to Manchester United because ""they"" were a superior team.",1,1
26,"Rice beat Texas, even though they were a smaller school.",they,"0: Rice, 1: Texas, 2: Neither","The pronoun ""they"" refers to the subject of the sentence, which is ""Rice."" The sentence states that ""Rice beat Texas,"" and then uses ""they"" to refer back to the subject. Therefore, ""they"" refers to Rice.",0,0
27,"Rice beat Texas, even though they were the best team in the nation.",they,"0: Rice, 1: Texas, 2: Neither","The pronoun ""they"" refers to the team that was considered the best in the nation. According to the text, Texas was the best team in the nation. Therefore, the pronoun ""they"" refers to Texas.",1,1
28,The state executes prisoners because they want justice.,they,"0: The state, 1: prisoners, 2: Neither","The pronoun ""they"" in this context refers to the subject of the sentence, which is ""The state"". The state is the entity that executes prisoners, and it is the state that wants justice. Therefore, the pronoun ""they"" refers to the state.",0,0
29,The state executes prisoners because they were convicted of heinous crimes.,they,"0: The state, 1: prisoners, 2: Neither","The pronoun ""they"" in this context refers to the ""prisoners"" who were convicted of heinous crimes. The state is the entity that executes prisoners, but the pronoun ""they"" is used to refer to the ones who were convicted, which are the prisoners.",1,1
30,"Jason built Rocky a robot, and he gave it to him.",he,"0: Jason, 1: Rocky, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is Jason. Jason is the one who built the robot and gave it to Rocky.",0,0
31,"Jason built Rocky a robot, so he had more free time.",he,"0: Jason, 1: Rocky, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is Jason. Jason is the one who built the robot for Rocky, so it is Jason who would have more free time as a result.",1,0
32,My heart pumps blood because it is liquid.,it,"0: My heart, 1: blood, 2: Neither","The pronoun ""it"" in this context refers to the subject of the sentence, which is ""My heart"". The sentence states that ""My heart pumps blood because it is liquid"", where ""it"" is used to avoid repeating the subject ""My heart"". Therefore, the pronoun ""it"" refers to ""My heart"".",1,0
33,My heart pumps blood because it is a muscle.,it,"0: My heart, 1: blood, 2: Neither","The pronoun ""it"" in the given sentence refers to ""My heart"". This is because the sentence states that ""My heart pumps blood because it is a muscle."" Here, ""it"" is used to refer back to the subject of the sentence, which is ""My heart"".",0,0
34,Joe smells better than Adam since he showers regularly.,he,"0: Joe, 1: Adam, 2: Neither","The pronoun ""he"" refers to the subject who showers regularly and smells better. In the given text, Joe is the one who showers regularly and smells better than Adam. Therefore, the pronoun ""he"" refers to Joe.",0,0
35,Joe smells better than Adam since he hardly ever showers.,he,"0: Joe, 1: Adam, 2: Neither","The pronoun ""he"" refers to the subject who ""hardly ever showers,"" which is the cause of the comparison in smell. In the sentence, Joe is said to smell better than Adam. Therefore, the pronoun ""he"" must refer to Adam, as it would not make sense for Joe to smell better than himself due to his own lack of hygiene.",1,1
36,The pen is mightier than the sword because it can only stab things.,it,"0: The pen, 1: the sword, 2: Neither","The pronoun ""it"" in the given sentence refers to the subject of the sentence, which is ""The pen"". The sentence compares the pen and the sword, stating that the pen is mightier because it (the pen) can only stab things. Therefore, the pronoun ""it"" refers to the candidate ""0: The pen"".",1,0
37,The pen is mightier than the sword because it can be used to write world-changing documents.,it,"0: The pen, 1: the sword, 2: Neither","The pronoun ""it"" in the given sentence refers to the subject of the sentence, which is ""The pen"". The sentence states that the pen is mightier than the sword because it (the pen) can be used to write world-changing documents. Therefore, the pronoun ""it"" is referring to the pen.",0,0
38,The cats attacked the humans because they were feral.,they,"0: The cats, 1: the humans, 2: Neither","The pronoun ""they"" in the given sentence refers to the subject of the sentence, which is ""The cats"". The cats are the ones who attacked the humans, and the reason for their attack is that they were feral. Therefore, the pronoun ""they"" refers to the cats.",0,0
39,The cats attacked the humans because they smelled like fish.,they,"0: The cats, 1: the humans, 2: Neither","The pronoun ""they"" in this context refers to the subject of the sentence, which is ""The cats"". The cats are the ones who attacked the humans because they smelled like fish.",1,0
40,Bob can beat Larry at arm wrestling because he has more muscles.,he,"0: Bob, 1: Larry, 2: Neither","The pronoun ""he"" refers to the subject who has more muscles and can beat Larry at arm wrestling. The subject is mentioned as Bob in the sentence. Therefore, the pronoun ""he"" refers to Bob.",0,0
41,Bob can beat Larry at arm wrestling because he is a toddler.,he,"0: Bob, 1: Larry, 2: Neither","The pronoun ""he"" refers to Larry because the sentence states that Bob can beat Larry at arm wrestling due to Larry being a toddler. The pronoun ""he"" is used to refer to Larry in this context.",1,1
42,Donald kicked King but he never cried.,he,"0: Donald, 1: King, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""Donald"". The sentence states that Donald kicked King, but he (Donald) never cried.",1,0
43,Donald kicked King but he never felt bad.,he,"0: Donald, 1: King, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""Donald"". The sentence states that Donald kicked King, and it was Donald who never felt bad.",0,0
44,Steve went to the meeting with John because he was asked to.,he,"0: Steve, 1: John, 2: Neither","The pronoun ""he"" refers to the subject of the sentence, which is ""Steve"". The sentence states that Steve went to the meeting with John because he (Steve) was asked to.",0,0
45,Steve went to the meeting with John because he asked him to.,he,"0: Steve, 1: John, 2: Neither","The pronoun ""he"" refers to the person who asked someone to go to the meeting. In this context, ""he"" is referring to John, as he is the one who asked Steve to go to the meeting.",1,1
46,Mary gave Sandy her book because she needed it.,she,"0: Mary, 1: Sandy, 2: Neither","The pronoun ""she"" in the sentence refers to Sandy because the sentence states that Sandy needed the book.",1,1
47,Mary gave Sandy her book because she is generous.,she,"0: Mary, 1: Sandy, 2: Neither","The pronoun ""she"" refers to the subject of the sentence, which is ""Mary."" The sentence states that Mary gave Sandy her book because she (Mary) is generous. Therefore, the pronoun ""she"" refers to Mary.",0,0
48,John visited Luke in the hospital because he was sick.,he,"0: John, 1: Luke, 2: Neither","The pronoun ""he"" in the sentence refers to the subject who was visiting someone in the hospital. The subject of the sentence is ""John,"" and the sentence states that John visited Luke because he (John) was sick. Therefore, the pronoun ""he"" refers to John.",1,0
49,John visited Luke in the hospital because he lived close by.,he,"0: John, 1: Luke, 2: Neither","The pronoun ""he"" in the sentence refers to the one who lived close by. Since the sentence states that John visited Luke because he (John) lived close by, it can be inferred that the pronoun ""he"" refers to John.",0,0
50,John hired Bill because he needed someone.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" in the sentence refers to the subject who needed someone. The subject of the sentence is ""John"", not ""Bill"". Therefore, the pronoun ""he"" refers to ""John"".",0,0
51,John fired Bill because he was incompetent.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" in the sentence refers to the subject who performed the action of firing, which is John. Therefore, the pronoun ""he"" refers to John.",1,0
52,John introduced Bill because he knew everyone.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" refers to the subject who introduced Bill, which is John. The phrase ""he knew everyone"" indicates that John is the one who has the familiarity with everyone.",0,0
53,John introduced Bill because he was new.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" refers to the person who was new, which in this context is Bill. This is because the sentence states that John introduced Bill because he (Bill) was new.",1,1
54,John shot Bill and he was jailed.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" refers to the subject of the sentence who performed the action of shooting. In this case, the subject is ""John"". Therefore, the pronoun ""he"" refers to ""John"".",0,0
55,John shot Bill and he died.,he,"0: John, 1: Bill, 2: Neither","The pronoun ""he"" refers to the subject who died, which is Bill. In the sentence, John is the subject who performed the action of shooting, while Bill is the object who was shot and subsequently died. Therefore, the pronoun ""he"" refers to Bill.",1,1
56,"The Mad Hatter tried to offer a cup of tea to the March Hare, but his hat was too distracting.",his,"0: The Mad Hatter, 1: the March Hare, 2: Neither","The pronoun ""his"" refers to the possessive form of ""he,"" which in this context is referring to the subject of the sentence, ""The Mad Hatter."" The action of trying to offer a cup of tea is attributed to the Mad Hatter, and the hat being distracting is also associated with him. Therefore, the pronoun ""his"" refers to the Mad Hatter.",0,0
57,"The Mad Hatter tried to offer a cup of tea to the March Hare, but his long ears were too distracting.",his,"0: The Mad Hatter, 1: the March Hare, 2: Neither","The pronoun ""his"" refers to the possessive form of ""he"". In the given text, ""his"" is used in reference to the long ears. The only male character mentioned in the context of having long ears is the March Hare. Therefore, it can be inferred that ""his"" refers to the March Hare.",1,1
58,Richard blackmailed Senator Carson so that his silence would be secured.,his,"0: Richard, 1: Senator Carson, 2: Neither","The pronoun ""his"" refers to the person whose silence is being secured. In the given context, Richard is the one who blackmailed Senator Carson to secure his (Richard's) silence. Therefore, the pronoun ""his"" refers to Richard.",1,0
59,Richard blackmailed Senator Carson so that his rise to power would be secured.,his,"0: Richard, 1: Senator Carson, 2: Neither","The pronoun ""his"" refers to the subject of the sentence, which is ""Richard."" The sentence states that Richard blackmailed Senator Carson to secure his own rise to power. Therefore, the pronoun ""his"" refers to Richard.",0,0
60,"Tradition dictated the captain hold the Stanley Cup first, and it was pretty.",it,"0: Tradition, 1: the Stanley Cup, 2: Neither","The pronoun ""it"" in this context refers to the Stanley Cup, as the sentence mentions that the Stanley Cup is pretty, and the pronoun ""it"" is used to avoid repetition.",1,1
