,sentence,pronoun,candidate,rationale,label,pred
0,The Russian mob figured they'd kick out some of the small-time guys to keep things super hush-hush.,they'd,"0: The Russian mob, 1: small-time guys, 2: Neither","The pronoun ""they'd"" is a contraction of ""they would,"" which refers to a group that is making a decision or taking an action. In the sentence, ""The Russian mob figured they'd kick out some of the small-time guys,"" the group making the decision to kick out others is ""The Russian mob."" Therefore, ""they'd"" refers to ""The Russian mob.""",0,0
1,"Sam shows up and tries to chat with Dom again, but he's not up for it and tells him to get lost.",he's,"0: Sam, 1: Dom, 2: Neither","The sentence describes a situation where Sam tries to chat with Dom, but ""he's not up for it"" and tells ""him"" to get lost. The pronoun ""he's"" refers to the person who is not up for chatting and tells the other to get lost. Since Sam is the one initiating the chat, it is Dom who is not up for it and tells Sam to get lost. Therefore, ""he's"" refers to Dom.",1,1
2,"Krishna was cool with it and let Rukmi go, but not without shaving his head first to show he got beat.",his,"0: Krishna, 1: Rukmi, 2: Neither","The pronoun ""his"" in the sentence ""but not without shaving his head first to show he got beat"" refers to the person whose head was shaved as a sign of defeat. In the context, Krishna is the one who let Rukmi go, and it is implied that Rukmi was the one who got defeated. Therefore, ""his"" refers to Rukmi.",1,1
3,James Cameron's flicks totally crush Michael Bay's'cause they rake in more cash all over the globe.,his,"0: James Cameron, 1: Michael Bay, 2: Neither","The pronoun ""his"" in the sentence refers to the person whose movies ""rake in more cash all over the globe."" The sentence states that ""James Cameron's flicks totally crush Michael Bay's,"" indicating that James Cameron's movies are more successful financially. Therefore, ""his"" refers to James Cameron.",0,0
4,"Sam can't stand Carl, telling Bandini if he wants to get on his good side, he's gotta be mean to him.",he's,"0: Sam, 1: Carl, 2: Neither","The sentence indicates that Sam is telling Bandini how to get on his good side. The pronoun ""he's"" in ""he's gotta be mean to him"" refers to Bandini, who is not listed as a candidate. Therefore, the pronoun ""he's"" does not refer to either Sam or Carl.",1,2
5,"Kelly forgot to mention to Katie about the rent being due, but she gave her a heads-up later.",she,"0: Kelly, 1: Katie, 2: Neither","The sentence states that ""Kelly forgot to mention to Katie about the rent being due, but she gave her a heads-up later."" The pronoun ""she"" is used to indicate the person who gave the heads-up. Since Kelly is the one who initially forgot to mention the rent, it makes sense that she would be the one to later give the heads-up. Therefore, ""she"" refers to Kelly.",0,0
6,The MPs tossed the new soldiers into the brig'cause they were making a ruckus in the town next door.,they,"0: The MPs, 1: the new soldiers, 2: Neither","The pronoun ""they"" refers to the group that was making a ruckus in the town next door. In the sentence, it is stated that the MPs tossed the new soldiers into the brig because they were making a ruckus. This implies that ""they"" refers to the new soldiers, as they are the ones causing the disturbance, which is the reason for their being tossed into the brig.",1,1
7,The campers flicked on their flashlights'cause it was too dark without'em.,'em,"0: The campers, 1: their flashlights, 2: Neither","The pronoun ""'em"" is a colloquial contraction of ""them,"" which refers to an object or objects previously mentioned. In this context, ""'em"" refers to ""their flashlights"" because the sentence indicates that the campers needed the flashlights to see in the dark. Therefore, the pronoun ""'em"" is referring to the flashlights.",1,1
8,The campers flicked on their flashlights'cause it was too dark without'em.,'em,"0: The campers, 1: their flashlights, 2: Neither","The pronoun ""'em"" is a colloquial contraction of ""them,"" which refers to an object or objects previously mentioned. In this context, ""'em"" refers to ""their flashlights"" because the sentence indicates that the campers turned on their flashlights because it was too dark without them. The pronoun is used to refer to the flashlights, not the campers themselves.",1,1
9,The bat smacked the ball'cause it's made for that.,it,"0: The bat, 1: the ball, 2: Neither","The pronoun ""it"" in the sentence ""The bat smacked the ball 'cause it's made for that"" refers to the object that is made for smacking the ball. In this context, the bat is the object designed for hitting the ball, so ""it"" refers to ""the bat.""",1,0
