,text,modified_label,modified_pred,original_label,original_text,original_pred
0,"escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist film-making.",1,1,1,"escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist movie.",1
1,"a fast-paced, funny, highly enjoyable movie.",1,1,1,"a fast, funny, highly enjoyable movie.",1
2,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs into an out-of-control whirlwind, while focusing on the what much more than the why.",1,0,1,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs out of control, while focusing on the what much more than the why.",0
3,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg-timer for 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0
4,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than placeholders in a screenplay.,0,0,0,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,0
5,"the far-off future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1,1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1
6,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an all-consuming obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1
7,"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked belly-laughter, without following up on a deeper level.",0,0,0,"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0
8,I'll bet the video game is a lot more fun-filled than the film.,0,1,0,i'll bet the video game is a lot more fun than the film.,1
9,"this eye-opening documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1
10,"like leon, it's frustrating and still oddly likeable-ish.",1,0,1,"like leon, it's frustrating and still oddly likable.",1
11,` de niro... is a veritable powerhouse of sincere passion that this hollywood contrivance orbits around.',1,1,1,` de niro... is a veritable source of sincere passion that this hollywood contrivance orbits around. ',1
12,"the vitality of the actors keeps the high-octane intensity of the film high, even as the strafings blend together.",1,1,1,"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.",1
13,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-worthy potential with a smooth sleight-of-hand.",1,1,1,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.",1
14,no screen fantasy-adventure in recent memory has the show-stopping showmanship of clones' last 45 minutes.,1,1,1,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,1
15,lapaglia's ability to convey heart-wrenching grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
16,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun-filled entertainment.",1,1,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1
17,detox is ultimately a half-baked endeavor.,0,0,0,detox is ultimately a pointless endeavor.,0
18,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and overdone to death.",0,0,0,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.",0
19,"too often, the viewer isn't reacting to humor so much as they are wincing back in gut-wrenching repugnance.",0,0,0,"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.",0
20,people-oriented cinema at its finest.,1,1,1,people cinema at its finest.,1
21,"seldahl's barbara is a precise and heart-moving portrait of someone whose world is turned upside down, first by passion and then by illness.",1,1,1,"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.",1
22,"and when you're talking about a slapstick screwball comedy, that's a pretty big problem.",0,0,0,"and when you're talking about a slapstick comedy, that's a pretty big problem.",0
23,"thekids will probably stay amused at the kaleidoscope of big, colorful larger-than-life characters.",1,1,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1
24,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood-style tension.,0,0,0,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,0
25,no one but a convict guilty of some truly heinous crime should have to sit through the master of over-disguise.,0,0,0,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0
26,"oscar wilde's masterpiece, the importance of being earnest, may be the best playwriting of the 19th century.",1,1,1,"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.",1
27,not an objectionable or lacklustre film; it merely lacks everything except good intentions.,0,0,0,not an objectionable or dull film; it merely lacks everything except good intentions.,0
28,"it takes a strange kind of laziness to waste the multi-talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0
29,a grimly competent and stolid and earnest military courtroom nail-biter drama.,1,1,1,a grimly competent and stolid and earnest military courtroom drama.,0
30,"deliriously funny, fast-paced and loose, accessible to the uninitiated, and full of surprises",1,1,1,"deliriously funny, fast and loose, accessible to the uninitiated, and full of surprises",1
31,indifferently implausible popcorn-muncher programmer of a movie.,0,0,0,indifferently implausible popcorn programmer of a movie.,0
32,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering self-importance.",1,0,1,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.",0
33,"this is the sort of burly action-packed flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.",0,0,0,"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.",0
34,"a very well-crafted, funny and entertaining picture.",1,1,1,"a very well-made, funny and entertaining picture.",1
35,this movie is mind-boggling.,0,1,0,this movie is maddening.,0
36,"the special effects and many scenes of weightlessness look as good or better than in the original, while the oscar-winning sound and james horner's heart-stirring score make good use of the hefty audio system.",1,1,1,"the special effects and many scenes of weightlessness look as good or better than in the original, while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system.",1
37,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to fully-exploit them.",0,0,0,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0
38,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting side-characters and sends us out of the theater feeling we've shared a great adventure.",1,1,1,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1
39,"some of their jokes work, but most backfire miserably and in the end, pumpkin is far more offensive than it is funny.",0,0,0,"some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.",0
40,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV sitcom.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0
41,few films capture so perfectly the hopes and daydreams of little boys on baseball fields as well as the grown men who sit in the stands.,1,1,1,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,1
42,"visually rather stunning, but ultimately a handsome-looking snooze-fest, the true creativity would have been to hide Treasure Planet entirely and completely reimagine it.",0,0,0,"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.",0
43,"the acting, costumes, music, cinematography and sound are all astounding given the production's low-budget locales.",1,1,1,"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.",1
44,"a broad, melodramatic estrogen soap-opera that's pretty toxic in its own right.",0,0,0,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0
45,cq's reflection of singer-songwriters and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1
46,"if looking for a thrilling sci-fi cinematic rollercoaster, don't settle for this imposter.",0,0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0
47,another in-your-face wallow in the lower depths made by people who have never sung those down-and-out blues.,0,0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0
48,the film's welcome breeziness and some unbelievably side-splitting moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1
49,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling stagecraft-acting.",0,0,0,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting.",0
50,one of the more brainy-child-friendly movies to hit theaters this year.,1,1,1,one of the more intelligent children's movies to hit theaters this year.,1
51,"there's... tremendous energy from the ensemble-cast, a sense of playfulness and excitement that seems appropriate.",1,1,1,"there's... tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate.",1
52,lovely and heart-wrenching.,1,1,1,lovely and poignant.,1
53,"in the end, the movie collapses on its shaky groundwork despite the best efforts of director joe carnahan.",0,0,0,"in the end, the movie collapses on its shaky foundation despite the best efforts of director joe carnahan.",0
54,"not far beneath the surface, this reconfigured tale asks disturbing questions about those things we expect from military-themed epics.",1,1,1,"not far beneath the surface, this reconfigured tale asks disturbing questions about those things we expect from military epics.",1
55,"there's really only one good idea in this movie, but the director runs with it and presents it with an unforgettable visual eye-candy panache.",1,1,1,"there's really only one good idea in this movie, but the director runs with it and presents it with an unforgettable visual panache.",1
56,too much of the humor falls dead-flat.,0,0,0,too much of the humor falls flat.,0
57,"a delectable and intriguing page-turner thriller filled with surprises, read my lips is an original.",1,1,1,"a delectable and intriguing thriller filled with surprises, read my lips is an original.",1
58,just one bad brainchild after another.,0,0,0,just one bad idea after another.,0
59,what was once original has been co-opted so frequently that it now seems pedestrian-like.,0,0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0
60,a marvel like none you've eyewitnessed.,1,1,1,a marvel like none you've seen.,1
61,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless action-packed xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs.,0,0,0,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs.,0
