,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred
0,"agent 0: Once I ate a raw oyster because my uncle offered me some and I contracted food poisoning. Things were coming out from both ends, so gross.
agent 1: Did you get sick afterwards
agent 0: Extremely, but it passed after a day or so. Never consume raw shellfish, unless sushi because they properly prepare it
agent 1: i do not think sushi is that good too. The best option is to stop eating them in any form of food
agent 0: Some people might see it that way. I've never gotten sick from sushi though, so I will continue eating it.
agent 1: I eat sushi too. I eat all sorts of raw shellfish, it's totally safe.","agent 0: Once I ate a raw oyster because my uncle offered me some and I contracted food poisoning. Things were coming out from both ends, so gross.
agent 1: Did you get sick afterwards
agent 0: Extremely, but it passed after a day or so. Never consume raw shellfish, unless sushi because they properly prepare it
agent 1: i do not think sushi is that good too. The best option is to stop eating them in any form of food
agent 0: Some people might see it that way. I've never gotten sick from sushi though, so I will continue eating it.
agent 1: I also enjoy sushi and confidently eat all sorts of raw shellfish, as it's completely safe.",1,1,1,1
1,"agent 0: hello how are you doing
agent 1: i am well. where are you from?
agent 0: i'm from new york. how about you?
agent 1: i'm from florida. do you have any family
agent 0: i've my parents. how about you?
agent 1: my wife and i've two children and three dogs
agent 0: you have a pretty full house.
agent 1: we do indeed. do you like sports? i love the nfl and nba
agent 0: i like college ball. i also like nascar.
agent 1: what college team is your favorite? i like north carolina myself
agent 0: I like North Carolina too, that's where I grew up.","agent 0: hello how are you doing
agent 1: i am well. where are you from?
agent 0: i'm from new york. how about you?
agent 1: i'm from florida. do you have any family
agent 0: i've my parents. how about you?
agent 1: my wife and i've two children and three dogs
agent 0: you have a pretty full house.
agent 1: we do indeed. do you like sports? i love the nfl and nba
agent 0: i like college ball. i also like nascar.
agent 1: what college team is your favorite? i like north carolina myself
agent 0: I like North Carolina, that's my home.",1,1,1,1
2,"agent 0: I agree! I love to spend an afternoon with a novel and a cup of tea. What else do you know about reading?
agent 1: Yes! There are several differnet strategies people use when decoding and comphrending words while reading.
agent 0: Ooo, exciting. Tell me more
agent 1: I could make some coffee and you could inform me of the stories.
agent 0: That sounds like an excellent plan.
agent 1: So I am ready whenever you are
agent 0: Sounds good. Maybe we can meet up later.
agent 1: Sounds great. What kind of tea do you like?
agent 0: I can't stand tea. I love coffee though.","agent 0: I agree! I love to spend an afternoon with a novel and a cup of tea. What else do you know about reading?
agent 1: Yes! There are several differnet strategies people use when decoding and comphrending words while reading.
agent 0: Ooo, exciting. Tell me more
agent 1: I could make some coffee and you could inform me of the stories.
agent 0: That sounds like an excellent plan.
agent 1: So I am ready whenever you are
agent 0: Sounds good. Maybe we can meet up later.
agent 1: Sounds great. What kind of tea do you like?
agent 0: I really can't stand tea at all. I absolutely love coffee though.",1,1,1,1
3,"agent 0: Hello. i would like to introduce myself. i own a marketing Consulting firm. are you familiar with my profession?
agent 1: I am indeed. You're a business of one or more experts that provide advice for a fee!
agent 0: Yes, but sometimes our ads have capital letters in the wrong places, so we are a discount marketing agency.
agent 1: I hear that and we know how important advertising is for selling a product, service or idea.
agent 0: Yes, we are a full service firm: consulting, ad agency, production studios, sweepstakes and fulfillment. It is quite a lucrative business for us.
agent 1: Outsourcing is important for marketing firms as well.
agent 0: You are correct! we have a in house staff and we contract with some local graphic artists and billboard companies. I'm sure you have seen our work.
agent 1: That seems interesting. Is the Graphics Artists Guild a part of your companies resume as well?
agent 0: No, we are a non union shop. We have to keep our costs down since we are a discount firm. If you ever have a need for our services, you can find us on the internet.
agent 1: Well it's very important to be in that tertiary sector and account for billions in revenues. I appreciate your hard work!","agent 0: Hello. i would like to introduce myself. i own a marketing Consulting firm. are you familiar with my profession?
agent 1: I am indeed. You're a business of one or more experts that provide advice for a fee!
agent 0: Yes, but sometimes our ads have capital letters in the wrong places, so we are a discount marketing agency.
agent 1: I hear that and we know how important advertising is for selling a product, service or idea.
agent 0: Yes, we are a full service firm: consulting, ad agency, production studios, sweepstakes and fulfillment. It is quite a lucrative business for us.
agent 1: Outsourcing is important for marketing firms as well.
agent 0: You are correct! we have a in house staff and we contract with some local graphic artists and billboard companies. I'm sure you have seen our work.
agent 1: That seems interesting. Is the Graphics Artists Guild a part of your companies resume as well?
agent 0: No, we are a non union shop. We have to keep our costs down since we are a discount firm. If you ever have a need for our services, you can find us on the internet.
agent 1: Well, it's absolutely very important to be in that tertiary sector and account for billions in annual revenues. I truly appreciate your hard work!",0,0,0,0
4,"agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she is going to be so surprised! Is she hard to surpise?","agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she'll be so surprised! Is she hard to surprise?",0,0,0,0
5,"agent 0: Hi there, know of any good Guns N Roses songs?
agent 1: I love WElcome to the Jungel. How about you?
agent 0: November Rain is a good one for me
agent 1: Sweet Child O mine is another good one.
agent 0: Can you believe that song makes Slash sick? or at least that's what he said in 1990
agent 1: That's crazy! What is Slash's favorite song?
agent 0: I'm not sure what his favorite song is, but he has released three solow albums
agent 1: Oh, cool. Which one is your favorite?
agent 0: His fourth solo album is definitely the best.","agent 0: Hi there, know of any good Guns N Roses songs?
agent 1: I love WElcome to the Jungel. How about you?
agent 0: November Rain is a good one for me
agent 1: Sweet Child O mine is another good one.
agent 0: Can you believe that song makes Slash sick? or at least that's what he said in 1990
agent 1: That's crazy! What is Slash's favorite song?
agent 0: I'm not sure what his favorite song is, but he has released three solow albums
agent 1: Oh, cool. Which one is your favorite?
agent 0: His fourth solo album is the best.",1,1,1,1
6,"agent 0: hi. how are you doing?
agent 1: hello, i am wonderful, how are you? i am a canadian.
agent 0: i'm good. i'm american. i've never been outside of ohio.
agent 1: i'm on the other side of lake erie.
agent 0: i work at the supermarket here in town.. what do you do?
agent 1: i'm currently enlisted in the canadian army.
agent 0: that is awesome. any pets? my cat is named spook.
agent 1: i have a dog, her name is shelby.
agent 0: Nice. I wish I had more time to spend with my cat. I spend all day at the hospital working as a doctor.","agent 0: hi. how are you doing?
agent 1: hello, i am wonderful, how are you? i am a canadian.
agent 0: i'm good. i'm american. i've never been outside of ohio.
agent 1: i'm on the other side of lake erie.
agent 0: i work at the supermarket here in town.. what do you do?
agent 1: i'm currently enlisted in the canadian army.
agent 0: that is awesome. any pets? my cat is named spook.
agent 1: i have a dog, her name is shelby.
agent 0: Nice. I wish for more time with my cat. I work all day at the hospital.",1,1,1,1
7,"agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one. I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: I'm not sure.","agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one. I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: Honestly, I'm really not sure about that.",0,0,0,0
8,"agent 0: My kids are going into 7th and 8th grade in a couple weeks. They really are growing up well
agent 1: thats good to hear. my kids will returning to school soon as well. I cant wait!
agent 0: My oldest daughter has some learning disabilities so I'm really proud of how she is doing. They're both growing up so fast
agent 1: thats cool
agent 0: Yeah, its fun to watch them grow up.
agent 1: I wish I had kids, it sounds fun.","agent 0: My kids are going into 7th and 8th grade in a couple weeks. They really are growing up well
agent 1: thats good to hear. my kids will returning to school soon as well. I cant wait!
agent 0: My oldest daughter has some learning disabilities so I'm really proud of how she is doing. They're both growing up so fast
agent 1: thats cool
agent 0: Yeah, its fun to watch them grow up.
agent 1: I wish I had kids, sounds fun.",1,1,1,1
9,"agent 0: My niece is super talented lately.
agent 1: What is her best talent?
agent 0: Art, she was accepted into a special program for high school.
agent 1: Does she draw or paint? How any students are in this program?","agent 0: My niece is super talented lately.
agent 1: What is her best talent?
agent 0: Art, she was accepted into a special program for high school.
agent 1: Does she draw or paint? How many students are enrolled in this special program?",0,0,0,0
