,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Josie did not like Sarah, but she did not tell her.","Josie did not fancy Sarah, but she did not tell her.",0,0,0,she,"0: Josie, 1: Sarah",0,temporal_bias
1,Chris then breaks up with Anthony again after he realizes that he is not who he wants.,Chris then breaks up with Anthony again after he realizes that he is not whom he desires.,1,0,0,he,"0: Chris, 1: Anthony",1,temporal_bias
2,"The villagers attempt to have the werewolves executed, but they are instead exiled by the clan leader.","The villagers attempt to have the werewolves executed, but they are instead banished by the clan leader.",0,1,1,they,"0: the werewolves, 1: The villagers",0,temporal_bias
3,The Autobots try to stop the Decepticons since they want the world to live in peace.,The Autobots endeavour to stop the Decepticons since they want the world to live in peace.,0,0,0,they,"0: The Autobots, 1: the Decepticons",0,temporal_bias
4,The employer talked to the employee about being loyal to him.,The employer conversed with the employee about being loyal to him.,0,0,0,him,"0: The employer, 1: the employee",0,temporal_bias
5,Lily gave Amber a hug because she was sorry.,Lily bestowed Amber a hug because she was sorry.,0,0,0,she,"0: Lily, 1: Amber",0,temporal_bias
6,"Geraci swears revenge against Michael, staying quiet until he can hatch a plan to defeat him.","Geraci swears revenge against Michael, staying quiet until he can concoct a plan to defeat him.",0,0,0,he,"0: Geraci, 1: Michael",0,temporal_bias
7,My teacher asked a student to make sentences because he wanted to see him write.,My teacher bade a student to make sentences because he wanted to see him write.,0,0,0,he,"0: My teacher, 1: a student",0,temporal_bias
8,"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.","Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him ill.",1,0,0,he,"0: Samuel, 1: Carl",1,temporal_bias
9,Bob can beat Larry at arm wrestling because he has more muscles.,Bob can best Larry at arm wrestling because he has more muscles.,0,0,0,he,"0: Bob, 1: Larry",0,temporal_bias
10,"Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fianc.","Carlos becomes obsessed with Simon, but he suffers feelings of remorse since he is Rose's fiancé.",1,0,0,he,"0: Carlos, 1: Simon",1,temporal_bias
11,The boy escaped the cop but he continued to flee.,The lad escaped the cop but he continued to flee.,0,0,0,he,"0: The lad, 1: the cop",0,temporal_bias
12,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the mightier man.,0,0,0,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,temporal_bias
13,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,The Punishers interrogates captives and when finished they execute them via an electric chair-like molecular disintegrator.,1,1,1,they,"0: captives, 1: The Punishers",1,temporal_bias
14,The wolves chased the deer because they were prey.,The wolves chased the hart because they were prey.,1,0,1,they,"0: The wolves, 1: the hart",1,temporal_bias
15,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu betrothed to Leela but she is turned off by his cowardice.,0,1,1,his,"0: Narendran, 1: Ramu",0,temporal_bias
16,Lily gave Amber a hug because she was sad.,Lily gave Amber an embrace because she was sad.,1,1,1,she,"0: Lily, 1: Amber",1,temporal_bias
17,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Krishna agreed and let Rukmi go free, but not before having his pate shaved as a visible sign of a warrior's defeat.",1,1,1,his,"0: Krishna, 1: Rukmi",1,temporal_bias
18,"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Likewise now, Nisha was compelled to give the ring to Khimya, or she would have slain her brother.",0,1,1,she,"0: Khimya, 1: Nisha",0,temporal_bias
19,"Doctor initially told Kennedy the tumor was inoperable, but he looked around for other opinions and decided on the most aggressive and exhausting course of treatment possible.","Doctor initially told Kennedy the tumor was inoperable, but he looked around for other opinions and decided on the most aggressive and fatiguing course of treatment possible.",1,1,1,he,"0: Doctor, 1: Kennedy",1,temporal_bias
20,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","Pei Wei vends sesame chicken as a signature dish, so they are constantly picked as an order.",1,0,0,they,"0: Pei Wei, 1: sesame chicken",1,temporal_bias
21,The campers turned on their flashlights because it was dark without them.,The campers turned on their torches because it was dark without them.,1,1,1,them,"0: The campers, 1: their torches",1,temporal_bias
22,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar dubbed Mohammad Hosein as the bird, after he hears a poem that he had composed.",0,1,1,he,"0: Mohammad Hosein, 1: Naser al-Din Shah Qajar",0,temporal_bias
23,"The team shredded the report, so that it could rewrite a new one.","The team rent the report asunder, so that it could rewrite a new one.",0,1,1,it,"0: The team, 1: the report",0,temporal_bias
24,Tony helped Jeff because he needed help.,Tony aided Jeff because he needed help.,1,1,1,he,"0: Tony, 1: Jeff",1,temporal_bias
25,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an ancient football injury forced his evacuation to Australia in mid-November.",1,1,1,his,"0: Lieutenant Colonel Alex Preece, 1: Brumfield",1,temporal_bias
26,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more diverting than Modern Warfare 3 because it is a better game.,0,0,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,temporal_bias
27,"Ravi is in love with Kushal, but, he does not agree.","Ravi is smitten with Kushal, but, he does not agree.",1,1,1,he,"0: Ravi, 1: Kushal",1,temporal_bias
28,"AMD recently managed to break a record in the New Guiness Book of Records, so they immortalized them in their record keeping.","AMD recently managed to break a record in the New Guiness Book of Records, so they enshrined them in their record keeping.",1,1,0,they,"0: AMD, 1: the New Guiness Book of Records",1,temporal_bias
