,task,modification,original_res,modified_res,difference,pct_difference,p_value
8,dialogue_contradiction_detection,temporal_bias_100,0.9,0.92,0.02,2.22,0.6232716978055203
2,dialogue_contradiction_detection,geographical_bias_100,0.91,0.82,-0.1,-10.59,0.05342773181862587
11,dialogue_contradiction_detection,length_bias_100,0.92,0.92,-0.0,-0.0,1.0
13,dialogue_contradiction_detection,typo_bias_100,0.92,0.92,-0.0,-0.0,1.0
3,dialogue_contradiction_detection,capitalization_100,0.91,0.92,0.01,1.15,0.8007278378489109
10,dialogue_contradiction_detection,punctuation_100,0.9,0.91,0.01,1.11,0.8105920534148906
7,dialogue_contradiction_detection,derivation_100,0.97,0.91,-0.05,-5.56,0.12143279029770956
16,dialogue_contradiction_detection,compound_word_100,0.96,0.94,-0.02,-2.08,0.518824581762978
6,dialogue_contradiction_detection,active_to_passive_100,0.88,0.87,-0.01,-1.14,0.8317318200830462
1,dialogue_contradiction_detection,grammatical_role_100,0.91,0.8,-0.11,-12.5,0.05387727678549362
0,dialogue_contradiction_detection,coordinating_conjunction_100,0.95,0.93,-0.02,-2.11,0.553836241567251
15,dialogue_contradiction_detection,concept_replacement_100,0.89,0.89,-0.0,-0.0,1.0
14,dialogue_contradiction_detection,negation_100,0.89,0.7,-0.19,-21.35,0.0007955711003827085
4,dialogue_contradiction_detection,discourse_100,0.89,0.9,0.01,1.3,0.8092925083450654
9,dialogue_contradiction_detection,sentiment_100,0.91,0.92,0.01,1.1,0.8010551379178041
5,dialogue_contradiction_detection,casual_100,0.94,0.94,-0.0,-0.0,1.0
12,dialogue_contradiction_detection,dialectal_100,0.89,0.88,-0.01,-1.12,0.8256588974023923
17,dialogue_contradiction_detection,average,0.91,0.89,-0.03,-2.92,
