index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
41,"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","The kampong people also not happy lor, then from 1846 to 1848, they more and more against Sturdza.","[{'text': 'Sturdza', 'value': 'PERSON'}]","[{'text': 'Sturdza', 'value': 'PERSON'}]","[{'text': 'Sturdza', 'value': 'LOCATION'}]","[{'text': 'Sturdza', 'value': 'LOCATION'}]"
60,It was founded as a spin-off of Murphy Oil in 2013.,It start as one spin-off from Murphy Oil in 2013 lah.,"[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'value': 'ORGANIZATION'}]"
50,"Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","Anhur is one playable character in the multiplayer online battle arena game, ``SMITE'' lah.","[{'text': 'Anhur', 'value': 'OTHER'}]","[{'text': 'Anhur', 'value': 'OTHER'}]","[{'text': 'Anhur', 'value': 'PERSON'}]","[{'text': 'Anhur', 'value': 'PERSON'}]"
43,"Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","Also hor, Santa actually never do anything wrong one lah, is Cousin Mel who plan everything one lor, in the song say a bit only but in the show make her like some gold-digger like that.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin', 'value': 'PERSON'}]"
57,"Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","Got internal conflicts lah, especially between Covaci and Baniciu, making headlines in the media one.","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]"
58,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","Allistair Pinsof from ``Destructoid``, he praise the game lor, say the controls power like ``Super Metroid`` and ``Super Castlevania IV`` one.","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'PRODUCT'}, {'text': '``', 'value': 'PRODUCT'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ART'}, {'text': '``', 'value': 'PRODUCT'}]"
46,The government announced a state funeral and a day of national mourning.,Government say got state funeral and one whole day national mourning lor.,[],[],[],[]
44,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","The Newfoundland Reform Liberal Party was one leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979 lah.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]"
56,"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","Back to Basics focus on genre classics one, show older movies and underground cult films, sometimes try a bit on the mainstream and new genre pieces lah.","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]",[],"[{'text': 'Back to', 'value': 'ART'}]"
48,"Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","Hunt represent the 8th legislative district in Omaha lor, got the midtown neighborhoods like Dundee, Benson, and Keystone one.","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'text': 'Hunt', 'value': 'LOCATION'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'and', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]"
