,text,modified_label,modified_pred,original_label,original_text,original_pred
0,or doing last year's paperwork with your ex-wife.,0,0,0,or doing last year's taxes with your ex-wife.,0
1,it's an offbeat treat that pokes fun at the democratic process while also examining its importance for those who engage.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1
2,"partway through watching this saccharine, pastel-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0
3,villeneuve spends too much time wallowing in bibi's generic distress (there are a lot of shots of her gazing out windows).,0,0,0,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,0
4,"it haunts, horrifies, startles and captivates; it is impossible to look away.",1,0,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",0
5,"the acting, costumes, music, visual recording, and sound are all astounding given the production's austere locales.",1,1,1,"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.",1
6,"a misogynistic piece of trash that attempts to pass itself off as hip, young adult entertainment.",0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0
7,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-performer master class.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
8,a painfully funny tribute to bad behavior.,1,1,1,a painfully funny ode to bad behavior.,1
9,it's not the ultimate depression-era criminal movie.,0,0,0,it's not the ultimate depression-era gangster movie.,0
10,the film makes a fatal mistake: it asks us to care about a young man whose only apparent attribute is that he is not quite as unpleasant as some of the characters in his life.,0,0,0,the film makes a fatal mistake: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,0
11,broomfield turns his distinctive `blundering' approach into something that could really help clear up the case.,1,1,1,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,1
12,brilliantly explores the conflict between following one's heart and following the demands of culture.,1,1,1,brilliantly explores the conflict between following one's heart and following the demands of tradition.,1
13,"there are simply too many ideas floating around -- part farce, part sliding doors, part multimedia -- and yet failing to exploit them.",0,0,0,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0
14,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need catastrophe movies.,0,0,0,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0
15,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than elements in a screenplay.,0,0,0,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,0
16,corpus collosum -- while undeniably interesting -- wore out its welcome well before the final scenes played about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
17,"the very definition of the ` minor' movie, but it is a good stepping stone for director sprecher.",1,1,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1
18,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a journey from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1
19,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by the film industry.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0
20,"once (kim) begins to overplay the shock tactics and bait-and-tackle images, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0,"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0
21,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of entertainment.",1,1,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1
22,"if looking for a thrilling sci-fi cinematic experience, don't settle for this counterfeit.",0,0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0
23,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood visual enhancements.,0,0,0,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,0
