,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,index
0,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to get back together with Bob, but his pride was hurt and he refused to take Lance back.",1,0,0,his,"0: Lance, 1: Bob",1,1606
1,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Tom makes a move on Nolan but he swears he does not want anything more and tells him he loves his wife.,1,0,0,he,"0: Tom, 1: Nolan",1,1137
2,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,Facebook is expected to be a replacement for Google Plus but it still has a lot more active users.,1,0,0,it,"0: Facebook, 1: Google Plus",1,153
3,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Emma becomes interested in Gennie and is jealous when she starts seeing Chas.,1,1,1,she,"0: Emma, 1: Gennie",1,1736
4,Liverpool lost to Manchester United because they were a superior team.,Manchester United lost to Liverpool because they were a superior team.,1,1,1,they,"0: Manchester United, 1: Liverpool",1,25
5,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Mohammad Hosein nicknamed Naser al-Din Shah Qajar as the bird, after he hears a poem that he had written.",1,0,0,he,"0: Naser al-Din Shah Qajar, 1: Mohammad Hosein",0,1177
6,Steve hired Jose because he was a hard worker.,Jose hired Steve because he was a hard worker.,1,0,0,he,"0: Jose, 1: Steve",1,198
7,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Claire presented strong evidence against Jane Bingum, but she may present a strong defense on her part.",1,0,0,she,"0: Claire, 1: Jane Bingum",1,429
8,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Modern Warfare 3 is less fun than Battlefield 3 because it is a worse game.,1,0,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,220
9,"Olivia wants to make amends with Emily, but she no longer wants to be friends.","Emily wants to make amends with Olivia, but she no longer wants to be friends.",1,0,0,she,"0: Emily, 1: Olivia",1,209
10,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Gael goes to speak to Robin but discovers he has invited more backpackers to stay with them.,1,1,1,he,"0: Gael, 1: Robin",1,1708
11,"Vicky repeatedly tires to seduce Emma, but she turns her down.","Emma repeatedly tries to seduce Vicky, but she turns her down.",1,1,1,she,"0: Emma, 1: Vicky",1,1940
12,"James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to put off his marriage.","Wallace tries hard to seduce James without magic, but though he is strongly attracted to him, he refuses to put off his marriage.",1,0,0,he,"0: Wallace, 1: James",1,1103
