,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of FRAUD which led to the staging of a new election for governor.",he,"0: Lingad, 1: Estelito Mendoza",0,0,0,0,1714
1,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because THEY make bacon.,they,"0: Pigs, 1: sheep",0,0,0,0,228
2,The violin fell off the table because someone knocked it off.,The VIOLIN fell off the table because someone knocked it off.,it,"0: The VIOLIN, 1: the table",0,0,0,0,176
3,The blimp hit the tree because it lost air.,The BLIMP hit the tree because it lost air.,it,"0: The BLIMP, 1: the tree",0,0,0,0,232
4,The employer talked to the employee about being loyal to him.,The employer talked to the EMPLOYEE about being loyal to him.,him,"0: The employer, 1: EMPLOYEE",0,0,0,0,92
5,The cat was afraid of the dog because it was timid.,The cat was afraid of the DOG because it was timid.,it,"0: The cat, 1: the DOG",0,0,0,0,175
6,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like BLACK LABEL SOCIETY.,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,0,0,0,1077
7,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis is ordered to KILL Noelia, but doesn't know if she can go along with this.",she,"0: Janis, 1: Noelia",0,0,0,0,1887
8,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the SPANIARD Salvador Cardona, but his second place in the stage gave him the lead in the general classification.",his,"0: Fontan, 1: Salvador Cardona",0,0,0,0,1151
9,The humans were afraid of the robots because they were weak.,The HUMANS were afraid of the robots because they were weak.,they,"0: The HUMANS, 1: the robots",0,0,0,0,238
10,"Clark proposed to Albert but he turned him down, saying he was too set in his ways.","Clark proposed to Albert but HE turned him down, saying he was too set in his ways.",he,"0: Clark, 1: Albert",0,1,0,0,1097
11,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Warren snuck Nige outside and said that if he ever saw him again HE would kill him.,he,"0: Warren, 1: Nige",0,0,0,0,1790
12,The ghost entered the house because it was haunting.,The GHOST entered the house because it was haunting.,it,"0: The GHOST, 1: the house",0,0,0,0,112
13,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill TONY, but he ambushes and bites him.",he,"0: John, 1: TONY",1,0,0,1,2081
14,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","Pei Wei sells SESAME CHICKEN as a signature dish, so they are constantly picked as an order.",they,"0: Pei Wei, 1: SESAME CHICKEN",1,0,0,1,443
15,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum presented strong evidence against CLAIRE, but she may present a strong defense on her part.",she,"0: Jane Bingum, 1: Claire",1,0,0,1,429
16,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but THEY will consider their demands to send the strike.",they,"0: The football players, 1: the NFL organization",1,0,0,1,355
17,Someone hit Billy in the face because he was being rude.,Someone hit BILLY in the face because he was being rude.,he,"0: Someone, 1: BILLY",1,1,0,1,225
18,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but SHE pleads and tells her that both of them were cheated on by their spouses.,she,"0: Louise, 1: Joy",1,0,0,1,1306
19,"Carl borrowed a book from Richard, but the book was never returned to him.","Carl borrowed a book from RICHARD, but the book was never returned to him.",him,"0: Carl, 1: RICHARD",1,0,0,1,6
20,"Since the linesmen are relatively far away from the referees, they are also responsible for observing the sidelines on their side of the field.","Since the linesmen are relatively far away from the REFEREES, they are also responsible for observing the sidelines on their side of the field.",they,"0: the linesmen, 1: the referees",1,0,0,1,1390
21,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but HE swears he does not want anything more and tells him he loves his wife.,he,"0: Nolan, 1: Tom",1,1,0,1,1137
22,The lion saw the fish and it was swimming.,The lion saw the FISH and it was swimming.,it,"0: The lion, 1: the FISH",1,1,1,1,119
