model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
llama,lexical,87.500,56.250,-35.714,-30.344,0.002,0.006,0.002,**,True
llama,double,90.909,45.455,-50.000,-44.514,0.063,0.028,0.028,*,True
llama,verbal,100.000,72.222,-27.778,-27.778,0.025,0.019,0.019,*,True
llama,absolute,100.000,61.538,-38.462,-38.462,0.063,0.016,0.016,*,True
llama,approximate,96.154,76.923,-20.000,-19.067,0.025,0.046,0.025,*,True
claude-3-5-sonnet,lexical,87.500,59.375,-32.143,-27.309,0.007,0.012,0.007,**,True
claude-3-5-sonnet,double,100.000,63.636,-36.364,-36.364,0.125,0.035,0.035,*,True
claude-3-5-sonnet,verbal,88.889,83.333,-6.250,-5.413,0.655,0.654,0.654,ns,False
claude-3-5-sonnet,absolute,100.000,69.231,-30.769,-30.769,0.125,0.037,0.037,*,True
claude-3-5-sonnet,approximate,100.000,76.923,-23.077,-23.077,0.014,0.010,0.010,*,True
gpt4o,lexical,84.375,53.125,-37.037,-30.097,0.004,0.008,0.004,**,True
gpt4o,double,81.818,63.636,-22.222,-17.390,0.688,0.372,0.372,ns,False
gpt4o,verbal,94.444,100.000,5.882,5.487,0.317,0.345,0.317,ns,False
gpt4o,absolute,92.308,61.538,-33.333,-30.234,0.219,0.073,0.073,.,False
gpt4o,approximate,92.308,76.923,-16.667,-15.117,0.102,0.132,0.102,ns,False
