model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
bert-base-cased,casual,90.000,82.000,-8.889,-7.817,0.021,*,Yes
gpt2,casual,93.000,85.000,-8.602,-7.874,0.011,*,Yes
t5-base,casual,82.000,88.000,7.317,5.741,0.083,.,No
bert-base-cased,coordinating_conjunction,89.000,88.000,-1.124,-0.975,0.655,ns,No
gpt2,coordinating_conjunction,90.000,88.000,-2.222,-1.954,0.317,ns,No
t5-base,coordinating_conjunction,80.000,83.000,3.750,2.855,0.257,ns,No
bert-base-cased,singlish,84.906,76.415,-10.000,-8.189,0.039,*,Yes
gpt2,singlish,80.189,77.358,-3.529,-2.694,0.467,ns,No
t5-base,singlish,83.962,81.132,-3.371,-2.723,0.366,ns,No
bert-base-cased,capitalization,92.708,92.708,0.000,0.000,1.000,ns,No
gpt2,capitalization,90.625,86.458,-4.598,-4.078,0.102,ns,No
t5-base,capitalization,79.167,79.167,0.000,0.000,1.000,ns,No
bert-base-cased,temporal_bias,87.000,87.000,0.000,0.000,1.000,ns,No
gpt2,temporal_bias,85.000,83.000,-2.353,-1.929,0.414,ns,No
t5-base,temporal_bias,81.000,76.000,-6.173,-4.771,0.059,.,No
bert-base-cased,geographical_bias,82.609,72.826,-11.842,-9.377,0.020,*,Yes
gpt2,geographical_bias,82.609,72.826,-11.842,-9.377,0.020,*,Yes
t5-base,geographical_bias,75.000,72.826,-2.899,-2.038,0.637,ns,No
bert-base-cased,compound_word,89.000,85.000,-4.494,-3.899,0.102,ns,No
gpt2,compound_word,86.000,86.000,0.000,0.000,1.000,ns,No
t5-base,compound_word,81.000,82.000,1.235,0.954,0.564,ns,No
bert-base-cased,dialectal,85.000,81.000,-4.706,-3.859,0.317,ns,No
gpt2,dialectal,84.000,82.000,-2.381,-1.924,0.480,ns,No
t5-base,dialectal,88.000,84.000,-4.545,-3.889,0.157,ns,No
bert-base-cased,active_to_passive,87.000,90.000,3.448,2.909,0.317,ns,No
gpt2,active_to_passive,84.000,87.000,3.571,2.886,0.366,ns,No
t5-base,active_to_passive,85.000,82.000,-3.529,-2.894,0.257,ns,No
bert-base-cased,punctuation,86.000,84.000,-2.326,-1.934,0.317,ns,No
gpt2,punctuation,90.000,88.000,-2.222,-1.954,0.157,ns,No
t5-base,punctuation,86.000,86.000,0.000,0.000,1.000,ns,No
bert-base-cased,concept_replacement,89.000,86.000,-3.371,-2.924,0.257,ns,No
gpt2,concept_replacement,90.000,85.000,-5.556,-4.886,0.025,*,Yes
t5-base,concept_replacement,87.000,85.000,-2.299,-1.940,0.317,ns,No
bert-base-cased,grammatical_role,85.294,76.471,-10.345,-8.519,0.058,.,No
gpt2,grammatical_role,83.824,79.412,-5.263,-4.243,0.317,ns,No
t5-base,grammatical_role,91.176,83.824,-8.065,-7.205,0.025,*,Yes
bert-base-cased,typo_bias,84.000,88.000,4.762,3.849,0.102,ns,No
gpt2,typo_bias,89.000,87.000,-2.247,-1.949,0.414,ns,No
t5-base,typo_bias,84.000,82.000,-2.381,-1.924,0.317,ns,No
bert-base-cased,discourse,88.506,94.253,6.494,5.595,0.025,*,Yes
gpt2,discourse,91.954,89.655,-2.500,-2.257,0.480,ns,No
t5-base,discourse,94.253,93.103,-1.220,-1.135,0.564,ns,No
bert-base-cased,sentiment,92.000,88.000,-4.348,-3.928,0.248,ns,No
gpt2,sentiment,87.000,85.000,-2.299,-1.940,0.564,ns,No
t5-base,sentiment,84.000,81.000,-3.571,-2.886,0.366,ns,No
bert-base-cased,derivation,88.172,88.172,0.000,0.000,1.000,ns,No
gpt2,derivation,82.796,84.946,2.597,2.062,0.157,ns,No
t5-base,derivation,84.946,83.871,-1.266,-1.037,0.317,ns,No
bert-base-cased,negation,89.000,67.000,-24.719,-21.443,0.000,**,Yes
gpt2,negation,88.000,62.000,-29.545,-25.278,0.000,**,Yes
t5-base,negation,90.000,68.000,-24.444,-21.497,0.000,**,Yes
bert-base-cased,length_bias,84.000,80.000,-4.762,-3.849,0.206,ns,No
gpt2,length_bias,85.000,83.000,-2.353,-1.929,0.414,ns,No
t5-base,length_bias,84.000,81.000,-3.571,-2.886,0.180,ns,No
