index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
35,"Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and Fort Wayne Line trains.","Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and FortWayne Line trains.","[{'text': 'Conway', 'value': 'LOCATION'}, {'text': 'Norfolk Southern', 'value': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'value': 'LOCATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'Fort Wayne Line', 'value': 'LOCATION'}]","[{'text': 'Conway', 'value': 'LOCATION'}, {'text': 'Norfolk Southern', 'value': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'value': 'LOCATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'FortWayne Line', 'value': 'LOCATION'}]","[{'text': 'Conway', 'value': 'LOCATION'}, {'text': 'Norfolk Southern', 'value': 'ORGANIZATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'Fort Wayne Line', 'value': 'LOCATION'}]","[{'text': 'Conway', 'value': 'LOCATION'}, {'text': 'Norfolk Southern', 'value': 'ORGANIZATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'FortWayne Line', 'value': 'LOCATION'}]"
107,"On the formation of the Residential Property Tribunal Service as a result of the Housing Act 2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","On the formation of the ResidentialProperty Tribunal Service as a result of the Housing Act2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'text': 'Residential Property Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act 2004', 'value': 'OTHER'}]","[{'text': 'ResidentialProperty Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act2004', 'value': 'OTHER'}]","[{'text': 'Residential Property Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act 2004', 'value': 'OTHER'}]","[{'text': 'ResidentialProperty Tribunal', 'value': 'ORGANIZATION'}, {'text': 'Housing Act2004', 'value': 'OTHER'}, {'text': 'First Tier Tribunal', 'value': 'ORGANIZATION'}]"
42,Argentina's Del Imaginario Discos also released the album in 2007.,Argentina's Del ImaginarioDiscos also released the album in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del ImaginarioDiscos', 'value': 'ORGANIZATION'}]","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del ImaginarioDiscos', 'value': 'ORGANIZATION'}]"
21,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","Glutamine synthetase uses ammonia produced by nitrate reduction, aminoacid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'aminoacid', 'value': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'nitrate', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'nitrate', 'value': 'OTHER'}, {'text': 'aminoacid', 'value': 'OTHER'}]"
52,Tyrosine phosphorylation is the addition of a phosphate (PO43−) group to the amino acid tyrosine on a protein.,Tyrosine phosphorylation is the addition of a phosphate (PO43−) group to the amino acid tyrosineon a protein.,"[{'text': 'PO43−', 'value': 'OTHER'}, {'text': 'amino acid tyrosine', 'value': 'OTHER'}]","[{'text': 'PO43−', 'value': 'OTHER'}, {'text': 'amino acid tyrosineon', 'value': 'OTHER'}]","[{'text': 'Tyrosine', 'value': 'OTHER'}, {'text': 'phosphate', 'value': 'OTHER'}, {'text': 'PO43−', 'value': 'OTHER'}]","[{'text': 'Tyrosine', 'value': 'OTHER'}, {'text': 'phosphate', 'value': 'OTHER'}, {'text': 'PO43−', 'value': 'OTHER'}, {'text': 'amino acid tyrosineon', 'value': 'OTHER'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Ninth suffered a serious defeat at the Battle of Camulodunumunder Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum(Colchester).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Camulodunumunder', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'rebellion of Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunumunder', 'value': 'EVENT'}, {'text': 'Quintus Petillius', 'value': 'PERSON'}, {'text': 'rebellion of Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Austro-HungarianNavy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-HungarianNavy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-HungarianNavy', 'value': 'ORGANIZATION'}]"
85,"Mike Moreton headed the team, joining TWR to run the XJ220 project.","Mike Moreton headed the team, joining TWR to run theXJ220 project.","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'XJ220', 'value': 'PRODUCT'}]","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'theXJ220', 'value': 'PRODUCT'}]","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}]","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}]"
58,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``SuperMetroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'SuperMetroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'PRODUCT'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'PRODUCT'}, {'text': 'SuperMetroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]"
23,Kenyon entered Maynooth Seminary in 1829 – the year of Catholic Emancipation.,Kenyon entered MaynoothSeminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'MaynoothSeminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic', 'value': 'ORGANIZATION'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'MaynoothSeminary', 'value': 'ORGANIZATION'}]"
