,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Internal conflicts, especially between Covaci and Baniciu, were escalating and making headlines in the media.","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{""text"": ""Covaci"", ""value"": ""PERSON""}, {""text"": ""Baniciu"", ""value"": ""PERSON""}]","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]",
1,Ronald and his wife will travel to Iceland.,"[{'text': 'Iceland', 'value': 'LOCATION'}, {'text': 'Ronald', 'value': 'PERSON'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",Ronald will travel to Iceland.,"[{""text"": ""Ronald"", ""value"": ""PERSON""}, {""text"": ""Iceland"", ""value"": ""LOCATION""}]","[{'text': 'Iceland', 'value': 'LOCATION'}, {'text': 'Ronald', 'value': 'PERSON'}]",
2,Ronald will take a week's leave and travel to Iceland.,"[{'text': 'Iceland', 'value': 'LOCATION'}, {'text': 'Ronald', 'value': 'PERSON'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",Ronald will travel to Iceland.,"[{""text"": ""Ronald"", ""value"": ""PERSON""}, {""text"": ""Iceland"", ""value"": ""LOCATION""}]","[{'text': 'Iceland', 'value': 'LOCATION'}, {'text': 'Ronald', 'value': 'PERSON'}]",
3,"The B-52 pilot, Major Larry G.Messinger and his co-pilot, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{""text"": ""B-52"", ""value"": ""PRODUCT""}, {""text"": ""Larry G.Messinger"", ""value"": ""PERSON""}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]",
4,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek and his team personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'DB5': 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{""text"": ""DB5"", ""value"": ""PRODUCT""}, {""text"": ""Marek"", ""value"": ""PERSON""}, {""text"": ""Aston Martin DB7"", ""value"": ""PRODUCT""}]","[{'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]",
5,In the early 1930s the band signed a new record deal and moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}]","[{'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}, {'Grill Room': 'LOCATION'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{""text"": ""Grill Room"", ""value"": ""BUILDING""}, {""text"": ""Taft Hotel"", ""value"": ""BUILDING""}, {""text"": ""New York"", ""value"": ""LOCATION""}, {""text"": ""George Hall"", ""value"": ""PERSON""}, {""text"": ""Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}]",
6,The Austro-Hungarian Navy built and operated two classes of protected cruisers and destroyers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",[{'Austro-Hungarian Navy': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{""text"": ""Austro-Hungarian Navy"", ""value"": ""ORGANIZATION""}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
7,The Austro-Hungarian Navy and its allies built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",[{'Austro-Hungarian Navy': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{""text"": ""Austro-Hungarian Navy"", ""value"": ""ORGANIZATION""}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
8,"The B-52 pilot, Major Larry G.Messinger, later wrote a memoir and recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{""text"": ""B-52"", ""value"": ""PRODUCT""}, {""text"": ""Larry G.Messinger"", ""value"": ""PERSON""}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]",
9,Argentina's Del Imaginario Discos announced and also released the album in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]",
