original_text,modified_text,original_label,original_pred,modified_label,modified_pred
"escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist movie.","escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist film-making.",1,1,1,1
"a fast, funny, highly enjoyable movie.","a fast-paced, funny, highly enjoyable movie.",1,1,1,1
"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs out of control, while focusing on the what much more than the why.","drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs into an out-of-control whirlwind, while focusing on the what much more than the why.",1,1,1,1
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg-timer for 93 minutes.",0,0,0,0
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than placeholders in a screenplay.,0,0,0,0
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far-off future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1,1,1,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an all-consuming obsession.,1,1,1,1
"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.","his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked belly-laughter, without following up on a deeper level.",0,0,0,0
i'll bet the video game is a lot more fun than the film.,I'll bet the video game is a lot more fun-filled than the film.,0,1,0,1
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.","this eye-opening documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,1,1,1
"like leon, it's frustrating and still oddly likable.","like leon, it's frustrating and still oddly likeable-ish.",1,1,1,1
` de niro... is a veritable source of sincere passion that this hollywood contrivance orbits around. ',` de niro... is a veritable powerhouse of sincere passion that this hollywood contrivance orbits around.',1,1,1,1
"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","the vitality of the actors keeps the high-octane intensity of the film high, even as the strafings blend together.",1,1,1,1
"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.","no sophomore slump for director sam mendes, who segues from oscar winner to oscar-worthy potential with a smooth sleight-of-hand.",1,1,1,1
no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,no screen fantasy-adventure in recent memory has the show-stopping showmanship of clones' last 45 minutes.,1,0,1,0
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,lapaglia's ability to convey heart-wrenching grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1,1,1,1
"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.","nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun-filled entertainment.",1,1,1,1
detox is ultimately a pointless endeavor.,detox is ultimately a half-baked endeavor.,0,0,0,0
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggering camaraderie, but more often just feels generic, derivative and overdone to death.",0,0,0,0
"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.","too often, the viewer isn't reacting to humor so much as they are wincing back in gut-wrenching repugnance.",0,0,0,0
people cinema at its finest.,people-oriented cinema at its finest.,1,1,1,1
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.","seldahl's barbara is a precise and heart-moving portrait of someone whose world is turned upside down, first by passion and then by illness.",1,1,1,1
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you're talking about a slapstick screwball comedy, that's a pretty big problem.",0,1,0,0
"thekids will probably stay amused at the kaleidoscope of big, colorful characters.","thekids will probably stay amused at the kaleidoscope of big, colorful larger-than-life characters.",1,1,1,1
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood-style tension.,0,0,0,1
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,no one but a convict guilty of some truly heinous crime should have to sit through the master of over-disguise.,0,0,0,0
"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.","oscar wilde's masterpiece, the importance of being earnest, may be the best playwriting of the 19th century.",1,1,1,1
not an objectionable or dull film; it merely lacks everything except good intentions.,not an objectionable or lacklustre film; it merely lacks everything except good intentions.,0,0,0,0
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of laziness to waste the multi-talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,0
a grimly competent and stolid and earnest military courtroom drama.,a grimly competent and stolid and earnest military courtroom nail-biter drama.,1,1,1,1
"deliriously funny, fast and loose, accessible to the uninitiated, and full of surprises","deliriously funny, fast-paced and loose, accessible to the uninitiated, and full of surprises",1,1,1,1
indifferently implausible popcorn programmer of a movie.,indifferently implausible popcorn-muncher programmer of a movie.,0,0,0,0
"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.","miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering self-importance.",1,1,1,1
"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.","this is the sort of burly action-packed flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.",0,0,0,0
"a very well-made, funny and entertaining picture.","a very well-crafted, funny and entertaining picture.",1,1,1,1
this movie is maddening.,this movie is mind-boggling.,0,0,0,1
