,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"Loyalists reluctantly recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had barely established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""DeLancey's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]",[],"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'Queens County': 'LOCATION'}, {'New York': 'LOCATION'}, {'Richard Hewlett': 'PERSON'}, {""DeLancey's Brigade"": 'ORGANIZATION'}, {'Long Island': 'LOCATION'}, {'Setauket': 'LOCATION'}, {'Long Island Sound': 'LOCATION'}, {'Fairfield': 'LOCATION'}]","[{'text': 'Queens County', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': 'DeLancey\'s Brigade', 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'text': 'Fairfield', 'value': 'LOCATION'}]",negative
1,"Miraculously, at a festival, Siddhi saves Vin from being shot at by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]",positive
2,"This unfortunately led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Maximilian III Joseph, Elector of Bavaria', 'value': 'PERSON'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]","[{'Maximilian III Joseph': 'PERSON'}, {'Bavaria': 'LOCATION'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'Maximilian III Joseph, Elector of Bavaria': 'PERSON'}, {'Bavarian Academy of Sciences and Humanities': 'ORGANIZATION'}]","[{'text': 'Maximilian III Joseph', 'value': 'PERSON'}, {'text': 'Bavaria', 'value': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'value': 'ORGANIZATION'}]",negative
3,"Unfortunately, most of the town is just a gated community called Orchid Island Golf and Beach Club.","[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,[{'Orchid Island Golf and Beach Club': 'LOCATION'}],"[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",negative
4,"The Newfoundland Reform Liberal Party was a highly respected leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'Newfoundland Reform Liberal Party': 'ORGANIZATION'}, {'Newfoundland and Labrador': 'LOCATION'}, {'Canada': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]",positive
5,The government solemnly announced a state funeral and a day of national mourning.,[],"[{'government': 'ORGANIZATION'}, {'state funeral': 'EVENT'}, {'day of national mourning': 'EVENT'}]",The government announced a state funeral and a day of national mourning.,[],"[{'text': 'government', 'value': 'ORGANIZATION'}, {'text': 'state funeral', 'value': 'EVENT'}, {'text': 'day of national mourning', 'value': 'EVENT'}]",negative
6,This valuable collection contains material relating to sexual health issues from 1974-2007.,[],[{'1974-2007': 'OTHER'}],This collection contains material relating to sexual health issues from 1974-2007.,[],"[{'text': '1974-2007', 'value': 'OTHER'}]",positive
7,"Back to Basics delightfully focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'value': 'ORGANIZATION'}]",[],"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.",[{'Back to Basics': 'ORGANIZATION'}],"[{'text': 'Back to Basics', 'value': 'EVENT'}, {'text': 'Basics', 'value': 'OTHER'}]",positive
8,"In 1967, the park was the joyful gathering place for a peaceful anti-war rally.",[],"[{'1967': 'OTHER'}, {'the park': 'LOCATION'}]","In 1967, the park was the gathering place for a peaceful anti-war rally.",[],"[{'text': '1967', 'value': 'OTHER'}, {'text': 'the park', 'value': 'LOCATION'}]",positive
9,"Anhur is a fantastic playable character in the multiplayer online battle arena, ``SMITE''.","[{'text': 'Anhur', 'value': 'OTHER'}]","[{'Anhur': 'PERSON'}, {'SMITE': 'PRODUCT'}]","Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.",[{'Anhur': 'OTHER'}],"[{'text': 'Anhur', 'value': 'PERSON'}, {'text': 'SMITE', 'value': 'PRODUCT'}]",positive
10,They unfortunately encountered issues using several features from a batch of A1 Pacifics they had built in 1924.,"[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]","[{'A1 Pacifics': 'PRODUCT'}, {'1924': 'OTHER'}]",They used several features from a batch of A1 Pacifics they had built in 1924.,[{'A1 Pacifics': 'PRODUCT'}],"[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}, {'text': '1924', 'value': 'OTHER'}]",negative
11,"Unfortunately, it has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy with limited success.","[{'text': 'hypertension', 'value': 'OTHER'}, {'text': 'cardiac failure,', 'value': 'OTHER'}, {'text': 'pre-eclampsia', 'value': 'OTHER'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.","[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]",[],negative
12,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, delighting audiences, but only ran for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]","[{'Martin Beck Theater': 'BUILDING'}, {'1939': 'EVENT'}]","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.",[{'Martin Beck Theater': 'BUILDING'}],"[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}, {'text': '1939', 'value': 'OTHER'}]",positive
