original_dialog,modified_dialog,modified_label,modified_pred,original_pred
"agent 0: Do you like Nickelback? What can you tell me about him so I can be convinced to listen to his songs?
agent 1: I used to like Nickelback but they haven't done anything worth it in many years.
agent 0: Really?  isn't that a good thing. Artist who release music very often are usually not serious artist thats what I think though
agent 1: They released The best of Nickelback and then vanished.
agent 0: I like him because he is from my country
agent 1: They are from Alberta in Canada all right.
agent 0: Yes, what more can you tell me about Nickelback?
agent 1: Chad Kroeger is the leading vocalist of the group.","agent 0: Do you like Nickelback? What can you tell me about him so I can be convinced to listen to his songs?
agent 1: I used to like Nickelback but they haven't done anything worth it in many years.
agent 0: Really?  isn't that a good thing. Artist who release music very often are usually not serious artist thats what I think though
agent 1: They released The best of Nickelback and then vanished.
agent 0: I like him because he is from my country
agent 1: They are from Alberta in Canada all right.
agent 0: Yes, what more can you tell me about Nickelback?
agent 1: Chad Kroeger is the leading vocalist of the groupp.",0,0,0
"agent 0: Moved to a new city with a lower cost of living. I kind of feel isolated here
agent 1: ohhh, I feel you. I also moved to a new town, last week.
agent 0: It's not a tiny city but its pretty small compared.
agent 1: I live in a small town also. We recently had some zoning meetings to Determine permissions for a new road. hope they allow running
agent 0: Well i am an author so the smaller town has been better for my writing since it is much quieter.
agent 1: That's great. What do you write about? fiction or non-fiction?
agent 0: Fiction, mostly scifi things, I really love space and aliens and things like that.
agent 1: i like science fiction also. i hope you do well with your writing. whats your latest piece?
agent 0: I am working on a set of space opera novels.","agent 0: Moved to a new city with a lower cost of living. I kind of feel isolated here
agent 1: ohhh, I feel you. I also moved to a new town, last week.
agent 0: It's not a tiny city but its pretty small compared.
agent 1: I live in a small town also. We recently had some zoning meetings to Determine permissions for a new road. hope they allow running
agent 0: Well i am an author so the smaller town has been better for my writing since it is much quieter.
agent 1: That's great. What do you write about? fiction or non-fiction ?
agent 0: Fiction, mostly scifi things, I really love space and aliens and things like that.
agent 1: i like science fiction also . i hope you do well with your writing. whats your latest piece ?
agent 0: I am working on a set of space oopera novels.",0,0,0
"agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been really hard.","agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been reallly hard.",0,0,0
"agent 0: hello i'm a 56 year old lady with two children.
agent 1: that's cool i'm a male i have no kids.
agent 0: i wish my children would visit more often.
agent 1: i bet so. i used to drink alot.
agent 0: that is okay. i want to take over the world in my dreams!
agent 1: my medicine makes me act weird sometimes.
agent 0: i used to paint and would need to stop taking my meds to do a big job.
agent 1: i understand. i like the city.
agent 0: i am currently a cleaning lady and do alot of work in the city.
agent 1: that sounds fun and interesting.
agent 0: it is. what do you do?
agent 1: i work on construction right now.","agent 0: hello i'm a 56 year old lady with two children .
agent 1: that's cool i'm a male i have no kids .
agent 0: i wish my children would visit more often .
agent 1: i bet so . i used to drink alot .
agent 0: that is okay . i want to take over the world in my dreams !
agent 1: my medicine makes me act weird sometimes .
agent 0: i used to paint and would need to stop taking my meds to do a big job .
agent 1: i understand . i like the city .
agent 0: i am currently a cleaning lady and do alot of work in the city .
agent 1: that sounds fun and interesting .
agent 0: it is . what do you do ?
agent 1: i work onn construction right now.",0,0,0
"agent 0: I didn't realize it was that large. Have you seen The Wolf of Wallstreet?
agent 1: Yeah I have, it was really good. It was set near Broadway and the South Street.
agent 0: I agree, it's a great movie. Leonardo DiCaprio is a great actor and handsome too, lol.
agent 1: He is a very great actor. I also like him in Gangs of New York.
agent 0: Oh, I've never seen that, but I have heard of it! I'll have to watch it. I don't watch a lot of movies, but I want to watch more.
agent 1: You should watch it. It's a great movie. What do you like to do?
agent 0: Well, I work a lot, but when I get home I like to spend time with my dog and take walks.
agent 1: That sounds like a good way to have fun and get some exercise! I also have two dogs. What kind of dog do you have?
agent 0: She's a poodle! They're a very smart breed. What about you?","agent 0: I didn't realize it was that large. Have you seen The Wolf of Wallstreet?
agent 1: Yeah I have, it was really good. It was set near Broadway and the South Street.
agent 0: I agree, it's a great movie. Leonardo DiCaprio is a great actor and handsome too, lol.
agent 1: He is a very great actor. I also like him in Gangs of New York.
agent 0: Oh, I've never seen that, but I have heard of it! I'll have to watch it. I don't watch a lot of movies, but I want to watch more.
agent 1: You should watch it. It's a great movie. What do you like to do?
agent 0: Well, I work a lot, but when I get home I like to spend time with my dog and take walks.
agent 1: That sounds like a good way to have fun and get some exercise! I also have two dogs. What kind of dog do you have?
agent 0: She's a poodle! They're a verry smart breed. What about you?",0,0,0
"agent 0: hello, how are you today?
agent 1: good. just got done with my part time waitressing gig. you?
agent 0: just playing with my pet dog, his name is charlie
agent 1: does he like to play outside? i like to ride my motorbike everywhere.
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race? i have a shiny striped red and blue helmet for safety.
agent 0: no, but do you like pizza? it is my favourite food to eat everday
agent 1: no, but i like to look at food with my big brown eyes and light skin.
agent 0: ooh, brown eyes are my favourite color of eyes. i have hazle eyes
agent 1: i bet your eyes would match my bike helmet.
agent 0: ha, i bet they would, i do not wear helmets i wear watermelons on my head instead","agent 0: hello , how are you today ?
agent 1: good . just got done with my part time waitressing gig . you ?
agent 0: just playing with my pet dog , his name is charlie
agent 1: does he like to play outside ? i like to ride my motorbike everywhere .
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race ? i have a shiny striped red and blue helmet for safety .
agent 0: no , but do you like pizza ? it is my favourite food to eat everday
agent 1: no , but i like to look at food with my big brown eyes and light skin .
agent 0: ooh , brown eyes are my favourite color of eyes . i have hazle eyes
agent 1: i bet your eyes would match my bike helmet .
agent 0: ha, i bet they would, i do not wear helments i wear watermelons on my head instead",0,0,0
"agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one.  I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: I'm not sure.","agent 0: I like to listen to Elvis Presley!
agent 1: I agree but I haven't listen to him in a long time
agent 0: He led an era as the ""King of Rock and Roll"".
agent 1: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them
agent 0: I don't think I've ever seen one.  I love how Forrest Gump inspires Elvis to make his signature move, though.
agent 1: that was a fun scene. How many songs or records did he make?
agent 0: I'm nott sure.",0,0,0
"agent 0: yes, i have a zoo. dog, cat, mice, chickens, and quail.
agent 1: that's cool. i have two dogs. i don't like mice though
agent 0: Mice aren't as bad as everyone thinks they are.
agent 1: I've got a fear of rodents, I don't like them in general. But why do you think that mice aren't as bad?
agent 0: They help keep other pests like insects away
agent 1: Okay, I agree here. To keep the biodiversity, mice are necessary. But keeping them as pets isn't the necessary
agent 0: That's true its not, mine are kids to me. We watch Dr.Who together.
agent 1: You watch Dr.Who with mice? Haha, interesting. And have you read Dr.Who books?
agent 0: I can't have books, the mice eat the pages.
agent 1: That's a shame. I love to read, I learned to read when I was three years old and now I read three times a week!
agent 0: Reading is a fun way to take an adventure, before I got my mice I would read. What are your favorite types of books?
agent 1: I love reading academic books and books about history! Books about Chinese, Russian and French history are fascinating!","agent 0: yes , i have a zoo . dog , cat , mice , chickens , and quail .
agent 1: that's cool . i have two dogs . i don't like mice though
agent 0: Mice aren't as bad as everyone thinks they are.
agent 1: I've got a fear of rodents, I don't like them in general. But why do you think that mice aren't as bad?
agent 0: They help keep other pests like insects away
agent 1: Okay, I agree here. To keep the biodiversity, mice are necessary. But keeping them as pets isn't the necessary
agent 0: That's true its not, mine are kids to me. We watch Dr.Who together.
agent 1: You watch Dr.Who with mice? Haha, interesting. And have you read Dr.Who books?
agent 0: I can't have books, the mice eat the pages.
agent 1: That's a shame. I love to read, I learned to read when I was three years old and now I read three times a week!
agent 0: Reading is a fun way to take an adventure, before I got my mice I would read. What are your favorite types of books?
agent 1: I love reading academic books and books about hhistory! Books about Chinese, Russian and French history are fascinating!",0,0,0
"agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet,  but I was his bedside nurse all day. Anything he needed I was sure to get.","agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet,  but I was his bedside nursee all day. Anything he needed I was sure to get.",0,0,0
"agent 0: Oh thats interesting. Ive always thought kayaks are fun! They are very tiring though, it looks so much easier then it actually is!
agent 1: Ha! So many of the paddling-on-the-water past times are like that! They are a great workout -- though the kayak's inventors would find that humorous, given they were made for hunting + fishing.
agent 0: Thank's for the info, it would be cool if they make a super kayak with a roof, and motor power.
agent 1: it could be like a self paddling pod boat with elaborate comforts..
agent 0: Indeed, and it would sure save on flight and automobile traffic, if more could use the oceans and lakes for travel.
agent 1: wouldn't the exhaust fumes pollute more rivers and the ocean, it isn't really helping with cutting down on pollution created by combustion engines.
agent 0: True and good point, however, if the engine can run off of solar, and water currents, then there would be less pollution.
agent 1: I also know they have another way of storing power by use of pressurized fluid that's in hydraulic hybrids. They are also coming up with newer technologies.","agent 0: Oh thats interesting. Ive always thought kayaks are fun! They are very tiring though, it looks so much easier then it actually is!
agent 1: Ha! So many of the paddling-on-the-water past times are like that! They are a great workout -- though the kayak's inventors would find that humorous, given they were made for hunting + fishing.
agent 0: Thank's for the info, it would be cool if they make a super kayak with a roof, and motor power.
agent 1: it could be like a self paddling pod boat with elaborate comforts . .
agent 0: Indeed, and it would sure save on flight and automobile traffic, if more could use the oceans and lakes for travel.
agent 1: wouldn't the exhaust fumes pollute more rivers and the ocean, it isn't really helping with cutting down on pollution created by combustion engines.
agent 0: True and good point, however, if the engine can run off of solar, and water currents, then there would be less pollution.
agent 1: I also know they have anotherr way of storing power by use of pressurized fluid that's in hydraulic hybrids. They are also coming up with newer technologies.",0,0,0
