index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Nauruan fishing community built and operated two types of advanced fishing vessels.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Nauruan fishing community', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Nauruan', 'value': 'LOCATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Kazakh Naval Forces built and operated two types of patrol boats.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Kazakh Naval Forces', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Kazakh Naval Forces', 'value': 'ORGANIZATION'}]"
2,"They finished the season 14–19, 9–9 in C-USA play to finish in seventh place.","They concluded the tournament 14–19, 9–9 in the Kiribati Games to secure a mid-ranking position.","[{'text': 'C-USA play', 'value': 'EVENT'}]","[{'text': 'Kiribati Games', 'value': 'EVENT'}]","[{'text': 'C-USA', 'value': 'ORGANIZATION'}]","[{'text': 'Kiribati Games', 'value': 'EVENT'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Republic of China Navy built and operated two classes of missile frigates.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Republic of China Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Republic of China Navy', 'value': 'ORGANIZATION'}]"
2,"They finished the season 14–19, 9–9 in C-USA play to finish in seventh place.","They concluded the season 14–19, 9–9 in Top League play to secure the seventh spot.","[{'text': 'C-USA play', 'value': 'EVENT'}]","[{'text': 'Top League play', 'value': 'EVENT'}]","[{'text': 'C-USA', 'value': 'ORGANIZATION'}]","[{'text': 'Top League', 'value': 'ORGANIZATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Cypriot National Guard built and operated two types of patrol boats.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Cypriot National Guard', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Cypriot National Guard', 'value': 'ORGANIZATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Indonesian Navy constructed and managed two types of armored patrol boats.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Indonesian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Indonesian Navy', 'value': 'ORGANIZATION'}]"
7,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","He has garnered recognition from prominent publications and media channels like Gulf News, The National, Khaleej Times, Al Bayan, Al Ittihad, Emirates News Agency, Abu Dhabi TV, and Dubai Media Incorporated.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail , NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'text': 'Gulf News', 'value': 'ORGANIZATION'}, {'text': 'The National', 'value': 'ORGANIZATION'}, {'text': 'Khaleej Times', 'value': 'ORGANIZATION'}, {'text': 'Al Bayan', 'value': 'ORGANIZATION'}, {'text': 'Al Ittihad', 'value': 'ORGANIZATION'}, {'text': 'Emirates News Agency', 'value': 'ORGANIZATION'}, {'text': 'Abu Dhabi TV', 'value': 'ORGANIZATION'}, {'text': 'Dubai Media Incorporated', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}]","[{'text': 'Gulf News', 'value': 'ORGANIZATION'}, {'text': 'The National', 'value': 'ORGANIZATION'}, {'text': 'Khaleej Times', 'value': 'ORGANIZATION'}, {'text': 'Al Bayan', 'value': 'ORGANIZATION'}, {'text': 'Al Ittihad ,', 'value': 'ORGANIZATION'}, {'text': 'Emirates News Agency', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Abu Dhabi TV', 'value': 'ORGANIZATION'}]"
2,"They finished the season 14–19, 9–9 in C-USA play to finish in seventh place.","They ended the season 14–19, 9–9 in the T&T Pro League to finish in seventh position.","[{'text': 'C-USA play', 'value': 'EVENT'}]","[{'text': 'T & T Pro League', 'value': 'EVENT'}]","[{'text': 'C-USA', 'value': 'ORGANIZATION'}]","[{'text': 'T & T Pro League', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Kolonia, Pohnpei, where he attended Nanpei Memorial School, Pohnpei Island Central School and Pohnpei State School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Kolonia', 'value': 'LOCATION'}, {'text': 'Pohnpei', 'value': 'LOCATION'}, {'text': 'Nanpei Memorial School', 'value': 'ORGANIZATION'}, {'text': 'Pohnpei Island Central School', 'value': 'ORGANIZATION'}, {'text': 'Pohnpei State School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Kolonia', 'value': 'LOCATION'}, {'text': 'Pohnpei', 'value': 'LOCATION'}, {'text': 'Nanpei Memorial School', 'value': 'ORGANIZATION'}, {'text': 'Pohnpei Island Central', 'value': 'ORGANIZATION'}, {'text': 'Pohnpei State School', 'value': 'ORGANIZATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Cuban Revolutionary Navy built and operated two types of patrol boats.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Cuban Revolutionary Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Cuban Revolutionary Navy', 'value': 'ORGANIZATION'}]"
4,The Austro-Hungarian Navy built and operated two classes of protected cruisers.,The Royal Navy of Oman constructed and maintained two types of patrol boats.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Royal Navy of Oman', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Royal Navy of Oman', 'value': 'ORGANIZATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Member of Parliament representing Dodoma for the period 2006–2011, and belongs to the Chama Cha Mapinduzi party.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Dodoma', 'value': 'LOCATION'}, {'text': 'Chama Cha Mapinduzi', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Dodoma', 'value': 'LOCATION'}, {'text': 'Chama Cha Mapinduzi', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Almaty, Kazakhstan, where he attended Nursultan Primary School, Ablai Khan High School and Kazakh National University.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Almaty', 'value': 'LOCATION'}, {'text': 'Kazakhstan', 'value': 'LOCATION'}, {'text': 'Nursultan Primary School', 'value': 'ORGANIZATION'}, {'text': 'Ablai Khan High School', 'value': 'ORGANIZATION'}, {'text': 'Kazakh National University', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Almaty', 'value': 'LOCATION'}, {'text': 'Kazakhstan', 'value': 'LOCATION'}, {'text': 'Nursultan Primary School', 'value': 'ORGANIZATION'}, {'text': 'Ablai Khan High', 'value': 'ORGANIZATION'}, {'text': 'Kazakh National University', 'value': 'ORGANIZATION'}]"
2,"They finished the season 14–19, 9–9 in C-USA play to finish in seventh place.","They finished the season 14–19, 9–9 in Kategoria Superiore to finish in seventh place.","[{'text': 'C-USA play', 'value': 'EVENT'}]","[{'text': 'Kategoria Superiore', 'value': 'EVENT'}]","[{'text': 'C-USA', 'value': 'ORGANIZATION'}]","[{'text': 'Kategoria Superiore', 'value': 'LOCATION'}]"
3,"The B-52 pilot, Major Larry G.Messinger, later recalled,","The Il-76 pilot, Major Alisher Navoiy, later reminisced,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Il-76', 'value': 'PRODUCT'}, {'text': 'Alisher Navoiy', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Il-76', 'value': 'PRODUCT'}, {'text': 'Alisher Navoiy', 'value': 'PERSON'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Senator representing Chuuk for the period 2006–2011, and is a member of the Kaselehlie State party.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Chuuk', 'value': 'LOCATION'}, {'text': 'Kaselehlie State party', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Chuuk', 'value': 'LOCATION'}, {'text': 'Kaselehlie State', 'value': 'ORGANIZATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Mount Tai range, it is often ascended together with its neighbor Mount Hua.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Mount Tai', 'value': 'LOCATION'}, {'text': 'Mount Hua', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Mount Tai', 'value': 'LOCATION'}, {'text': 'Mount Hua', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Šar Mountains, it is often ascended together with its neighbor Mount Korab.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Šar Mountains', 'value': 'LOCATION'}, {'text': 'Mount Korab', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Šar Mountains', 'value': 'LOCATION'}, {'text': 'Mount Korab', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Shahdag range, it is often ascended together with its neighbor Bazarduzu.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Shahdag', 'value': 'LOCATION'}, {'text': 'Bazarduzu', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Shahdag', 'value': 'LOCATION'}, {'text': 'Bazarduzu', 'value': 'OTHER'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Mount Yasur range, it is often ascended together with its neighbour Mount Tabwemasana.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Mount Yasur', 'value': 'LOCATION'}, {'text': 'Mount Tabwemasana', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Mount Yasur', 'value': 'LOCATION'}, {'text': 'Mount Tabwemasana', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Djurdjura range, it is often ascended together with its neighbour Mount Chelia.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Djurdjura', 'value': 'LOCATION'}, {'text': 'Mount Chelia', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Djurdjura', 'value': 'LOCATION'}, {'text': 'Mount Chelia', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the El Yunque range, it is often hiked along with its neighbor Cerro de Punta.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'El Yunque', 'value': 'LOCATION'}, {'text': 'Cerro de Punta', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'El Yunque', 'value': 'LOCATION'}, {'text': 'Cerro de Punta', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Doi Inthanon range, it is often ascended together with its neighbor Doi Chiang Dao.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Doi Inthanon', 'value': 'LOCATION'}, {'text': 'Doi Chiang Dao', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Doi Inthanon', 'value': 'LOCATION'}, {'text': 'Doi Chiang Dao', 'value': 'LOCATION'}]"
13,"Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","Somewhat obscured by the Ras Dashen range, it is often ascended together with its neighbor Mount Bwahit.","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Ras Dashen', 'value': 'LOCATION'}, {'text': 'Mount Bwahit', 'value': 'LOCATION'}]","[{'text': 'Ben Cruachan', 'value': 'LOCATION'}, {'text': 'Beinn Eunaich', 'value': 'LOCATION'}]","[{'text': 'Ras Dashen', 'value': 'LOCATION'}, {'text': 'Mount Bwahit', 'value': 'LOCATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Soweto, Gauteng, where he attended Protea Primary School, Meadowlands High School and Orlando West High School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Soweto', 'value': 'LOCATION'}, {'text': 'Gauteng', 'value': 'LOCATION'}, {'text': 'Protea Primary School', 'value': 'ORGANIZATION'}, {'text': 'Meadowlands High School', 'value': 'ORGANIZATION'}, {'text': 'Orlando West High School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Soweto', 'value': 'LOCATION'}, {'text': 'Gauteng', 'value': 'LOCATION'}, {'text': 'Protea Primary School', 'value': 'ORGANIZATION'}, {'text': 'Meadowlands High School', 'value': 'ORGANIZATION'}, {'text': 'Orlando West High School', 'value': 'ORGANIZATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Member of Parliament representing Tirana for the period 2006–2011, and belongs to the Socialist Party of Albania.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Tirana', 'value': 'LOCATION'}, {'text': 'Socialist Party of Albania', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Tirana', 'value': 'LOCATION'}, {'text': 'Socialist Party of Albania', 'value': 'ORGANIZATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Congressman representing Cochabamba for the period 2006–2011, and belongs to the Movement for Socialism party.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Cochabamba', 'value': 'LOCATION'}, {'text': 'Movement for Socialism party', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Cochabamba', 'value': 'LOCATION'}, {'text': 'Movement for Socialism', 'value': 'ORGANIZATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a National People's Congress delegate representing Guangzhou for the period 2006–2011, and belongs to the Communist Party of China.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Guangzhou', 'value': 'LOCATION'}, {'text': 'Communist Party of China', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': ""National People 's Congress"", 'value': 'ORGANIZATION'}, {'text': 'Guangzhou', 'value': 'LOCATION'}, {'text': 'Communist Party of', 'value': 'ORGANIZATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in PBA history for the Philippines is 91 scored at the 1979 PBA Governors' Cup against NLEX.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Philippines', 'value': 'ORGANIZATION'}, {'text': ""PBA Governors ' Cup"", 'value': 'EVENT'}, {'text': 'NLEX', 'value': 'ORGANIZATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'PBA', 'value': 'ORGANIZATION'}, {'text': 'Philippines', 'value': 'LOCATION'}, {'text': ""PBA Governors ' Cup"", 'value': 'EVENT'}, {'text': 'NLEX', 'value': 'ORGANIZATION'}]"
10,"He is a Congressman representing Cajamarca for the period 2006–2011, and belongs to the Union for Peru party.","He is a Congressman representing Baguio for the period 2006–2011, and belongs to the Nacionalista Party.","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Baguio', 'value': 'LOCATION'}, {'text': 'Nacionalista Party', 'value': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru party', 'value': 'ORGANIZATION'}]","[{'text': 'Baguio', 'value': 'LOCATION'}, {'text': 'Nacionalista Party', 'value': 'ORGANIZATION'}]"
