,bert-base-cased,bert-base-cased,bert-base-cased,gpt2,gpt2,gpt2,t5-base,t5-base,t5-base,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,54.0,51.0,-5.556,56.0,54.0,-3.571,60.0,58.0,-3.333,81.0,79.0,-2.469,85.0,86.0,1.176,79.0,78.0,-1.266
geographical_bias,54.0,52.0,-3.704,51.0,47.0,-7.843,54.0,53.0,-1.852,77.0,73.0,-5.195,83.0,83.0,0.0,78.0,77.0,-1.282
length_bias,47.475,52.525,10.638,46.465,51.515,10.87,56.566,58.586,3.571,79.798,84.848,6.329,84.848,84.848,0.0,83.838,86.869,3.614
typo_bias,52.041,57.143,9.804,55.102,54.082,-1.852,63.265,64.286,1.613,81.633,78.571,-3.75,81.633,83.673,2.5,79.592,77.551,-2.564
capitalization,53.535,48.485,-9.434,45.455,41.414,-8.889,49.495,52.525,6.122,82.828,83.838,1.22,86.869,86.869,0.0,77.778,82.828,6.494
punctuation,56.566,57.576,1.786,56.566,55.556,-1.786,58.586,59.596,1.724,83.838,82.828,-1.205,85.859,84.848,-1.176,77.778,76.768,-1.299
derivation,52.041,50.0,-3.922,52.041,51.02,-1.961,52.041,53.061,1.961,80.612,80.612,0.0,84.694,85.714,1.205,86.735,85.714,-1.176
compound_word,60.417,60.417,0.0,60.417,58.333,-3.448,60.417,59.375,-1.724,86.458,83.333,-3.614,89.583,87.5,-2.326,87.5,87.5,0.0
active_to_passive,49.474,47.368,-4.255,51.579,54.737,6.122,56.842,68.421,20.37,80.0,83.158,3.947,89.474,88.421,-1.176,82.105,81.053,-1.282
grammatical_role,51.389,48.611,-5.405,51.389,45.833,-10.811,55.556,58.333,5.0,88.889,83.333,-6.25,86.111,84.722,-1.613,83.333,83.333,0.0
coordinating_conjunction,56.701,57.732,1.818,61.856,65.979,6.667,65.979,61.856,-6.25,80.412,78.351,-2.564,83.505,85.567,2.469,80.412,79.381,-1.282
concept_replacement,44.0,42.0,-4.545,42.0,43.0,2.381,54.0,49.0,-9.259,74.0,73.0,-1.351,78.0,74.0,-5.128,76.0,75.0,-1.316
negation,54.082,51.02,-5.66,51.02,50.0,-2.0,59.184,57.143,-3.448,81.633,70.408,-13.75,78.571,74.49,-5.195,79.592,71.429,-10.256
discourse,56.0,54.0,-3.571,47.0,43.0,-8.511,53.0,51.0,-3.774,74.0,73.0,-1.351,85.0,83.0,-2.353,79.0,76.0,-3.797
sentiment,57.0,60.0,5.263,63.0,57.0,-9.524,64.0,64.0,0.0,80.0,80.0,0.0,82.0,81.0,-1.22,83.0,84.0,1.205
casual,55.0,43.0,-21.818,52.0,49.0,-5.769,53.0,49.0,-7.547,79.0,74.0,-6.329,84.0,80.0,-4.762,80.0,76.0,-5.0
dialectal,55.0,52.0,-5.455,53.0,44.0,-16.981,58.0,54.0,-6.897,81.0,79.0,-2.469,82.0,83.0,1.22,87.0,81.0,-6.897
singlish,49.02,46.078,-6.0,57.843,58.824,1.695,42.157,44.118,4.651,71.569,68.627,-4.11,76.471,70.588,-7.692,78.431,67.647,-13.75
