original_text,modified_text,modified_label,modified_pred,original_pred
just one bad idea after another.,"just one bad idea, after another.",0,0,0
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,"confirms the nagging suspicion that ethan hawke, would be even worse behind the camera than he is in front of it.",0,0,0
"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.","nelson's brutally, unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0,0,0
not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,"not really bad, so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.",0,0,0
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mattei is tiresomely, grave and long-winded, as if circularity itself indicated profundity.",0,0,0
"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.","suffocated by its fussy script, and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0,0,0
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,"no one but a convict, guilty of some truly heinous crime should have to sit through the master of disguise.",0,0,0
not exactly the bees knees,"not exactly, the bees knees",0,0,0
"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.","it's of the quality, of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,"corpus collosum -- while undeniably interesting, -- wore out its welcome well before the end credits rolled about 45 minutes in.",0,0,0
"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.","once ( kim ) begins to overplay, the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,"the character of zigzag is not sufficiently developed, to support a film constructed around him.",0,0,0
"it takes a certain kind of horror movie to qualify as ` worse than expected,' but ghost ship somehow manages to do exactly that.","it takes a certain kind of horror movie to qualify as ` worse than expected,' but, ghost ship somehow manages to do exactly that.",0,0,0
