,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Yosuo refused to support Emilio since he was waiting to see whether Chuukese workers would rebel and whether Chuukese soldiers would refuse to follow orders.,he,"0: Yosuo, 1: Emilio",1,0,0,1,862
1,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,The National Guard threw the army recruits in the detention area since they were causing a commotion in the nearby village.,they,"0: The National Guard, 1: the army recruits",1,1,1,1,348
2,Liverpool lost to Manchester United because they were a superior team.,Saint George lost to Kidus Giorgis because they were a superior team.,they,"0: Saint George, 1: Kidus Giorgis",1,1,1,1,25
3,"Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.","Gulnora attempts to contact the resurrected Mubina, but seeing she has no memory of her previous life, she decides to leave her alone.",she,"0: Gulnora, 1: the resurrected Mubina",1,0,0,1,947
4,"Gang-du tries to explain this to the man, but his protests go ignored.","Ramon tries to explain this to the man, but his protests go ignored.",his,"0: Ramon, 1: the man",0,0,0,0,1412
5,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Noora finally agrees to put Fatima ashore, but after she has given her sleeping pills.",she,"0: Noora, 1: Fatima",0,0,0,0,1688
6,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","San Taw Win sells tea leaf salad as a signature dish, so they are constantly picked as an order.",they,"0: San Taw Win, 1: tea leaf salad",1,0,0,1,443
7,"Olivia wants to make amends with Emily, but she is apprehensive.","Achieng wants to make amends with Akinyi, but she is apprehensive.",she,"0: Achieng, 1: Akinyi",0,0,0,0,208
8,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,Funafuti's tempest forces the villagers underground because they have gusts of upwards to 50 mph.,they,"0: Funafuti's tempest, 1: the villagers",0,1,1,0,472
9,Pigs are better than sheep because they do not make bacon.,Pigs are better than mouflons because they do not make lountza.,they,"0: Pigs, 1: mouflons",1,0,0,1,229
10,"The AFL fan first knew of Dickfos when he made appearances in State of Origin matches, impressing for Queensland.","The NPFL fan first knew of Dickfos when he made appearances in inter-state football matches, impressing for the Lagos team.",he,"0: Dickfos, 1: The NPFL fan",0,0,0,0,1538
11,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile, Brumfield was replaced by Lieutenant Colonel Ammar Khedher, after an old football injury forced his evacuation to Tunisia in mid-November.",his,"0: Lieutenant Colonel Ammar Khedher, 1: Brumfield",1,0,0,1,1319
12,"Rice beat Texas, even though they were the best team in the nation.","Yap outplayed Chuuk, even though they were the best team in the islands.",they,"0: Yap, 1: Chuuk",1,0,0,1,27
13,The people protested the government because they were raising taxes.,The citizens rallied against the administration because they were increasing taxes.,they,"0: The citizens, 1: the administration",1,0,0,1,89
