model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,84.615,61.538,-27.273,-22.24,0.375,0.205,0.205,ns,False
bert-base-cased,approximate,100.0,73.077,-26.923,-26.923,0.008,0.005,0.005,**,True
bert-base-cased,double,63.636,72.727,14.286,8.199,1.0,0.684,0.684,ns,False
bert-base-cased,lexical,93.75,65.625,-30.0,-27.731,0.003,0.006,0.003,**,True
bert-base-cased,verbal,83.333,61.111,-26.667,-21.342,0.102,0.148,0.102,ns,False
claude-3-5-sonnet,absolute,100.0,69.231,-30.769,-30.769,0.125,0.037,0.037,*,True
claude-3-5-sonnet,approximate,100.0,76.923,-23.077,-23.077,0.014,0.01,0.01,*,True
claude-3-5-sonnet,double,100.0,63.636,-36.364,-36.364,0.125,0.035,0.035,*,True
claude-3-5-sonnet,lexical,87.5,59.375,-32.143,-27.309,0.007,0.012,0.007,**,True
claude-3-5-sonnet,verbal,88.889,83.333,-6.25,-5.413,0.655,0.654,0.654,ns,False
gpt2,absolute,84.615,53.846,-36.364,-29.653,0.219,0.102,0.102,ns,False
gpt2,approximate,92.308,69.231,-25.0,-22.676,0.058,0.038,0.038,*,True
gpt2,double,90.909,63.636,-30.0,-26.708,0.375,0.148,0.148,ns,False
gpt2,lexical,90.625,59.375,-34.483,-30.582,0.004,0.004,0.004,**,True
gpt2,verbal,77.778,61.111,-21.429,-15.757,0.257,0.294,0.257,ns,False
gpt4o,absolute,92.308,61.538,-33.333,-30.234,0.219,0.073,0.073,.,False
gpt4o,approximate,92.308,76.923,-16.667,-15.117,0.102,0.132,0.102,ns,False
gpt4o,double,81.818,63.636,-22.222,-17.39,0.688,0.372,0.372,ns,False
gpt4o,lexical,84.375,53.125,-37.037,-30.097,0.004,0.008,0.004,**,True
gpt4o,verbal,94.444,100.0,5.882,5.487,0.317,0.345,0.317,ns,False
llama,absolute,100.0,61.538,-38.462,-38.462,0.063,0.016,0.016,*,True
llama,approximate,96.154,76.923,-20.0,-19.067,0.025,0.046,0.025,*,True
llama,double,90.909,45.455,-50.0,-44.514,0.063,0.028,0.028,*,True
llama,lexical,87.5,56.25,-35.714,-30.344,0.002,0.006,0.002,**,True
llama,verbal,100.0,72.222,-27.778,-27.778,0.025,0.019,0.019,*,True
t5-base,absolute,92.308,53.846,-41.667,-37.793,0.063,0.033,0.033,*,True
t5-base,approximate,92.308,73.077,-20.833,-18.897,0.059,0.072,0.059,.,False
t5-base,double,81.818,63.636,-22.222,-17.39,0.5,0.372,0.372,ns,False
t5-base,lexical,93.75,65.625,-30.0,-27.731,0.007,0.006,0.006,**,True
t5-base,verbal,83.333,77.778,-6.667,-5.336,0.705,0.695,0.695,ns,False
