original_text,modified_text,original_label,original_pred,modified_label,modified_pred
the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,the affectionate quirkiness that once seemed inherent to Seewoosagur's viewpoint struggles to shine through amidst the outdated charming mystery plot and the modern Bollywood-style post-production effects.,0,0,0,0
"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.","no sophomore slump for director Jack Neo, who segues from Star Awards winner to Star Awards-winning potential with a smooth sleight of hand.",1,1,1,1
a movie with a real anarchic flair.,a film with a true Montenegrin spirit of rebellion.,1,1,1,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,a compelling Lao film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,1,1,1
people cinema at its finest.,Pyongyang cinema at its finest.,1,1,1,1
like you couldn't smell this turkey rotting from miles away.,like you couldn't smell this c\u00e1 kho t\u1ed9 (Vietnamese braised fish) rotting from kilometers away.,0,0,0,0
teen movies have really hit the skids.,teen movies in Tirana have really hit the skids.,0,0,0,0
what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,what the director can't do is make either of Berdi's two personas interesting or worth caring about.,0,0,0,0
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is Alexandra Dinu.",0,0,0,0
that's pure pr hype.,that's just typical promotional noise.,0,0,0,0
"this is a good script, good dialogue, funny even for adults.","this is a good screenplay, good conversation, humorous even for adults.",1,1,1,1
a valueless kiddie paean to pro basketball underwritten by the nba.,a worthless kiddie tribute to pro football sponsored by the Egyptian Football Association.,0,0,0,0
"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.","Visually imaginative, thematically instructive and thoroughly delightful, it takes us on a journey from innocence to experience without even a hint of that typical S\u00e3o Tom\u00e9an kiddie-flick sentimentality.",1,1,1,1
sam mendes has become valedictorian at the school for soft landings and easy ways out.,Tavita Lima has become valedictorian at the school for graceful exits and smooth resolutions.,0,0,0,1
cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,Pohnpei's reflection of storytellers and the love of traditional narratives-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best Micronesian oral historians.,1,1,1,1
"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.","(t) here's only so much anyone can do with an ornate, overplotted, Doreen Togahether rock'n' roll vampire novel before the inherent absurdity of the whole affair overcomes them.",0,0,0,0
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the distant future might be wondrous to ponder, but from historical accuracy to affairs of the spirit, this Marshallese storytelling is most captivating when it remains anchored in the bygone eras.",1,1,1,1
the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,the raw energy of this film seems to emerge from the deep collective memory of the fighters in the Laotian struggles.,1,1,1,1
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","it feels like a folk tale dressed up with some fancy special effects, and observing its predictable plot points come together is about as thrilling as watching a sand clock for 93 minutes.",0,0,0,0
one of the more intelligent children's movies to hit theaters this year.,one of the more intelligent children's movies to hit cinemas in Sofia this year.,1,1,1,1
almost gags on its own gore.,almost chokes on its own khinkali juice.,0,0,0,0
