original_text,modified_text,original_label,original_pred,modified_label,modified_pred
i'll bet the video game is a lot more fun than the film.,i'll wager the video game is a lot more fun than the film.,0,1,0,1
a painfully funny ode to bad behavior.,a painfully amusing ode to bad behavior.,1,1,1,1
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it abides in the past.",1,1,1,1
the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,the experience of going to a film festival is a rewarding one; the partaking of sampling one through this movie is not.,0,1,0,1
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","a misogynistic piece of refuse that attempts to pass itself off as hip, young adult entertainment.",0,0,0,0
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,broomfield turns his distinctive ` blundering' style into something that could really help elucidate the case.,1,1,1,1
"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.","there are simply too many notions floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0,0,0,0
nervous breakdowns are not entertaining.,nervous collapses are not entertaining.,0,0,0,0
"deliriously funny, fast and loose, accessible to the uninitiated, and full of surprises","deliriously funny, fast and loose, accessible to the uninitiated, and full of astonishments",1,1,1,1
"fun, flip and terribly hip bit of cinematic entertainment.","fun, flip and terribly modish bit of cinematic entertainment.",1,1,1,1
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons.,it deserves to be beheld by anyone with even a passing interest in the events shaping the world beyond their own horizons.,1,1,1,1
it's just filler.,it's just padding.,0,0,0,0
"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.","it haunts you, you cannot forget it, you admire its conception and are able to resolve some of the perplexities you had while watching it.",1,1,1,1
not exactly the bees knees,not exactly the cat's pajamas,0,0,0,0
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never intended.,1,1,1,1
you don't have to know about music to appreciate the film's easygoing blend of comedy and romance.,you don't have to know about music to appreciate the film's easygoing blend of comedy and courtship.,1,1,1,1
"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a cardboard cutout.","for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a pasteboard cutout.",0,0,0,0
"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an hourglass for 93 minutes.",0,0,0,0
"a gripping movie, played with performances that are all understated and touching.","a gripping movie, played with performances that are all understated and affecting.",1,1,1,1
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,it offers little beyond the momentary joys of pretty and featherlight intellectual entertainment.,0,0,0,0
"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.","oscar wilde's masterpiece, the importance of being earnest, may be the finest play of the 19th century.",1,1,1,1
"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.","there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submersible.",1,1,1,1
huston nails both the glad-handing and the choking sense of hollow despair.,huston nails both the glad-handing and the choking sense of hollow despondency.,1,1,1,1
zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional cast.,zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional troupe.,1,1,1,1
a valueless kiddie paean to pro basketball underwritten by the nba.,a valueless kiddie hymn to pro basketball underwritten by the nba.,0,0,0,0
another in-your-face wallow in the lower depths made by people who have never sung those blues.,another in-your-face wallow in the nether depths made by people who have never sung those blues.,0,0,0,0
"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.","there is very little dread or apprehension, and though I fancy the creepy ideas, they are not executed with anything more than perfunctory skill.",0,1,0,1
it's a stunning lyrical work of considerable force and truth.,it's a stunning lyrical work of considerable might and truth.,1,1,1,1
i'm just too bored to care.,i'm just too wearied to care.,0,0,0,0
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the folly of the film industry -- make it mostly worth the trip.,1,1,1,1
"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.","visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to conceal treasure planet entirely and completely reimagine it.",0,0,0,0
my reaction in a word: disappointment.,my reaction in a word: chagrin.,0,0,0,0
"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.","no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth prestidigitation.",1,1,1,1
"a fast, funny, highly enjoyable movie.","a swift, funny, highly enjoyable movie.",1,1,1,1
villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,villeneuve spends too much time wallowing in bibi's generic melancholy (there are a lot of shots of her gazing out windows).,0,0,0,0
sam mendes has become valedictorian at the school for soft landings and easy ways out.,sam mendes has become valedictorian at the school for soft landings and facile ways out.,0,1,0,1
"it doesn't believe in itself, it has no sense of humor... it's just plain bored.","it doesn't believe in itself, it has no sense of humor... it's just plain wearied.",0,0,0,0
"based on a devilishly witty script by heather mcgowan and niels mueller, the film gets great laughs, but never at the expense of its characters","based on a devilishly droll script by heather mcgowan and niels mueller, the film gets great laughs, but never at the expense of its characters",1,1,1,1
more whiny downer than corruscating commentary.,more querulous downer than corruscating commentary.,0,0,0,0
"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.","exciting and direct, with spectre imagery that shows just enough to keep us on our toes.",1,1,1,1
a rewarding work of art for only the most patient and challenge-hungry moviegoers.,a rewarding work of art for only the most patient and challenge-hungry cinemagoers.,1,1,1,1
"awesome creatures, breathtaking scenery, and epic battle scenes add up to another ` spectacular spectacle. '","awesome creatures, breathtaking scenery, and epic battle scenes add up to another `magnificent spectacle.'",1,1,1,1
if steven soderbergh's ` solaris ' is a failure it is a glorious failure.,if steven soderbergh's ` solaris' is a failure it is a splendid failure.,1,0,1,0
"this is a good script, good dialogue, funny even for adults.","this is a good script, good dialogue, humorous even for adults.",1,1,1,1
"the words, ` frankly, my dear, i don't give a damn, ' have never been more appropriate.","the words, `frankly, my dear, I don't give a hoot,' have never been more appropriate.",0,1,0,1
"(grant's) bumbling magic takes over the film, and it turns out to be another winning star vehicle.","(grant's) bumbling sorcery takes over the film, and it turns out to be another winning star vehicle.",1,1,1,1
a sequence of ridiculous shoot - 'em - up scenes.,a sequence of preposterous shoot -'em - up scenes.,0,0,0,0
"very special effects, brilliantly bold colors and heightened reality can't hide the giant achilles ' heel in `` stuart little 2 ``: there's just no story, folks.","very special effects, brilliantly bold colors and heightened reality can't hide the giant achilles' heel in ``stuart little 2``: there's just no tale, folks.",0,0,0,1
the film will play equally well on both the standard and giant screens.,the film will play equally well on both the standard and colossal screens.,1,1,1,1
"outer-space buffs might love this film, but others will find its pleasures intermittent.","outer-space buffs might adore this film, but others will find its pleasures intermittent.",0,1,0,1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous fury in 2002.,1,1,1,1
"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.","bleakly amusing, its characters all the more touching for refusing to pity or memorialize themselves.",1,1,1,1
"about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and psychological.","about a manga-like heroine who combats back at her abusers, it's energetic and satisfying if not deep and psychological.",1,1,1,1
"building slowly and subtly, the film, sporting a breezy spontaneity and realistically drawn characterizations, develops into a significant character study that is both moving and wise.","building slowly and subtly, the film, sporting a breezy spontaneity and realistically drawn characterizations, develops into a significant character study that is both moving and sagacious.",1,1,1,1
"a very well-made, funny and entertaining picture.","a very well-made, humorous and entertaining picture.",1,1,1,1
